bibtex_key,canonical_work_id,preferred_citation,primary_url,title,authors,year,venue,entry_type,source_identifier,primary_class,metadata_source,system_ids,system_names,strata,main_ft,inclusion_exclusion_rationale
CensusACL2024emnlpmain63,CensusACL2024emnlpmain63,yes,https://aclanthology.org/2024.emnlp-main.63/,CryptoTrade: A Reflective LLM-based Agent to Guide Zero-shot Cryptocurrency Trading,Yuan Li; Bingqiao Luo; Qian Wang; Nuo Chen; Xu Liu; Bingsheng He,2024,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,inproceedings,2024.emnlp-main.63,,ACL Anthology citation metadata,SYS-CRYPTO-TRADE,CryptoTrade,T,yes,IN: reflective sequential cryptocurrency agent.
CensusACL2024findingsacl233,CensusACL2024findingsacl233,yes,https://aclanthology.org/2024.findings-acl.233/,Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model,Zhiwei Li; Ran Song (宋燃); Caihong Sun; Wei Xu; Zhengtao Yu (余正涛); Ji-Rong Wen,2024,Findings of the Association for Computational Linguistics: ACL 2024,inproceedings,2024.findings-acl.233,,ACL Anthology citation metadata,SYS-FAMA,FAMA — Factor Mining Agent,F,yes,IN: LLM-based interpretable factor mining.
CensusACL2025acllong126,WorkInvestorBench,yes,https://aclanthology.org/2025.acl-long.126/,INVESTORBENCH: A Benchmark for Financial Decision-Making Tasks with LLM-based Agent,Haohang Li; Yupeng Cao; Yangyang Yu; Shashidhar Reddy Javaji; Zhiyang Deng; Yueru He; Yuechen Jiang; Zining Zhu; K.P. Subbalakshmi; Jimin Huang; Lingfei Qian; Xueqing Peng; Jordan W. Suchow; Qianqian Xie,2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),inproceedings,2025.acl-long.126,,ACL Anthology citation metadata,SYS-INVESTOR-BENCH,InvestorBench,B,no,OUT: investor-agent benchmark.
CensusACL2025emnlpdemos14,WorkAlphaGPT,yes,https://aclanthology.org/2025.emnlp-demos.14/,Alpha-GPT: Human-AI Interactive Alpha Mining for Quantitative Investment,Saizhuo Wang; Hang Yuan; Leon Zhou; Lionel Ni; Heung Yeung Shum; Jian Guo,2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,inproceedings,2025.emnlp-demos.14,,ACL Anthology citation metadata,SYS-ALPHA-GPT,Alpha-GPT lineage,F,yes,IN: human-in-the-loop formulaic alpha mining.
CensusACL2025findingsacl716,CensusACL2025findingsacl716,yes,https://aclanthology.org/2025.findings-acl.716/,FLAG-TRADER: Fusion LLM-Agent with Gradient-based Reinforcement Learning for Financial Trading,Guojun Xiong; Zhiyang Deng; Keyi Wang; Yupeng Cao; Haohang Li; Yangyang Yu; Xueqing Peng; Mingquan Lin; Kaleb E. Smith; Xiao-Yang Liu; Jimin Huang; Sophia Ananiadou; Qianqian Xie,2025,Findings of the Association for Computational Linguistics: ACL 2025,inproceedings,2025.findings-acl.716,,ACL Anthology citation metadata,SYS-FLAG-TRADER,FLAG-Trader,T,yes,IN: sequential trading policy.
CensusACL2025findingsemnlp1005,WorkAutomateStrategy,yes,https://aclanthology.org/2025.findings-emnlp.1005/,Automate Strategy Finding with LLM in Quant Investment,Zhizhuo Kou; Holam Yu; Junyu Luo; Jingshu Peng; Xujia Li; Chengzhong Liu; Juntao Dai; Lei Chen; Sirui Han; Yike Guo,2025,Findings of the Association for Computational Linguistics: EMNLP 2025,inproceedings,2025.findings-emnlp.1005,,ACL Anthology citation metadata,SYS-AUTOMATE-STRATEGY,Automate Strategy Finding with LLM in Quant Investment,F,yes,IN: automated LLM strategy/factor discovery.
CensusACL2025findingsemnlp294,CensusACL2025findingsemnlp294,yes,https://aclanthology.org/2025.findings-emnlp.294/,Agent Trading Arena: A Study on Numerical Understanding in LLM-Based Agents,Tianmi Ma; Jiawei Du; Wenxin Huang; Wenjie Wang; Liang Xie; Xian Zhong; Joey Tianyi Zhou,2025,Findings of the Association for Computational Linguistics: EMNLP 2025,inproceedings,2025.findings-emnlp.294,,ACL Anthology citation metadata,SYS-AGENT-TRADING-ARENA,Agent Trading Arena,B,no,OUT: market-simulation benchmark.
CensusACL2026findingsacl138,CensusACL2026findingsacl138,yes,https://aclanthology.org/2026.findings-acl.138/,AlphaQT-Bench: Diagnosing the Gap between Financial Code Generation and Quantitative Reasoning in LLMs,Sichun Luo; Yi Huang; Shichang Meng; Fengyuan Liu; Mukai Li; Qinghua Yao; Zefa Hu; Junlan Feng; Qi Liu,2026,Findings of the Association for Computational Linguistics: ACL 2026,inproceedings,2026.findings-acl.138,,ACL Anthology citation metadata,SYS-ALPHA-QT-BENCH,AlphaQT-Bench,B,no,OUT: quantitative-trading benchmark.
CensusACL2026findingsacl456,CensusACL2026findingsacl456,yes,https://aclanthology.org/2026.findings-acl.456/,AlphaQuanter: An End-to-End Tool-Augmented Agentic Reinforcement Learning Framework for Stock Trading,Zheye Deng; Weixiang Yan; Changlong Yu; Jiashu Wang,2026,Findings of the Association for Computational Linguistics: ACL 2026,inproceedings,2026.findings-acl.456,,ACL Anthology citation metadata,SYS-ALPHA-QUANTER,AlphaQuanter,T,yes,IN: sequential tool-augmented RL trading agent.
CensusArxiv250514738,CensusArxiv250514738,yes,https://aka.ms/RD-Agent-Tech-Report,R&D-Agent: An LLM-Agent Framework Towards Autonomous Data Science,Xu Yang; Xiao Yang; Shikai Fang; Yifei Zhang; Jian Wang; Bowen Xian; Qizheng Li; Jingyuan Li; Minrui Xu; Yuante Li; Haoran Pan; Yuge Zhang; Weiqing Liu; Yelong Shen; Weizhu Chen; Jiang Bian,2025,arXiv,misc,2505.14738,cs.AI,arXiv API via resolved aka.ms primary record,SYS-RD-AGENT-QUANT,R&D-Agent-Quant,F,yes,IN: agentic factor/model co-optimization.
CensusWebalphabenchcc,CensusWebalphabenchcc,yes,https://alphabench.cc/,AlphaBench: Benchmarking Large Language Models in Formulaic Alpha Factor Mining,Haochen Luo; Ho Tin Ko; Jiandong Chen; David Sun; Yuan Zhang; Chen Liu,2026,The Fourteenth International Conference on Learning Representations,inproceedings,https://alphabench.cc/,,official AlphaBench citation block,SYS-ALPHA-BENCH,AlphaBench,B,no,"OUT: formula-alpha benchmark, not a candidate method."
CensusArxiv200208245,CensusArxiv200208245,yes,https://arxiv.org/abs/2002.08245,AutoAlpha: an Efficient Hierarchical Evolutionary Algorithm for Mining Alpha Factors in Quantitative Investment,Tianping Zhang; Yuanqi Li; Yifei Jin; Jian Li,2020,arXiv,misc,2002.08245,q-fin.CP,arXiv API,SYS-AUTO-ALPHA,AutoAlpha,M,no,OUT: mechanistic/non-LLM alpha discovery.
CensusArxiv210316196,CensusArxiv210316196,yes,https://arxiv.org/abs/2103.16196,AlphaEvolve: A Learning Framework to Discover Novel Alphas in Quantitative Investment,Can Cui; Wei Wang; Meihui Zhang; Gang Chen; Zhaojing Luo; Beng Chin Ooi,2021,arXiv,misc,2103.16196,cs.AI,arXiv API,SYS-ALPHA-EVOLVE-FINANCE,AlphaEvolve — financial evolutionary method,M,no,OUT: non-LLM evolutionary comparator.
CensusArxiv230800016,WorkAlphaGPT,no,https://arxiv.org/abs/2308.00016,Alpha-GPT: Human-AI Interactive Alpha Mining for Quantitative Investment,Saizhuo Wang; Hang Yuan; Leon Zhou; Lionel M. Ni; Heung-Yeung Shum; Jian Guo,2023,arXiv,misc,2308.00016,q-fin.CP,arXiv API,SYS-ALPHA-GPT,Alpha-GPT lineage,F,yes,IN: human-in-the-loop formulaic alpha mining.
CensusArxiv231113743,CensusArxiv231113743,yes,https://arxiv.org/abs/2311.13743,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,Yangyang Yu; Haohang Li; Zhi Chen; Yuechen Jiang; Yang Li; Denghui Zhang; Rong Liu; Jordan W. Suchow; Khaldoun Khashanah,2023,arXiv,misc,2311.13743,q-fin.CP,arXiv API,SYS-FIN-MEM,FinMem,T,yes,IN: memory-augmented sequential trading agent.
CensusArxiv240203755,CensusArxiv240203755,yes,https://arxiv.org/abs/2402.03755,QuantAgent: Seeking Holy Grail in Trading by Self-Improving Large Language Model,Saizhuo Wang; Hang Yuan; Lionel M. Ni; Jian Guo,2024,arXiv,misc,2402.03755,cs.AI,arXiv API,SYS-QUANT-AGENT-SELF-IMPROVING,QuantAgent — Seeking Holy Grail in Trading by Self-Improving LLM,T,yes,IN: sequential self-improving trading agent.
