candidate_id,closest_jkp_factor,correlation,absolute_correlation
alpha_jungle_multiscale_price_volume,char__beta_60m,0.6008896129883543,0.6008896129883543
alpha_jungle_range_volume_interaction,char__ivol_capm_252d,0.6511456848438651,0.6511456848438651
alpha_jungle_volume_ma_diff,char__betabab_1260d,0.6740813831134368,0.6740813831134368
efs_decay_return_dispersion,char__turnover_126d,0.6842002339135502,0.6842002339135502
efs_multi_horizon_mean_volatility,char__ni_me,-0.6105477981272118,0.6105477981272118
efs_regime_momentum_normalized_mean,char__zero_trades_21d,-0.6512486411660775,0.6512486411660775
efs_regime_switched_return_volatility,char__ret_6_1,0.2383169318120122,0.2383169318120122
efs_skew_gated_breakout,char__qmj_safety,-0.5101053524987097,0.5101053524987097
quantagent_atr14_breakout_literal,char__dolvol_var_126d,0.5639019630280365,0.5639019630280365
quantevolver_price_zscore_reversal_120,char__prc,-0.8592391925264794,0.8592391925264794
quantevolver_return_log_volume_corr_60,char__seas_1_1na,0.8466939282667778,0.8466939282667778
quantevolver_return_sharpe_60,char__be_me,-0.8835722356563546,0.8835722356563546
