repository,url,branch,head_commit,relation_to_official_head,commits_ahead_of_official,commits_behind_official,fork_created_at,fork_pushed_at,tag_refs,unique_commits_beyond_official_history,unique_blobs_beyond_official_history,native_result_artifact_found,paper_result_credit
jingmouren/chengjunyan1-AAPM,https://github.com/jingmouren/chengjunyan1-AAPM,main,6c97ee30007dcc74871bbac23aeab9af13f850bd,official_history_ancestor,0,5,2024-09-27T09:20:42Z,2024-09-25T18:09:08Z,0,0,0,False,False
shu-cj/AAPM,https://github.com/shu-cj/AAPM,main,6c97ee30007dcc74871bbac23aeab9af13f850bd,official_history_ancestor,0,5,2025-03-01T13:02:29Z,2024-09-25T18:09:08Z,0,0,0,False,False
pengmeishu/AAPM,https://github.com/pengmeishu/AAPM,main,6c8324fddc6ba5d2f548cc4da06aa851507929a2,official_history_ancestor,0,4,2025-04-24T12:30:15Z,2025-03-28T00:52:17Z,0,0,0,False,False
yinsenm/AAPM,https://github.com/yinsenm/AAPM,main,65e724d17a87de08789b3b97e4c920152e3220d4,official_history_ancestor,0,3,2025-07-13T11:42:11Z,2025-05-25T01:17:37Z,0,0,0,False,False
potpen/AAPM,https://github.com/potpen/AAPM,main,65e724d17a87de08789b3b97e4c920152e3220d4,official_history_ancestor,0,3,2025-09-22T22:00:17Z,2025-05-25T01:17:37Z,0,0,0,False,False
HS991023/AAPM,https://github.com/HS991023/AAPM,main,65e724d17a87de08789b3b97e4c920152e3220d4,official_history_ancestor,0,3,2025-09-22T22:14:34Z,2025-05-25T01:17:37Z,0,0,0,False,False
Lycokie/AAPM,https://github.com/Lycokie/AAPM,main,65e724d17a87de08789b3b97e4c920152e3220d4,official_history_ancestor,0,3,2025-09-22T22:23:11Z,2025-05-25T01:17:37Z,0,0,0,False,False
d3p10y/AAPM,https://github.com/d3p10y/AAPM,main,65e724d17a87de08789b3b97e4c920152e3220d4,official_history_ancestor,0,3,2025-09-22T22:37:26Z,2025-05-25T01:17:37Z,0,0,0,False,False
Minisoco/AAPM,https://github.com/Minisoco/AAPM,main,65e724d17a87de08789b3b97e4c920152e3220d4,official_history_ancestor,0,3,2025-09-22T22:50:23Z,2025-05-25T01:17:37Z,0,0,0,False,False
coder-drinker/AAPM,https://github.com/coder-drinker/AAPM,main,65e724d17a87de08789b3b97e4c920152e3220d4,official_history_ancestor,0,3,2025-09-23T02:25:19Z,2025-05-25T01:17:37Z,0,0,0,False,False
tufo830/AAPM,https://github.com/tufo830/AAPM,main,65e724d17a87de08789b3b97e4c920152e3220d4,official_history_ancestor,0,3,2025-09-23T05:20:46Z,2025-05-25T01:17:37Z,0,0,0,False,False
tutuna/AAPM,https://github.com/tutuna/AAPM,main,65e724d17a87de08789b3b97e4c920152e3220d4,official_history_ancestor,0,3,2025-09-23T10:19:13Z,2025-05-25T01:17:37Z,0,0,0,False,False
ch1plus1/AAPM,https://github.com/ch1plus1/AAPM,main,cc54e4337fcd4089dc69e4a1173e82a675648475,official_head_exact,0,0,2026-04-14T08:18:51Z,2026-03-01T20:51:01Z,0,0,0,False,False
yangkedc1984/AAPM,https://github.com/yangkedc1984/AAPM,main,cc54e4337fcd4089dc69e4a1173e82a675648475,official_head_exact,0,0,2026-06-01T13:06:45Z,2026-03-01T20:51:01Z,0,0,0,False,False
