paper_version,paper_table,display_cell_id,row_index,row_label,result_position,metric,paper_value,native_reproduced_value,native_alpha_jungle_result_credit,paper_result_credit,status
v1,ablation,v1/ablation/row0/LightGBM_IC,0,CoT | | | | |,0,LightGBM_IC,0.0434,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row0/LightGBM_RankIC,0,CoT | | | | |,1,LightGBM_RankIC,0.0395,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row0/LightGBM_AR,0,CoT | | | | |,2,LightGBM_AR,0.0707,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row0/LightGBM_IR,0,CoT | | | | |,3,LightGBM_IR,0.7461,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row0/MLP_IC,0,CoT | | | | |,4,MLP_IC,0.0421,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row0/MLP_RankIC,0,CoT | | | | |,5,MLP_RankIC,0.0393,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row0/MLP_AR,0,CoT | | | | |,6,MLP_AR,0.0922,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row0/MLP_IR,0,CoT | | | | |,7,MLP_IR,0.9962,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row1/LightGBM_IC,1,ToT | | | | |,0,LightGBM_IC,0.0459,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row1/LightGBM_RankIC,1,ToT | | | | |,1,LightGBM_RankIC,0.0427,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row1/LightGBM_AR,1,ToT | | | | |,2,LightGBM_AR,0.0868,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row1/LightGBM_IR,1,ToT | | | | |,3,LightGBM_IR,0.9337,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row1/MLP_IC,1,ToT | | | | |,4,MLP_IC,0.0452,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row1/MLP_RankIC,1,ToT | | | | |,5,MLP_RankIC,0.0435,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row1/MLP_AR,1,ToT | | | | |,6,MLP_AR,0.0945,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row1/MLP_IR,1,ToT | | | | |,7,MLP_IR,1.0348,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row2/LightGBM_IC,2,MCTS | | | | |,0,LightGBM_IC,0.0409,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row2/LightGBM_RankIC,2,MCTS | | | | |,1,LightGBM_RankIC,0.0374,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row2/LightGBM_AR,2,MCTS | | | | |,2,LightGBM_AR,0.0941,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row2/LightGBM_IR,2,MCTS | | | | |,3,LightGBM_IR,0.9775,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row2/MLP_IC,2,MCTS | | | | |,4,MLP_IC,0.0400,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row2/MLP_RankIC,2,MCTS | | | | |,5,MLP_RankIC,0.0376,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row2/MLP_AR,2,MCTS | | | | |,6,MLP_AR,0.0935,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row2/MLP_IR,2,MCTS | | | | |,7,MLP_IR,1.0010,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row3/LightGBM_IC,3,MCTS | | | | |,0,LightGBM_IC,0.0501,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row3/LightGBM_RankIC,3,MCTS | | | | |,1,LightGBM_RankIC,0.0476,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row3/LightGBM_AR,3,MCTS | | | | |,2,LightGBM_AR,0.1003,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row3/LightGBM_IR,3,MCTS | | | | |,3,LightGBM_IR,1.0106,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row3/MLP_IC,3,MCTS | | | | |,4,MLP_IC,0.0486,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row3/MLP_RankIC,3,MCTS | | | | |,5,MLP_RankIC,0.0462,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row3/MLP_AR,3,MCTS | | | | |,6,MLP_AR,0.1023,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row3/MLP_IR,3,MCTS | | | | |,7,MLP_IR,1.0462,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row4/LightGBM_IC,4,MCTS | | | | |,0,LightGBM_IC,0.0492,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row4/LightGBM_RankIC,4,MCTS | | | | |,1,LightGBM_RankIC,0.0457,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row4/LightGBM_AR,4,MCTS | | | | |,2,LightGBM_AR,0.1063,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row4/LightGBM_IR,4,MCTS | | | | |,3,LightGBM_IR,1.1062,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row4/MLP_IC,4,MCTS | | | | |,4,MLP_IC,0.0489,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row4/MLP_RankIC,4,MCTS | | | | |,5,MLP_RankIC,0.0462,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row4/MLP_AR,4,MCTS | | | | |,6,MLP_AR,0.1185,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row4/MLP_IR,4,MCTS | | | | |,7,MLP_IR,1.2556,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row5/LightGBM_IC,5,MCTS | | | | |,0,LightGBM_IC,0.0495,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row5/LightGBM_RankIC,5,MCTS | | | | |,1,LightGBM_RankIC,0.0462,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row5/LightGBM_AR,5,MCTS | | | | |,2,LightGBM_AR,0.1030,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row5/LightGBM_IR,5,MCTS | | | | |,3,LightGBM_IR,1.0331,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row5/MLP_IC,5,MCTS | | | | |,4,MLP_IC,0.0491,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row5/MLP_RankIC,5,MCTS | | | | |,5,MLP_RankIC,0.0465,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row5/MLP_AR,5,MCTS | | | | |,6,MLP_AR,0.1093,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row5/MLP_IR,5,MCTS | | | | |,7,MLP_IR,1.1773,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
v1,ablation,v1/ablation/row6/LightGBM_IC,6,MCTS | | | | |,0,LightGBM_IC,0.0515,,False,False,not_reproduced_no_author_source_exact_inputs_or_native_outputs
