lineage_id,paper_table,mapping,v1_row_index,v1_metric,v1_value,v3_row_index,v3_metric,v3_value,same_numeric_display_value,AR_to_AER_semantic_relabel,current_v3_AR_header_conflicts_with_AER_definition,status,native_reproduction_credit
same_table_cell_ordinal/v1/ablation/row0/LightGBM_IC->v3/ablation/row0/LightGBM_IC,ablation,same_table_cell_ordinal,0,LightGBM_IC,0.0434,0,LightGBM_IC,0.0434,True,False,False,unchanged_between_v1_v3,False
same_table_cell_ordinal/v1/ablation/row0/LightGBM_RankIC->v3/ablation/row0/LightGBM_RankIC,ablation,same_table_cell_ordinal,0,LightGBM_RankIC,0.0395,0,LightGBM_RankIC,0.0395,True,False,False,unchanged_between_v1_v3,False
same_table_cell_ordinal/v1/ablation/row0/LightGBM_AR->v3/ablation/row0/LightGBM_AER,ablation,same_table_cell_ordinal,0,LightGBM_AR,0.0707,0,LightGBM_AER,0.0707,True,True,False,v1_AR_relabelled_as_v3_AER_same_numeric_value,False
same_table_cell_ordinal/v1/ablation/row0/LightGBM_IR->v3/ablation/row0/LightGBM_IR,ablation,same_table_cell_ordinal,0,LightGBM_IR,0.7461,0,LightGBM_IR,0.7461,True,False,False,unchanged_between_v1_v3,False
same_table_cell_ordinal/v1/ablation/row0/MLP_IC->v3/ablation/row0/MLP_IC,ablation,same_table_cell_ordinal,0,MLP_IC,0.0421,0,MLP_IC,0.0421,True,False,False,unchanged_between_v1_v3,False
same_table_cell_ordinal/v1/ablation/row0/MLP_RankIC->v3/ablation/row0/MLP_RankIC,ablation,same_table_cell_ordinal,0,MLP_RankIC,0.0393,0,MLP_RankIC,0.0393,True,False,False,unchanged_between_v1_v3,False
same_table_cell_ordinal/v1/ablation/row0/MLP_AR->v3/ablation/row0/MLP_AER,ablation,same_table_cell_ordinal,0,MLP_AR,0.0922,0,MLP_AER,0.0922,True,True,False,v1_AR_relabelled_as_v3_AER_same_numeric_value,False
same_table_cell_ordinal/v1/ablation/row0/MLP_IR->v3/ablation/row0/MLP_IR,ablation,same_table_cell_ordinal,0,MLP_IR,0.9962,0,MLP_IR,0.9962,True,False,False,unchanged_between_v1_v3,False
same_table_cell_ordinal/v1/ablation/row1/LightGBM_IC->v3/ablation/row1/LightGBM_IC,ablation,same_table_cell_ordinal,1,LightGBM_IC,0.0459,1,LightGBM_IC,0.0459,True,False,False,unchanged_between_v1_v3,False
same_table_cell_ordinal/v1/ablation/row1/LightGBM_RankIC->v3/ablation/row1/LightGBM_RankIC,ablation,same_table_cell_ordinal,1,LightGBM_RankIC,0.0427,1,LightGBM_RankIC,0.0427,True,False,False,unchanged_between_v1_v3,False
