paper_figure,asset_pool,metric,top_n,holding_days,paper_value,native_reproduced_value,absolute_difference,extraction,status,paper_result_credit
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,1,1,9.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,1,2,7.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,1,3,7.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,1,5,6.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,1,7,6.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,1,10,6.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,1,15,5.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,1,20,6.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,2,1,7.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,2,2,7.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,2,3,7.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,2,5,7.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,2,7,7.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,2,10,6.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,2,15,6.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,2,20,6.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,3,1,8.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,3,2,7.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,3,3,7.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,3,5,6.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,3,7,7.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,3,10,6.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,3,15,6.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,3,20,7.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,5,1,9.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,5,2,7.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,5,3,6.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,5,5,6.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,5,7,6.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,5,10,6.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,5,15,6.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,5,20,6.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,7,1,14.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,7,2,8.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,7,3,8.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,7,5,7.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,7,7,6.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,7,10,6.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,7,15,7.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,7,20,7.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,10,1,13.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,10,2,8.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,10,3,7.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,10,5,6.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,10,7,6.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,10,10,6.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,10,15,6.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,10,20,6.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,20,1,18.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,20,2,11.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,20,3,8.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
