discovery_date,repository,tip_commit,factor_id,expression_file,ingested_at,ingest_status,source,eval_start,eval_end,n_days,ic,icir,rank_ic,annualized_long_short_ir,postpaper_disjoint_rewrite_artifact,attributable_to_paper_run,paper_result_credit
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,amount_cv_40d,artifacts/factorzoo/stock_1d/expressions/amount_cv_40d.dsl,2026-08-21T09:59:12.014875+00:00,stored,submit,2019-01-01,2024-12-31,1407,-0.022965420728742386,-0.3872947553882842,-0.04636922584081144,-7.573995580304571,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,amp_cv60_devcube80,artifacts/factorzoo/stock_1d/expressions/amp_cv60_devcube80.dsl,2026-08-21T23:28:09.188090+00:00,stored,submit,2019-01-01,2024-12-31,1407,0.031144740471698865,0.46679186445258714,0.05663772308272699,7.077875564329199,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,amt_ret_rank_diff,artifacts/factorzoo/stock_1d/expressions/amt_ret_rank_diff.dsl,2026-08-04T02:17:41.475731+00:00,stored,submit,2019-01-01,2025-12-31,1699,-0.014429872824346868,-0.2074536256106453,-0.037803511402087285,-3.3710398645419923,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,comb6_mom60_quality,artifacts/factorzoo/stock_1d/expressions/comb6_mom60_quality.dsl,2026-08-21T09:46:46.662248+00:00,stored,submit,2019-01-01,2024-12-31,1407,0.024413185757197885,0.3023455886466197,0.05790428006375208,3.8222950346633953,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,cov_ret_vol_neg20,artifacts/factorzoo/stock_1d/expressions/cov_ret_vol_neg20.dsl,2026-08-04T04:58:00.631787+00:00,stored,submit,2019-01-01,2025-12-31,1699,0.011756698935567545,0.15311157142050885,0.03581231033518512,1.9040700545695388,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,hi250_lowvol40_rev10_neut,artifacts/factorzoo/stock_1d/expressions/hi250_lowvol40_rev10_neut.dsl,2026-08-21T09:24:56.940379+00:00,stored,submit,2019-01-01,2024-12-31,1407,0.03636876355168395,0.37715271343175466,0.06920249591839651,5.031456515805387,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,kline_geom20_mom_wk_tr_vwap,artifacts/factorzoo/stock_1d/expressions/kline_geom20_mom_wk_tr_vwap.dsl,2026-08-04T22:09:23.055213+00:00,stored,submit,2018-01-01,2023-12-31,1436,0.04315674693782282,0.4729173349265005,0.06982308836001769,7.252726862670908,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,low_turn_low_cv_combo,artifacts/factorzoo/stock_1d/expressions/low_turn_low_cv_combo.dsl,2026-08-04T10:00:15.903119+00:00,stored,submit,2018-01-01,2023-12-31,1383,0.060942534329257086,0.673709824712281,0.0956144636693005,10.728599942751615,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,mom_resi60_wk_ma13_39,artifacts/factorzoo/stock_1d/expressions/mom_resi60_wk_ma13_39.dsl,2026-08-04T20:03:35.581654+00:00,stored,submit,2018-01-01,2023-12-31,1395,0.03149875145960845,0.28937915357461186,0.04697623671117286,4.428522499433138,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,negskew_park60,artifacts/factorzoo/stock_1d/expressions/negskew_park60.dsl,2026-08-04T10:38:57.896502+00:00,stored,submit,2018-01-01,2023-12-31,1454,0.02788594927686473,0.31140809281263554,0.07731879826638938,4.270209810296005,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,park90_lowvol_volspike_and_neut,artifacts/factorzoo/stock_1d/expressions/park90_lowvol_volspike_and_neut.dsl,2026-08-22T00:22:06.534332+00:00,stored,submit,2019-01-01,2024-12-31,1407,0.03218129424073523,0.37076547312645064,0.08082288203133002,5.485831716491045,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,park_z180_intraday_share_halfw,artifacts/factorzoo/stock_1d/expressions/park_z180_intraday_share_halfw.dsl,2026-08-22T00:59:07.281735+00:00,stored,submit,2019-01-01,2024-12-31,1407,0.022785464647377022,0.31675293724272496,0.046618995236759074,4.5412387406166665,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,park_z180_park_vov60_combo,artifacts/factorzoo/stock_1d/expressions/park_z180_park_vov60_combo.dsl,2026-08-22T01:30:39.297446+00:00,stored,submit,2019-01-01,2024-12-31,1407,0.027608436817876558,0.34693520214841955,0.06159448873167825,5.084749294243345,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,pe_rev_vwap,artifacts/factorzoo/stock_1d/expressions/pe_rev_vwap.dsl,2026-08-04T22:15:54.796703+00:00,stored,submit,2018-01-01,2023-12-31,1454,0.0352962173208134,0.5620167705282827,0.0341030390645128,9.079491185414208,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,pv_diverg_ema_vol,artifacts/factorzoo/stock_1d/expressions/pv_diverg_ema_vol.dsl,2026-08-04T04:26:30.041193+00:00,stored,submit,2019-01-01,2025-12-31,1699,0.009012032800677557,0.11787188846350044,0.02669818795163995,2.224148579281213,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,skew80_lottery_neg,artifacts/factorzoo/stock_1d/expressions/skew80_lottery_neg.dsl,2026-08-21T22:34:24.312733+00:00,stored,submit,2019-01-01,2024-12-31,1407,-0.016712888974869913,-0.29954855085670584,-0.03590938325439641,-4.040403059617258,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,skewmom80_volchg_smooth_combo,artifacts/factorzoo/stock_1d/expressions/skewmom80_volchg_smooth_combo.dsl,2026-08-21T22:56:21.002426+00:00,stored,submit,2019-01-01,2024-12-31,1407,0.022239798605296658,0.25539921377318575,0.0565427142737229,3.4041674536634936,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,turn_burst_share30,artifacts/factorzoo/stock_1d/expressions/turn_burst_share30.dsl,2026-08-21T09:30:57.255181+00:00,stored,submit,2019-01-01,2024-12-31,1407,-0.021701518637397114,-0.3943792379401012,-0.0448322854902652,-7.911005389041952,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,vol_instab_combo_vov_range_ratio,artifacts/factorzoo/stock_1d/expressions/vol_instab_combo_vov_range_ratio.dsl,2026-08-21T09:53:15.696352+00:00,stored,submit,2019-01-01,2024-12-31,1407,0.027326477026150542,0.39676615048806496,0.05377006294447722,5.398800079689282,True,False,False
2026-08-30,Wangchanghao12/AlphaAgent,f1491fa298b466667a46fa15ad712f86e0dcbc8a,vol_neg_park_skew40_du,artifacts/factorzoo/stock_1d/expressions/vol_neg_park_skew40_du.dsl,2026-08-04T14:29:00.291071+00:00,stored,submit,2018-01-01,2023-12-31,1380,0.029314049699946443,0.37954704079615137,0.0695563092798489,5.874250020791242,True,False,False
