paper_version,display_index,logical_figure_id,declared_path,archive_path,source_asset_sha256,source_asset_bytes,lineage_status,paper_result_credit
v1,1,workflow_overview,figures/Overview.pdf,figures/Overview.pdf,4a681df46ce8b7db8eff46b7cea438ecc004fcc4e1d1fe9fc5f9712475319d01,164180,source_asset_revised_in_v2,False
v1,2,ast_originality_example,figures/ast.pdf,figures/ast.pdf,45a2cafde4ac43213280afe89941c1b737fbd45ccb29652a2f676f6737735193,119891,byte_identical,False
v1,3,cumulative_excess_returns,figures/ex_return.pdf,figures/ex_return.pdf,ac81c801dee83200e42aef21f8f8ae5d10679e148a5e03f360fcb2f92d61f05e,119697,source_asset_revised_in_v2,False
v1,4,yearly_ic_rankic_csi500,figures/yearly_ic_ric_CSI500.pdf,figures/yearly_ic_ric_csi500.pdf,9982a4bb9665efbbc7b29a75817ea2d339a966d5ea942115c3dd88d8ca94b216,17027,byte_identical,False
v1,5,five_round_ic_evolution,figures/ic_std.pdf,figures/ic_std.pdf,77b14d1f4752ec5de8b0c56de49a5392ce251151b09f40c7866656205bf32c64,12824,source_asset_revised_in_v2,False
v1,6,hit_ratio_development_token_efficiency,figures/hit_ratio_comparison.pdf,figures/hit_ratio_comparison.pdf,7f88e4cd063efee6211704ed9ad461613cc5b1985a551a750fe273f2ec032d60,15258,byte_identical,False
v2,1,workflow_overview,figures/Overview.png,figures/Overview.png,9ed1b4281998aa30bf46558cf50b5aee4b390a457d92ceffd4f5217e65aafd86,378829,source_asset_revised_in_v2,False
v2,2,ast_originality_example,figures/ast.pdf,figures/ast.pdf,45a2cafde4ac43213280afe89941c1b737fbd45ccb29652a2f676f6737735193,119891,byte_identical,False
v2,3,cumulative_excess_returns,figures/ex_return_cr.pdf,figures/ex_return_cr.pdf,277c451038a9c008c375f719e23e13ac9b83367e4a61e2275f9d74e682150486,146881,source_asset_revised_in_v2,False
v2,4,yearly_ic_rankic_csi500,figures/yearly_ic_ric_CSI500.pdf,figures/yearly_ic_ric_csi500.pdf,9982a4bb9665efbbc7b29a75817ea2d339a966d5ea942115c3dd88d8ca94b216,17027,byte_identical,False
v2,5,five_round_ic_evolution,figures/ic_std_cr.pdf,figures/ic_std_cr.pdf,149fa5a4e73c48302ee67fb344a0399b06b63927a8a07ca4a7dc6c71609536b6,14722,source_asset_revised_in_v2,False
v2,6,hit_ratio_development_token_efficiency,figures/hit_ratio_comparison.pdf,figures/hit_ratio_comparison.pdf,7f88e4cd063efee6211704ed9ad461613cc5b1985a551a750fe273f2ec032d60,15258,byte_identical,False
v2,7,base_llm_performance_radar,figures/llm_performance_radar_charts.png,figures/llm_performance_radar_charts.png,0f93771b164d9c911b0f5716561729258513c5840cddcfb3cfebd2fbc3511d5e,729787,added_in_v2,False
