display_cell_id,paper_table,cell_role,entity,market,metric,v1_period,v1_value,v2_period,v2_value,status,paper_result_credit
1|testing|CSI500|trading_days,1,configuration,testing,CSI500,trading_days,2021-01 to 2024-12,968.0,2021-01 to 2025-01,968.0,configuration_label_revised_in_v2,False
1|testing|S&P500|trading_days,1,configuration,testing,S&P500,trading_days,2021-01 to 2024-12,1004.0,2021-01 to 2025-01,1004.0,configuration_label_revised_in_v2,False
1|training|CSI500|trading_days,1,configuration,training,CSI500,trading_days,2015-01 to 2019-12,1219.0,2015-01 to 2019-12,1219.0,unchanged,False
1|training|S&P500|trading_days,1,configuration,training,S&P500,trading_days,2015-01 to 2019-12,1258.0,2015-01 to 2019-12,1258.0,unchanged,False
1|validation|CSI500|trading_days,1,configuration,validation,CSI500,trading_days,2020-01 to 2020-12,243.0,2020-01 to 2020-12,243.0,unchanged,False
1|validation|S&P500|trading_days,1,configuration,validation,S&P500,trading_days,2020-01 to 2020-12,253.0,2020-01 to 2020-12,253.0,unchanged,False
2|AlphaAgent|CSI500|AR_pct,2,result,AlphaAgent,CSI500,AR_pct,2021-01-01 to 2024-12-31,11.0,2021-01-01 to 2024-12-31,11.0,unchanged,False
2|AlphaAgent|CSI500|IC,2,result,AlphaAgent,CSI500,IC,2021-01-01 to 2024-12-31,0.0212,2021-01-01 to 2024-12-31,0.0212,unchanged,False
2|AlphaAgent|CSI500|ICIR,2,result,AlphaAgent,CSI500,ICIR,2021-01-01 to 2024-12-31,0.1938,2021-01-01 to 2024-12-31,0.1938,unchanged,False
2|AlphaAgent|CSI500|IR,2,result,AlphaAgent,CSI500,IR,2021-01-01 to 2024-12-31,1.488,2021-01-01 to 2024-12-31,1.488,unchanged,False
2|AlphaAgent|CSI500|MDD_pct,2,result,AlphaAgent,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-9.36,2021-01-01 to 2024-12-31,-9.36,unchanged,False
2|AlphaAgent|S&P500|AR_pct,2,result,AlphaAgent,S&P500,AR_pct,2021-01-01 to 2024-12-31,8.74,2021-01-01 to 2024-12-31,8.74,unchanged,False
2|AlphaAgent|S&P500|IC,2,result,AlphaAgent,S&P500,IC,2021-01-01 to 2024-12-31,0.0056,2021-01-01 to 2024-12-31,0.0056,unchanged,False
2|AlphaAgent|S&P500|ICIR,2,result,AlphaAgent,S&P500,ICIR,2021-01-01 to 2024-12-31,0.0552,2021-01-01 to 2024-12-31,0.0552,unchanged,False
2|AlphaAgent|S&P500|IR,2,result,AlphaAgent,S&P500,IR,2021-01-01 to 2024-12-31,1.0545,2021-01-01 to 2024-12-31,1.0545,unchanged,False
2|AlphaAgent|S&P500|MDD_pct,2,result,AlphaAgent,S&P500,MDD_pct,2021-01-01 to 2024-12-31,-9.1,2021-01-01 to 2024-12-31,-9.1,unchanged,False
2|AlphaForge|CSI500|AR_pct,2,result,AlphaForge,CSI500,AR_pct,2021-01-01 to 2024-12-31,3.45,2021-01-01 to 2024-12-31,3.45,unchanged,False
2|AlphaForge|CSI500|IC,2,result,AlphaForge,CSI500,IC,2021-01-01 to 2024-12-31,0.0146,2021-01-01 to 2024-12-31,0.0146,unchanged,False
2|AlphaForge|CSI500|ICIR,2,result,AlphaForge,CSI500,ICIR,2021-01-01 to 2024-12-31,0.1299,2021-01-01 to 2024-12-31,0.1299,unchanged,False
2|AlphaForge|CSI500|IR,2,result,AlphaForge,CSI500,IR,2021-01-01 to 2024-12-31,0.327,2021-01-01 to 2024-12-31,0.327,unchanged,False
2|AlphaForge|CSI500|MDD_pct,2,result,AlphaForge,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-17.67,2021-01-01 to 2024-12-31,-17.67,unchanged,False
2|AlphaForge|S&P500|AR_pct,2,result,AlphaForge,S&P500,AR_pct,2021-01-01 to 2024-12-31,2.1,2021-01-01 to 2024-12-31,2.45,numeric_value_revised_in_v2,False
2|AlphaForge|S&P500|IC,2,result,AlphaForge,S&P500,IC,2021-01-01 to 2024-12-31,0.0017,2021-01-01 to 2024-12-31,0.0026,numeric_value_revised_in_v2,False
