figure,printed_numeric_annotation,printed_value,underlying_array_recovered,published_annotation_regenerated,paper_result_credit
figure_4_ablation,1,0.938,False,False,False
figure_4_ablation,2,0.973,False,False,False
figure_4_ablation,3,0.923,False,False,False
figure_4_ablation,4,0.960,False,False,False
figure_4_ablation,5,0.54,False,False,False
figure_4_ablation,6,0.51,False,False,False
figure_4_ablation,7,0.65,False,False,False
figure_4_ablation,8,0.67,False,False,False
figure_4_ablation,9,0.70,False,False,False
figure_4_ablation,10,0.76,False,False,False
figure_4_ablation,11,0.513,False,False,False
figure_4_ablation,12,0.510,False,False,False
figure_4_ablation,13,0.581,False,False,False
figure_4_ablation,14,0.706,False,False,False
figure_4_ablation,15,0.660,False,False,False
figure_4_ablation,16,0.725,False,False,False
figure_5_similarity,1,0.043,False,False,False
figure_5_similarity,2,0.722,False,False,False
figure_5_similarity,3,0.039,False,False,False
figure_5_similarity,4,0.263,False,False,False
figure_5_similarity,5,0.040,False,False,False
figure_5_similarity,6,0.219,False,False,False
figure_5_similarity,7,0.043,False,False,False
figure_5_similarity,8,0.583,False,False,False
figure_5_similarity,9,0.039,False,False,False
figure_5_similarity,10,0.600,False,False,False
figure_5_similarity,11,0.058,False,False,False
figure_5_similarity,12,0.333,False,False,False
figure_5_similarity,13,0.083,False,False,False
figure_5_similarity,14,0.818,False,False,False
figure_6_out_of_sample,1,1.05,False,False,False
figure_6_out_of_sample,2,2.72,False,False,False
figure_8_case_study,1,-0.3529,False,False,False
figure_8_case_study,2,-0.0793,False,False,False
figure_8_case_study,3,-0.4712,False,False,False
figure_8_case_study,4,-0.8117,False,False,False
figure_8_case_study,5,0.9417,False,False,False
figure_8_case_study,6,0.6739,False,False,False
figure_8_case_study,7,0.543,False,False,False
figure_8_case_study,8,1.1863,False,False,False
