protocol,price_column,paper_table,family_or_setting,method,metric,paper_value,current_input_value,absolute_error,display_tolerance,display_precision_match,paper_result_credit,evidence_boundary
full_period_released_evaluator,adjusted_close,5,Market,B&H,GOOGL_arr_pct,-14.49,-16.532934661377794,2.042934661377794,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,5,Market,B&H,META_arr_pct,45.64,49.25262452975643,3.612624529756431,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,5,Market,B&H,MSFT_arr_pct,36.8,38.09831691870678,1.2983169187067816,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,5,Market,B&H,NVDA_arr_pct,25.47,26.374934746095203,0.9049347460952042,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,5,Market,B&H,TSLA_arr_pct,-28.91,-32.89039660199502,3.9803966019950217,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,5,Market,B&H,average_arr_pct,12.9,12.860508986237118,0.03949101376288233,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,5,Market,B&H,average_sr,0.57,0.36319742252722875,0.2068025774727712,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,5,Market,B&H,average_mdd_pct,31.13,33.91321547297337,2.783215472973371,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,10,Market,B&H,GOOGL_arr_pct,-14.49,-16.532934661377794,2.042934661377794,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,10,Market,B&H,GOOGL_sr,-0.35,-0.2271327562049481,0.12286724379505187,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,10,Market,B&H,GOOGL_mdd_pct,27.35,29.80448591229396,2.4544859122939577,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,10,Market,B&H,META_arr_pct,45.64,49.25262452975643,3.612624529756431,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,10,Market,B&H,META_sr,1.25,0.7984244670915025,0.4515755329084975,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,10,Market,B&H,META_mdd_pct,31.59,34.1348278901564,2.5448278901564017,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,10,Market,B&H,MSFT_arr_pct,36.8,38.09831691870678,1.2983169187067816,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,10,Market,B&H,MSFT_sr,1.41,0.8657507390243233,0.5442492609756766,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,10,Market,B&H,MSFT_mdd_pct,18.79,20.553877885339485,1.763877885339486,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,11,Market,B&H,NVDA_arr_pct,25.47,26.374934746095203,0.9049347460952042,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,11,Market,B&H,NVDA_sr,0.74,0.48172037101249904,0.25827962898750095,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,11,Market,B&H,NVDA_mdd_pct,33.83,36.886151249471,3.056151249471,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,11,Market,B&H,TSLA_arr_pct,-28.91,-32.89039660199502,3.9803966019950217,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
