repository,branch,head_sha,reachable_from_pinned_official_history,additional_commits,additional_result_or_log_paths,paper_result_credit
ALADIN99I/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,6303684b315fc3bedfc9b87db0e38e3102033d50,True,0,0,False
aptperson/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,6303684b315fc3bedfc9b87db0e38e3102033d50,True,0,0,False
aptperson/Automate-Strategy-Finding-with-LLM-in-Quant-investment,New-project,f28e274c8be373a7e3c1a325846f07d67b079250,True,0,0,False
BrainLyh/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
chayao2015/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
colinmgeorge/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
DatAvalon/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,496ad96f1fc525dcc43109401c11bcc79928bcd9,True,0,0,False
dkeraaaa/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
HUH99/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
jingmouren/kouzhizhuo-Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,496ad96f1fc525dcc43109401c11bcc79928bcd9,True,0,0,False
JohnsRun/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
Lilneo786/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
maxclchen/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,6303684b315fc3bedfc9b87db0e38e3102033d50,True,0,0,False
mengmajun/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,496ad96f1fc525dcc43109401c11bcc79928bcd9,True,0,0,False
omarovic01/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,496ad96f1fc525dcc43109401c11bcc79928bcd9,True,0,0,False
SBY7219/Automate-Strategy-with-LLM-in-Quant,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
ShawnWangXin/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
shenghansen/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
stophobia/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,496ad96f1fc525dcc43109401c11bcc79928bcd9,True,0,0,False
WangGuolin/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,6303684b315fc3bedfc9b87db0e38e3102033d50,True,0,0,False
wangyuaqi/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,496ad96f1fc525dcc43109401c11bcc79928bcd9,True,0,0,False
Warden7/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
wrchow/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
xieerduoyishengzhidi/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,8b50203faf50d0b561cf5ffee4d63dcdc4551884,True,0,0,False
yjj5855/Automate-Strategy-Finding-with-LLM-in-Quant-investment,main,496ad96f1fc525dcc43109401c11bcc79928bcd9,True,0,0,False
