path,extension,new_blob_versions,classification,exact_official_paper_v3_pdf_copy,date_loop_backtest_source,native_nonpaper_personal_portfolio_ledger,runtime_failure_diagnostic,native_paper_result_artifact,paper_result_credit
.claude/settings.local.json,.json,1,configuration_dependency_or_static_input_not_paper_result,False,False,False,False,False,False
.dockerignore,,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
.env.example,.example,5,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
.gitignore,,7,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
.roo/commands/openspec-apply.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
.roo/commands/openspec-archive.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
.roo/commands/openspec-proposal.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
.trae/documents/ContestTrade 实战化升级路线图.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
.trae/documents/Install Dependencies for ContestTrade.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
2508.00554v3.pdf,.pdf,1,exact_official_paper_v3_pdf_copy_not_result,True,False,False,False,False,False
AGENTS.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
CLAUDE.md,.md,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
CONFIG_SETUP.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
CONTRIBUTING.md,.md,3,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
Claude.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
Dockerfile,,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
LICENSE,,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
Makefile,,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
README.md,.md,5,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
README_cn.md,.md,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
README_en.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
ROOCODE.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
_print_cfg.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
_run_and_export.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
_run_company.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
add_cash.sh,.sh,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
add_holding.sh,.sh,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
agents_workspace/portfolio.json,.json,2,postpaper_personal_mixed_manual_and_ai_trade_ledger_not_paper_experiment,False,False,True,False,False,False
assets/architecture.jpg,.jpg,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
assets/contest_trade_cli_main.jpg,.jpg,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
assets/contest_trade_cli_report.jpg,.jpg,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
assets/contest_trade_cli_report_detail.jpg,.jpg,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
assets/contest_trade_cli_start.jpg,.jpg,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
assets/data_agent_overview.jpg,.jpg,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
assets/logo.jpg,.jpg,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
assets/performance_comparison.jpg,.jpg,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
assets/research_agent_overview.jpg,.jpg,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
auto_trade/add_cash.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
