repository,url,ref_kind,ref_name,head_commit,relation_to_official_history,unique_commits_beyond_official_history,paper_result_credit
2023bunny/ContestTrade,https://github.com/2023bunny/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
757463548/ContestTrade,https://github.com/757463548/ContestTrade,branch,main,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,official_history_reachable,0,False
a268749/ContestTrade,https://github.com/a268749/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
ACodePorter/ContestTrade,https://github.com/ACodePorter/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
alpha92012/ContestTrade,https://github.com/alpha92012/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
amazinggrey/ContestTrade,https://github.com/amazinggrey/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
arnjblancer/ContestTrade,https://github.com/arnjblancer/ContestTrade,branch,codex/find-and-fix-codebase-issue,da761e2883e4d52510ddc0ada6fdb0f92cc02581,divergent,1,False
arnjblancer/ContestTrade,https://github.com/arnjblancer/ContestTrade,branch,codex/implement-backtesting-option-for-analysis,42d01c4b404af92b8b6d8e3c678d2259e68176ba,divergent,4,False
arnjblancer/ContestTrade,https://github.com/arnjblancer/ContestTrade,branch,main,984034262281ea960b791f672278f12b82f57e8e,divergent,5,False
axiudoudou/ContestTrade,https://github.com/axiudoudou/ContestTrade,branch,main,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,official_history_reachable,0,False
BaiYeGX/ContestTrade,https://github.com/BaiYeGX/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
BelieveInBehavior/ContestTrade,https://github.com/BelieveInBehavior/ContestTrade,branch,feature/moreProvider,0664186962f68d74c2fc134b469ef73a58a50e79,divergent,2,False
BelieveInBehavior/ContestTrade,https://github.com/BelieveInBehavior/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
BelieveInBehavior/ContestTrade,https://github.com/BelieveInBehavior/ContestTrade,branch,test,380e653386686dd9c3c573e3e946900947076f82,divergent,5,False
bianjiehui/ContestTrade,https://github.com/bianjiehui/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
BourneNeo/ContestTrade,https://github.com/BourneNeo/ContestTrade,branch,main,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
BranceLee/contestTrade,https://github.com/BranceLee/contestTrade,branch,main,79fdf6b074e47eeb542bf4bb24b1ddf3e48dadf2,divergent,1,False
bygonetime/ContestTrade,https://github.com/bygonetime/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
cantonar/ContestTrade,https://github.com/cantonar/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
CareyWang/contesttrade,https://github.com/CareyWang/contesttrade,branch,dev,01ce65b53015513af4f2d5e2f2bfda72dd4d4c5b,official_history_reachable,0,False
CareyWang/contesttrade,https://github.com/CareyWang/contesttrade,branch,main,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
cautionsign/ContestTrade,https://github.com/cautionsign/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
chookbro95/ContestTrade,https://github.com/chookbro95/ContestTrade,branch,main,a56a1287f075d3fe5544f24507d304cfd22e242a,official_history_reachable,0,False
cmengting/ContestTrade,https://github.com/cmengting/ContestTrade,branch,main,8b829689755823fffcf86869dec5549ceb25606c,official_history_reachable,0,False
codeboyjc/ContestTrade,https://github.com/codeboyjc/ContestTrade,branch,main,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
CodeWithACA/ContestTrade,https://github.com/CodeWithACA/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
conucleus/ContestTrade,https://github.com/conucleus/ContestTrade,branch,main,6fc33fd416a00f2e0bd51a855adc77442b7c4e8e,official_history_reachable,0,False
daozhang107-ctrl/ContestTrade,https://github.com/daozhang107-ctrl/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
daxiajames/ContestTrade,https://github.com/daxiajames/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
derweeYang/ContestTrade,https://github.com/derweeYang/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
dfqc0571/ContestTrade,https://github.com/dfqc0571/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
doublew6/ContestTrade,https://github.com/doublew6/ContestTrade,branch,codex/fix-research-agent-loop,7354d05b7ae7580c9a2e583cd3a0547c2cf49dd5,divergent,1,False
doublew6/ContestTrade,https://github.com/doublew6/ContestTrade,branch,dev,b017ffaa23eee5043163b4a11b5803b6da58fd0e,official_history_reachable,0,False
doublew6/ContestTrade,https://github.com/doublew6/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
doublew6/ContestTrade,https://github.com/doublew6/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
doublew6/ContestTrade,https://github.com/doublew6/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
