paper_variant,metric,paper_value,author_trace_value,absolute_error,display_tolerance,author_numeric_correspondence,historical_code_action_replay_exact,model_identity_status,asset_identity_status,author_commit,author_blob,author_path,status,paper_method_faithful_credit
full,return_pct,28.47,28.47,0.0,0.0050000000010000005,True,True,mismatch,mismatch,a27f56c93941c1d50ee73dda9d2dff3c8117182f,b68ddce85603ba02435749e14a1d344504ef92ef,logs/btc-bull.out,numeric_match_but_btc_main_table_trace_and_model_conflict,False
full,sharpe_ratio,0.23,0.23,0.0,0.0050000000010000005,True,True,mismatch,mismatch,a27f56c93941c1d50ee73dda9d2dff3c8117182f,b68ddce85603ba02435749e14a1d344504ef92ef,logs/btc-bull.out,numeric_match_but_btc_main_table_trace_and_model_conflict,False
without_reflection,return_pct,17.14,17.14,0.0,0.0050000000010000005,True,True,mismatch,match,2074e0498c2502ba934d68355d98c0eb69eb65e7,22353ec7ca5b0f58b758f0afe4a4aa5a93044103,logs/run_agent-wo-reflection.out,numeric_match_and_historical_state_replay_but_model_conflict,False
without_reflection,sharpe_ratio,0.06,0.06,0.0,0.0050000000010000005,True,True,mismatch,match,2074e0498c2502ba934d68355d98c0eb69eb65e7,22353ec7ca5b0f58b758f0afe4a4aa5a93044103,logs/run_agent-wo-reflection.out,numeric_match_and_historical_state_replay_but_model_conflict,False
without_news,return_pct,19.69,19.69,0.0,0.0050000000010000005,True,True,mismatch,match,b1684705ff235cc216d6994e63f7166cc1f75538,4872503f7114fc2e9c2a765a3675c1a06eaab052,logs/run_agent-wo-news.out,numeric_match_and_historical_state_replay_but_model_conflict,False
without_news,sharpe_ratio,0.06,0.06,0.0,0.0050000000010000005,True,True,mismatch,match,b1684705ff235cc216d6994e63f7166cc1f75538,4872503f7114fc2e9c2a765a3675c1a06eaab052,logs/run_agent-wo-news.out,numeric_match_and_historical_state_replay_but_model_conflict,False
without_transaction_statistics,return_pct,12.7,12.7,0.0,0.0050000000010000005,True,True,mismatch,match,308c661262edf26eb375e08a1cee265a4f5388dd,e7fb06974c2b5343d72a5490470830f76209e135,logs/run_agent-wo-txnstat.out,numeric_match_and_historical_state_replay_but_model_conflict,False
without_transaction_statistics,sharpe_ratio,0.05,0.05,0.0,0.0050000000010000005,True,True,mismatch,match,308c661262edf26eb375e08a1cee265a4f5388dd,e7fb06974c2b5343d72a5490470830f76209e135,logs/run_agent-wo-txnstat.out,numeric_match_and_historical_state_replay_but_model_conflict,False
without_technical,return_pct,17.27,17.27,0.0,0.0050000000010000005,True,True,mismatch,match,308c661262edf26eb375e08a1cee265a4f5388dd,90d1fb0ac5825d4f9334f04ea2cad43d75df86bc,logs/run_agent-wo-tech.out,numeric_match_and_historical_state_replay_but_model_conflict,False
without_technical,sharpe_ratio,0.05,0.05,0.0,0.0050000000010000005,True,True,mismatch,match,308c661262edf26eb375e08a1cee265a4f5388dd,90d1fb0ac5825d4f9334f04ea2cad43d75df86bc,logs/run_agent-wo-tech.out,numeric_match_and_historical_state_replay_but_model_conflict,False
base,return_pct,8.4,8.4,0.0,0.0050000000010000005,True,True,mismatch,match,308c661262edf26eb375e08a1cee265a4f5388dd,aeda712caf0c7411e9506996a45008b950f8e4e8,logs/run_agent-base.out,numeric_match_and_historical_state_replay_but_model_conflict,False
base,sharpe_ratio,0.03,0.03,0.0,0.0050000000010000005,True,True,mismatch,match,308c661262edf26eb375e08a1cee265a4f5388dd,aeda712caf0c7411e9506996a45008b950f8e4e8,logs/run_agent-base.out,numeric_match_and_historical_state_replay_but_model_conflict,False
