dataset,sparsity,lookback,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,paper_location,matlab_release,cw_sha256,original_asmcvar_paper_result_credit,native_efs_evidence
FF25,10,60,CW,973.23,973.230757216,973.23,True,Table 4,2023b,becc3e34c8fde6934c5d9b32926919dd5f977cf0645e29a88fb780818ee2aa6d,True,False
FF25,10,60,SR,0.2610,0.260984532254,0.2610,True,Table 5,2023b,becc3e34c8fde6934c5d9b32926919dd5f977cf0645e29a88fb780818ee2aa6d,True,False
FF25EU,10,60,CW,122.82,122.82487821,122.82,True,Table 4,2023b,5eec47323ec952af020b7fbb12004df97cd5836ef7dc414400645bcb86aa1a0e,True,False
FF25EU,10,60,SR,0.2758,0.275846153739,0.2758,True,Table 5,2023b,5eec47323ec952af020b7fbb12004df97cd5836ef7dc414400645bcb86aa1a0e,True,False
FF32,10,60,CW,1122.76,1122.75581232,1122.76,True,Table 4,2023b,08006c37827ab8cf41545da24dd50e9d5ab7887c152556cae080b18b50878f3e,True,False
FF32,10,60,SR,0.2638,0.263843887108,0.2638,True,Table 5,2023b,08006c37827ab8cf41545da24dd50e9d5ab7887c152556cae080b18b50878f3e,True,False
FF49,10,60,CW,758.66,758.658455326,758.66,True,Table 4,2023b,4798c840ba832594c660c176cc00585b870f76fa151508e939e1863da5cac36f,True,False
FF49,10,60,SR,0.2339,0.233849719004,0.2338,False,Table 5,2023b,4798c840ba832594c660c176cc00585b870f76fa151508e939e1863da5cac36f,False,False
FF100,10,60,CW,966.32,966.321078341,966.32,True,Table 4,2023b,ffb2a173cc191c5b3412a7475a76d0facb2a6875d110535b4a1077a6f72e880d,True,False
FF100,10,60,SR,0.2446,0.244622192615,0.2446,True,Table 5,2023b,ffb2a173cc191c5b3412a7475a76d0facb2a6875d110535b4a1077a6f72e880d,True,False
FF100MEOP,10,60,CW,783.47,783.465369051,783.47,True,Table 4,2023b,bf64302e5f14634677d94c2517f93b1e42bd9fb4452b7439ed6a7229fe2794e7,True,False
FF100MEOP,10,60,SR,0.2363,0.23631704323,0.2363,True,Table 5,2023b,bf64302e5f14634677d94c2517f93b1e42bd9fb4452b7439ed6a7229fe2794e7,True,False
FF25,15,60,CW,827.18,827.179183898,827.18,True,Table 4,2023b,f30d54829fc14ff970cdc6c77e47041d72811eab49761356af23f5faf0365041,True,False
FF25,15,60,SR,0.2541,0.25413222774,0.2541,True,Table 5,2023b,f30d54829fc14ff970cdc6c77e47041d72811eab49761356af23f5faf0365041,True,False
FF25EU,15,60,CW,123.13,123.131358267,123.13,True,Table 4,2023b,1ea12642262c8382aeaf4e614be33b3c8bedd1e4a59b1a5510bea827b54dcb0e,True,False
FF25EU,15,60,SR,0.2765,0.276495089912,0.2765,True,Table 5,2023b,1ea12642262c8382aeaf4e614be33b3c8bedd1e4a59b1a5510bea827b54dcb0e,True,False
