paper_version,dataset,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,protocol,native_efs_evidence,paper_result_credit
v1,FF25,CW,374.13,373.765729685,373.77,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF25,SR,0.229,0.227617734477,0.228,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF25,MDD,0.548,0.547644971276,0.548,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v1,FF32,CW,452.84,446.630829807,446.63,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF32,SR,0.225,0.223376243881,0.223,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF32,MDD,0.541,0.54050470877,0.541,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v1,FF49,CW,254.67,250.200686962,250.20,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF49,SR,0.207,0.205714641498,0.206,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF49,MDD,0.527,0.526895538992,0.527,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v1,FF100,CW,389.44,385.763824236,385.76,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF100,SR,0.210,0.208693719333,0.209,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF100,MDD,0.549,0.54876606898,0.549,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v1,FF100MEOP,CW,371.33,367.764858628,367.76,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF100MEOP,SR,0.209,0.207488076412,0.207,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v1,FF100MEOP,MDD,0.532,0.531532764619,0.532,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v2,FF25,CW,374,373.765729685,374,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v2,FF25,SR,0.23,0.227617734477,0.23,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v2,FF25,MDD,0.55,0.547644971276,0.55,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v2,FF32,CW,453,446.630829807,447,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v2,FF32,SR,0.23,0.223376243881,0.22,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v2,FF32,MDD,0.54,0.54050470877,0.54,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v2,FF49,CW,255,250.200686962,250,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v2,FF49,SR,0.21,0.205714641498,0.21,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v2,FF49,MDD,0.53,0.526895538992,0.53,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v2,FF100,CW,389,385.763824236,386,False,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,False
v2,FF100,SR,0.21,0.208693719333,0.21,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
v2,FF100,MDD,0.55,0.54876606898,0.55,True,cited_ASMCVaR_623xN_price_relatives_row0_initial_622_equal_weight_transitions,False,True
