paper_version,dataset,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,source_model,source_commit,lookback,epsilon,asset_count,cw_sha256,full_wealth_path_repeat_equal,source_grounded_max_sharpe_limit_evidence,author_released_efs_baseline_wrapper,native_efs_evidence,paper_result_credit
v1,FF25,CW,553.10,614.701853484,614.70,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,25,4a19712b03a64d898aeb4d822bb2186a3b9c3eec57016ec449ace786d9f838fb,True,True,False,False,False
v1,FF25,SR,0.243,0.248119893394,0.248,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,25,4a19712b03a64d898aeb4d822bb2186a3b9c3eec57016ec449ace786d9f838fb,True,True,False,False,False
v1,FF25,MDD,0.582,0.580889262921,0.581,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,25,4a19712b03a64d898aeb4d822bb2186a3b9c3eec57016ec449ace786d9f838fb,True,True,False,False,False
v1,FF32,CW,718.62,996.229903702,996.23,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,32,0c4d9c6b49a6d3f2af88bb05a6a69299cb839aaaeec2d46cf646477113903d81,True,True,False,False,False
v1,FF32,SR,0.251,0.261462225203,0.261,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,32,0c4d9c6b49a6d3f2af88bb05a6a69299cb839aaaeec2d46cf646477113903d81,True,True,False,False,False
v1,FF32,MDD,0.552,0.54291760867,0.543,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,32,0c4d9c6b49a6d3f2af88bb05a6a69299cb839aaaeec2d46cf646477113903d81,True,True,False,False,False
v1,FF49,CW,210.94,262.044834958,262.04,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,49,04a89a716e55688cb4cca2828414564ba48058230f0fe0964293555fe468e8ea,True,True,False,False,False
v1,FF49,SR,0.234,0.213435969802,0.213,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,49,04a89a716e55688cb4cca2828414564ba48058230f0fe0964293555fe468e8ea,True,True,False,False,False
v1,FF49,MDD,0.419,0.467608785929,0.468,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,49,04a89a716e55688cb4cca2828414564ba48058230f0fe0964293555fe468e8ea,True,True,False,False,False
v1,FF100,CW,386.86,514.803935561,514.80,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,100,76f595cdb96d6dd0e45213b6d40717b56a08e0431ea19edf609b096ab6e88b0e,True,True,False,False,False
v1,FF100,SR,0.223,0.228424474186,0.228,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,100,76f595cdb96d6dd0e45213b6d40717b56a08e0431ea19edf609b096ab6e88b0e,True,True,False,False,False
v1,FF100,MDD,0.570,0.622406924046,0.622,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,100,76f595cdb96d6dd0e45213b6d40717b56a08e0431ea19edf609b096ab6e88b0e,True,True,False,False,False
v1,FF100MEOP,CW,379.62,505.63720011,505.64,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,100,9053dd8061fb2604d4578435aad3cb1c195e4cb00b2e1ddf1b9a74cb42e12d6e,True,True,False,False,False
v1,FF100MEOP,SR,0.229,0.22436315508,0.224,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,100,9053dd8061fb2604d4578435aad3cb1c195e4cb00b2e1ddf1b9a74cb42e12d6e,True,True,False,False,False
v1,FF100MEOP,MDD,0.509,0.481976552139,0.482,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,100,9053dd8061fb2604d4578435aad3cb1c195e4cb00b2e1ddf1b9a74cb42e12d6e,True,True,False,False,False
v2,FF25,CW,553,614.701853484,615,False,"mSSRM paper equations (3.3)-(3.4), m=N",4e1be268746c3c046455e2a264279f622fceaef6,60,0.001,25,4a19712b03a64d898aeb4d822bb2186a3b9c3eec57016ec449ace786d9f838fb,True,True,False,False,False
