dataset,metric,paper_value,recomputed_value,recomputed_at_paper_precision,match_at_paper_precision,source_commit,data_commit,window,lambda,gamma,eta,zeta,cw_sha256,weights_sha256,repeat_paths_equal,original_sspo_paper_result_credit
NYSEO,CW,1.06E+18,1.05861228019622e+18,1.06E+18,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,aa5744c93696a18bad17eeb9f1b42fb52a68a2d57cbf157a07e4001f23533df0,6a8b9348b95b0230e314cd65d394739ea5276bd2d8ca99a0ab78fd657bd506fd,True,True
NYSEO,SR,0.2073,0.20726711692394,0.2073,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,aa5744c93696a18bad17eeb9f1b42fb52a68a2d57cbf157a07e4001f23533df0,6a8b9348b95b0230e314cd65d394739ea5276bd2d8ca99a0ab78fd657bd506fd,True,True
NYSEN,CW,1.62E+9,1620313309.39209,1.62E+9,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,626f0a2fadefc2925d0cf608230a712d8930f24affe48bb0c4084af168da4b21,4440c2def39f09ab58b40270586efa8290a3e86399f75e6a7b3b8ef97658ba64,True,True
NYSEN,SR,0.1060,0.10600755630063,0.1060,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,626f0a2fadefc2925d0cf608230a712d8930f24affe48bb0c4084af168da4b21,4440c2def39f09ab58b40270586efa8290a3e86399f75e6a7b3b8ef97658ba64,True,True
DJIA,CW,3.68,3.67709952820032,3.68,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,61beb3c4a27d6dac3c2c08058046828c1003cdd132d7200d286ab3278a407bde,a62c745c4baa809d88ab1ffee299fd53e87347633e35ee638324e9ebede1a64b,True,True
DJIA,SR,0.0919,0.0919425606934992,0.0919,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,61beb3c4a27d6dac3c2c08058046828c1003cdd132d7200d286ab3278a407bde,a62c745c4baa809d88ab1ffee299fd53e87347633e35ee638324e9ebede1a64b,True,True
SP500,CW,16.97,16.9677197694149,16.97,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,548cb8a985356eb8a3fe7f19e48bc8b6375f9aeaa70de77952558f649a9c6f2d,5e1f01ac554548a1f326d0c121f9b78e1e9f991e8fbb736ea54e8208ae9b6f40,True,True
SP500,SR,0.0791,0.0790893752274255,0.0791,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,548cb8a985356eb8a3fe7f19e48bc8b6375f9aeaa70de77952558f649a9c6f2d,5e1f01ac554548a1f326d0c121f9b78e1e9f991e8fbb736ea54e8208ae9b6f40,True,True
TSE,CW,364.94,364.944302863991,364.94,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,46f4272844f8db6d6045f4bb25b3fec7de711c17569ff94f1fe7645331ebb20e,dfb490601519778fee7b1c0fe0e16ca3af7f256a048a411d3f67911c13b2df78,True,True
TSE,SR,0.1054,0.105392449487474,0.1054,True,2fac74d5ca6a75476c69c04963830bb35a0e263b,9120783cd59a7966b0f78e2b5668030a4378b8af,5,0.5,0.01,0.005,500,46f4272844f8db6d6045f4bb25b3fec7de711c17569ff94f1fe7645331ebb20e,dfb490601519778fee7b1c0fe0e16ca3af7f256a048a411d3f67911c13b2df78,True,True
