paper_version,paper_table,row_index,row_label,result_position,dataset,metric,paper_value,cited_baseline_recomputed_value,cited_baseline_match_at_paper_precision,native_efs_result_credit,paper_result_credit,version_lineage_status
v1,benchmark,0,Baseline | 1/N,0,FF25,CW,374.13,373.765729685,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,1,FF25,SR,0.229,0.227617734477,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,2,FF25,MDD,0.548,0.547644971276,True,False,True,version_specific_result
v1,benchmark,0,Baseline | 1/N,3,FF32,CW,452.84,446.630829807,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,4,FF32,SR,0.225,0.223376243881,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,5,FF32,MDD,0.541,0.54050470877,True,False,True,version_specific_result
v1,benchmark,0,Baseline | 1/N,6,FF49,CW,254.67,250.200686962,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,7,FF49,SR,0.207,0.205714641498,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,8,FF49,MDD,0.527,0.526895538992,True,False,True,version_specific_result
v1,benchmark,0,Baseline | 1/N,9,FF100,CW,389.44,385.763824236,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,10,FF100,SR,0.210,0.208693719333,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,11,FF100,MDD,0.549,0.54876606898,True,False,True,version_specific_result
v1,benchmark,0,Baseline | 1/N,12,FF100MEOP,CW,371.33,367.764858628,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,13,FF100MEOP,SR,0.209,0.207488076412,False,False,False,version_specific_result
v1,benchmark,0,Baseline | 1/N,14,FF100MEOP,MDD,0.532,0.531532764619,True,False,True,version_specific_result
v1,benchmark,1,SSPO,0,FF25,CW,76.70,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,1,FF25,SR,0.140,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,2,FF25,MDD,0.784,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,3,FF32,CW,15.37,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,4,FF32,SR,0.100,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,5,FF32,MDD,0.733,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,6,FF49,CW,62.27,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,7,FF49,SR,0.114,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,8,FF49,MDD,0.878,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,9,FF100,CW,1.21,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,10,FF100,SR,0.046,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,11,FF100,MDD,0.823,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,12,FF100MEOP,CW,9.97,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,13,FF100MEOP,SR,0.086,,False,False,False,version_specific_result
v1,benchmark,1,SSPO,14,FF100MEOP,MDD,0.814,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,0,FF25,CW,386.71,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,1,FF25,SR,0.239,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,2,FF25,MDD,0.538,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,3,FF32,CW,289.93,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,4,FF32,SR,0.231,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,5,FF32,MDD,0.507,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,6,FF49,CW,207.53,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,7,FF49,SR,0.248,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,8,FF49,MDD,0.411,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,9,FF100,CW,155.70,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,10,FF100,SR,0.203,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,11,FF100,MDD,0.540,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,12,FF100MEOP,CW,258.01,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,13,FF100MEOP,SR,0.220,,False,False,False,version_specific_result
v1,benchmark,2,Min-cVaR,14,FF100MEOP,MDD,0.513,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,0,FF25,CW,553.10,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,1,FF25,SR,0.243,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,2,FF25,MDD,0.582,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,3,FF32,CW,718.62,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,4,FF32,SR,0.251,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,5,FF32,MDD,0.552,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,6,FF49,CW,210.94,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,7,FF49,SR,0.234,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,8,FF49,MDD,0.419,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,9,FF100,CW,386.86,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,10,FF100,SR,0.223,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,11,FF100,MDD,0.570,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,12,FF100MEOP,CW,379.62,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,13,FF100MEOP,SR,0.229,,False,False,False,version_specific_result
v1,benchmark,3,Max-Sharpe,14,FF100MEOP,MDD,0.509,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,0,FF25,CW,281.49,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,1,FF25,SR,0.217,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,2,FF25,MDD,0.559,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,3,FF32,CW,530.49,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,4,FF32,SR,0.226,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,5,FF32,MDD,0.552,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,6,FF49,CW,169.18,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,7,FF49,SR,0.189,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,8,FF49,MDD,0.588,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,9,FF100,CW,216.81,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,10,FF100,SR,0.189,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,11,FF100,MDD,0.484,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,12,FF100MEOP,CW,284.60,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,13,FF100MEOP,SR,0.198,,False,False,False,version_specific_result
v1,benchmark,4,m=10 | LGBM,14,FF100MEOP,MDD,0.522,,False,False,False,version_specific_result
v1,benchmark,5,XGB,0,FF25,CW,292.22,,False,False,False,version_specific_result
v1,benchmark,5,XGB,1,FF25,SR,0.220,,False,False,False,version_specific_result
v1,benchmark,5,XGB,2,FF25,MDD,0.523,,False,False,False,version_specific_result
v1,benchmark,5,XGB,3,FF32,CW,551.77,,False,False,False,version_specific_result
v1,benchmark,5,XGB,4,FF32,SR,0.225,,False,False,False,version_specific_result
v1,benchmark,5,XGB,5,FF32,MDD,0.537,,False,False,False,version_specific_result
v1,benchmark,5,XGB,6,FF49,CW,354.46,,False,False,False,version_specific_result
v1,benchmark,5,XGB,7,FF49,SR,0.206,,False,False,False,version_specific_result
v1,benchmark,5,XGB,8,FF49,MDD,0.525,,False,False,False,version_specific_result
