paper_table,experiment,item,metric,display_cell_id,unique_measurement_id,paper_value,native_reproduced_value,status,paper_result_credit
Table 2 single-asset comparison / part 1,regular_single,TSLA/B&H,CR_pct,regular_single/TSLA/B&H/CR_pct,regular_single/TSLA/B&H/CR_pct,6.425,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/B&H,SR,regular_single/TSLA/B&H/SR,regular_single/TSLA/B&H/SR,0.145,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/B&H,MDD_pct,regular_single/TSLA/B&H/MDD_pct,regular_single/TSLA/B&H/MDD_pct,58.150,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinCon,CR_pct,regular_single/TSLA/FinCon/CR_pct,regular_single/TSLA/FinCon/CR_pct,82.871,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinCon,SR,regular_single/TSLA/FinCon/SR,regular_single/TSLA/FinCon/SR,1.972,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinCon,MDD_pct,regular_single/TSLA/FinCon/MDD_pct,regular_single/TSLA/FinCon/MDD_pct,29.727,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/GA,CR_pct,regular_single/TSLA/GA/CR_pct,regular_single/TSLA/GA/CR_pct,16.535,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/GA,SR,regular_single/TSLA/GA/SR,regular_single/TSLA/GA/SR,0.391,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/GA,MDD_pct,regular_single/TSLA/GA/MDD_pct,regular_single/TSLA/GA/MDD_pct,54.131,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinGPT,CR_pct,regular_single/TSLA/FinGPT/CR_pct,regular_single/TSLA/FinGPT/CR_pct,1.549,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinGPT,SR,regular_single/TSLA/FinGPT/SR,regular_single/TSLA/FinGPT/SR,0.044,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinGPT,MDD_pct,regular_single/TSLA/FinGPT/MDD_pct,regular_single/TSLA/FinGPT/MDD_pct,42.400,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinMem,CR_pct,regular_single/TSLA/FinMem/CR_pct,regular_single/TSLA/FinMem/CR_pct,34.624,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinMem,SR,regular_single/TSLA/FinMem/SR,regular_single/TSLA/FinMem/SR,1.552,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinMem,MDD_pct,regular_single/TSLA/FinMem/MDD_pct,regular_single/TSLA/FinMem/MDD_pct,15.674,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinAgent,CR_pct,regular_single/TSLA/FinAgent/CR_pct,regular_single/TSLA/FinAgent/CR_pct,11.960,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinAgent,SR,regular_single/TSLA/FinAgent/SR,regular_single/TSLA/FinAgent/SR,0.271,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/FinAgent,MDD_pct,regular_single/TSLA/FinAgent/MDD_pct,regular_single/TSLA/FinAgent/MDD_pct,55.734,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/A2C,CR_pct,regular_single/TSLA/A2C/CR_pct,regular_single/TSLA/A2C/CR_pct,-35.644,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/A2C,SR,regular_single/TSLA/A2C/SR,regular_single/TSLA/A2C/SR,-0.805,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/A2C,MDD_pct,regular_single/TSLA/A2C/MDD_pct,regular_single/TSLA/A2C/MDD_pct,61.502,,not_reproduced_official_code_and_data_not_released,False
