unique_measurement_id,paper_value,display_occurrences,native_reproduced_value,status,paper_result_credit
regular_single/TSLA/B&H/CR_pct,6.425,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/B&H/SR,0.145,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/B&H/MDD_pct,58.150,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinCon/CR_pct,82.871,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinCon/SR,1.972,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinCon/MDD_pct,29.727,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/GA/CR_pct,16.535,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/GA/SR,0.391,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/GA/MDD_pct,54.131,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinGPT/CR_pct,1.549,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinGPT/SR,0.044,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinGPT/MDD_pct,42.400,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinMem/CR_pct,34.624,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinMem/SR,1.552,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinMem/MDD_pct,15.674,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinAgent/CR_pct,11.960,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinAgent/SR,0.271,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/FinAgent/MDD_pct,55.734,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/A2C/CR_pct,-35.644,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/A2C/SR,-0.805,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/A2C/MDD_pct,61.502,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/PPO/CR_pct,1.409,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/PPO/SR,0.032,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/PPO/MDD_pct,49.740,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/DQN/CR_pct,-1.296,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/DQN/SR,-0.029,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/TSLA/DQN/MDD_pct,58.150,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/B&H/CR_pct,2.030,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/B&H/SR,0.072,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/B&H/MDD_pct,34.241,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinCon/CR_pct,24.848,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinCon/SR,0.904,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinCon/MDD_pct,25.889,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/GA/CR_pct,-5.631,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/GA/SR,-0.199,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/GA/MDD_pct,37.213,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinGPT/CR_pct,-29.811,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinGPT/SR,-1.810,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinGPT/MDD_pct,29.671,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinMem/CR_pct,-18.011,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinMem/SR,-0.773,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinMem/MDD_pct,36.825,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinAgent/CR_pct,-24.588,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinAgent/SR,-1.493,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/FinAgent/MDD_pct,33.074,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/A2C/CR_pct,-12.560,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/A2C/SR,-0.444,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/A2C/MDD_pct,37.106,1,,not_reproduced_official_code_and_data_not_released,False
regular_single/AMZN/PPO/CR_pct,3.863,1,,not_reproduced_official_code_and_data_not_released,False
