paper_table,method,metric,unique_measurement_id,paper_value,native_seed0_value,display_precision_match,status,paper_result_credit
Table 1 main 100-epoch comparison,PPO,Information Ratio,PPO / Information Ratio,0.0100,0.00386310541501,False,native_current_benchmark_alignment_repair_mismatch_no_credit,False
Table 1 main 100-epoch comparison,PPO,CVaR,PPO / CVaR,-0.0394,-0.0354826555234,False,native_released_checkpoint_mismatch,False
Table 1 main 100-epoch comparison,PPO,Rachev Ratio,PPO / Rachev Ratio,1.0637,1.04650806832,False,native_released_checkpoint_mismatch,False
Table 1 main 100-epoch comparison,CPPO,Information Ratio,CPPO / Information Ratio,-0.0148,0.000392483916971,False,native_current_benchmark_alignment_repair_mismatch_no_credit,False
Table 1 main 100-epoch comparison,CPPO,CVaR,CPPO / CVaR,-0.0439,-0.0409173234688,False,native_released_checkpoint_mismatch,False
Table 1 main 100-epoch comparison,CPPO,Rachev Ratio,CPPO / Rachev Ratio,1.0404,1.10250558489,False,native_released_checkpoint_mismatch,False
Table 1 main 100-epoch comparison,PPO-DeepSeek 10%,Information Ratio,PPO-DeepSeek 10% / Information Ratio,-0.0093,-0.0359598302083,False,native_current_benchmark_alignment_repair_mismatch_no_credit,False
Table 1 main 100-epoch comparison,PPO-DeepSeek 10%,CVaR,PPO-DeepSeek 10% / CVaR,-0.0338,-0.036581947979,False,native_released_checkpoint_mismatch,False
Table 1 main 100-epoch comparison,PPO-DeepSeek 10%,Rachev Ratio,PPO-DeepSeek 10% / Rachev Ratio,0.9890,0.969598802301,False,native_released_checkpoint_mismatch,False
Table 1 main 100-epoch comparison,CPPO-DeepSeek 10%,Information Ratio,CPPO-DeepSeek 10% / Information Ratio,0.0078,0.0137808196517,False,native_current_benchmark_alignment_repair_mismatch_no_credit,False
Table 1 main 100-epoch comparison,CPPO-DeepSeek 10%,CVaR,CPPO-DeepSeek 10% / CVaR,-0.0437,-0.0443729903008,False,native_released_checkpoint_mismatch,False
Table 1 main 100-epoch comparison,CPPO-DeepSeek 10%,Rachev Ratio,CPPO-DeepSeek 10% / Rachev Ratio,0.9818,0.892604026306,False,native_released_checkpoint_mismatch,False
