asset,metric,paper_value,released_investorbench_literal_value,released_investorbench_literal_match_at_paper_precision,paper_compatible_value,paper_compatible_match_at_paper_precision,observations,test_start,test_end,source_data_sha256,status,paper_result_credit,native_flag_trader_result_credit
MSFT,CR_pct,15.340,16.654168389,False,16.654168389,False,150,2020-10-01,2021-05-06,f3af207052f2580ce5d03079a1ba17c4314a715ad55b365dc45e954dd15c5509,author_linked_baseline_literal_conflict,False,False
MSFT,SR,1.039,1.121598542,False,1.121598542,False,150,2020-10-01,2021-05-06,f3af207052f2580ce5d03079a1ba17c4314a715ad55b365dc45e954dd15c5509,author_linked_baseline_literal_conflict,False,False
MSFT,AV_pct,24.980,24.945648407,False,24.945648407,False,150,2020-10-01,2021-05-06,f3af207052f2580ce5d03079a1ba17c4314a715ad55b365dc45e954dd15c5509,author_linked_baseline_literal_conflict,False,False
MSFT,MDD_pct,9.428,9.428045774,True,9.428045774,True,150,2020-10-01,2021-05-06,f3af207052f2580ce5d03079a1ba17c4314a715ad55b365dc45e954dd15c5509,author_linked_baseline_literal_match,True,False
JNJ,CR_pct,13.895,14.294881901,False,14.294881901,False,150,2020-10-01,2021-05-06,ba557598af05ed9947a710cb328462e279d59be19b18907339805d503c45ca8c,author_linked_baseline_literal_conflict,False,False
JNJ,SR,1.343,1.376631755,False,1.376631755,False,150,2020-10-01,2021-05-06,ba557598af05ed9947a710cb328462e279d59be19b18907339805d503c45ca8c,author_linked_baseline_literal_conflict,False,False
JNJ,AV_pct,17.500,17.445044037,False,17.445044037,False,150,2020-10-01,2021-05-06,ba557598af05ed9947a710cb328462e279d59be19b18907339805d503c45ca8c,author_linked_baseline_literal_conflict,False,False
JNJ,MDD_pct,9.847,9.847460398,True,9.847460398,True,150,2020-10-01,2021-05-06,ba557598af05ed9947a710cb328462e279d59be19b18907339805d503c45ca8c,author_linked_baseline_literal_match,True,False
UVV,CR_pct,36.583,38.234963085,False,38.234963085,False,150,2020-10-01,2021-05-06,2a09c02d67d7c69150f130306a1b924656a32ba85959a70017933a75472505d4,author_linked_baseline_literal_conflict,False,False
UVV,SR,2.112,2.195523444,False,2.195523444,False,150,2020-10-01,2021-05-06,2a09c02d67d7c69150f130306a1b924656a32ba85959a70017933a75472505d4,author_linked_baseline_literal_conflict,False,False
UVV,AV_pct,29.299,29.257140547,False,29.257140547,False,150,2020-10-01,2021-05-06,2a09c02d67d7c69150f130306a1b924656a32ba85959a70017933a75472505d4,author_linked_baseline_literal_conflict,False,False
UVV,MDD_pct,15.406,15.406338419,True,15.406338419,True,150,2020-10-01,2021-05-06,2a09c02d67d7c69150f130306a1b924656a32ba85959a70017933a75472505d4,author_linked_baseline_literal_match,True,False
HON,CR_pct,33.256,34.341701198,False,34.341701198,False,150,2020-10-01,2021-05-06,ff90bea4e8ff35cb2752e24ad74d321eb94f06e72953acaaa48e02595e12850b,author_linked_baseline_literal_conflict,False,False
HON,SR,2.347,2.412701843,False,2.412701843,False,150,2020-10-01,2021-05-06,ff90bea4e8ff35cb2752e24ad74d321eb94f06e72953acaaa48e02595e12850b,author_linked_baseline_literal_conflict,False,False
HON,AV_pct,23.967,23.912634779,False,23.912634779,False,150,2020-10-01,2021-05-06,ff90bea4e8ff35cb2752e24ad74d321eb94f06e72953acaaa48e02595e12850b,author_linked_baseline_literal_conflict,False,False
HON,MDD_pct,9.195,9.194873327,True,9.194873327,True,150,2020-10-01,2021-05-06,ff90bea4e8ff35cb2752e24ad74d321eb94f06e72953acaaa48e02595e12850b,author_linked_baseline_literal_match,True,False
BTC,CR_pct,21.821,21.821628930,False,21.821628930,False,215,2023-04-05,2023-11-05,938962b2a1ed76387c82d260d51c9afff3de303284e923cd79695629775c7e38,author_linked_baseline_literal_conflict,False,False
BTC,SR,0.683,0.989839663,False,0.683396151,True,215,2023-04-05,2023-11-05,938962b2a1ed76387c82d260d51c9afff3de303284e923cd79695629775c7e38,paper_match_requires_mixed_252_return_365_volatility_annualization,False,False
BTC,AV_pct,37.426,37.426284890,True,37.426284890,True,215,2023-04-05,2023-11-05,938962b2a1ed76387c82d260d51c9afff3de303284e923cd79695629775c7e38,author_linked_baseline_literal_match,True,False
BTC,MDD_pct,20.796,20.795798903,True,20.795798903,True,215,2023-04-05,2023-11-05,938962b2a1ed76387c82d260d51c9afff3de303284e923cd79695629775c7e38,author_linked_baseline_literal_match,True,False
