result_id,matrix,source_svg,row,column,paper_display,source_code_power_value,source_code_power_display,source_code_power_match,paper_equation_multiply_value,paper_equation_multiply_display,paper_equation_multiply_match,llm_regenerated,credit
COR-0001,it_3m_existing,it_3m_16-20_old2.svg,P/E,P/E,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0002,it_3m_existing,it_3m_16-20_old2.svg,P/E,P/B,0.18,0.18012526029661893,0.18,yes,0.18012526029661893,0.18,yes,no,author_data_deterministic_replay
COR-0003,it_3m_existing,it_3m_16-20_old2.svg,P/E,ROA,-0.40,-0.40316965775962105,-0.40,yes,-0.40316965775962105,-0.40,yes,no,author_data_deterministic_replay
COR-0004,it_3m_existing,it_3m_16-20_old2.svg,P/E,ROE,-0.47,-0.4670873801840754,-0.47,yes,-0.4670873801840754,-0.47,yes,no,author_data_deterministic_replay
COR-0005,it_3m_existing,it_3m_16-20_old2.svg,P/E,FCF,-0.33,-0.3269881892892909,-0.33,yes,-0.3269881892892909,-0.33,yes,no,author_data_deterministic_replay
COR-0006,it_3m_existing,it_3m_16-20_old2.svg,P/E,P/CF,0.42,0.42066318014910425,0.42,yes,0.42066318014910425,0.42,yes,no,author_data_deterministic_replay
COR-0007,it_3m_existing,it_3m_16-20_old2.svg,P/E,EBITDA,0.59,0.5906388593047099,0.59,yes,0.5906388593047099,0.59,yes,no,author_data_deterministic_replay
COR-0008,it_3m_existing,it_3m_16-20_old2.svg,P/E,GM,0.06,0.05964965267290848,0.06,yes,0.05964965267290848,0.06,yes,no,author_data_deterministic_replay
COR-0009,it_3m_existing,it_3m_16-20_old2.svg,P/E,NM,-0.40,-0.39909233972881464,-0.40,yes,-0.39909233972881464,-0.40,yes,no,author_data_deterministic_replay
COR-0010,it_3m_existing,it_3m_16-20_old2.svg,P/E,SPS,-0.31,-0.3139693843488213,-0.31,yes,-0.3139693843488213,-0.31,yes,no,author_data_deterministic_replay
COR-0011,it_3m_existing,it_3m_16-20_old2.svg,P/E,Return,0.07,0.06944952232589932,0.07,yes,0.06944952232589932,0.07,yes,no,author_data_deterministic_replay
COR-0012,it_3m_existing,it_3m_16-20_old2.svg,P/B,P/E,0.18,0.18012526029661893,0.18,yes,0.18012526029661893,0.18,yes,no,author_data_deterministic_replay
COR-0013,it_3m_existing,it_3m_16-20_old2.svg,P/B,P/B,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0014,it_3m_existing,it_3m_16-20_old2.svg,P/B,ROA,0.16,0.15805369660938814,0.16,yes,0.15805369660938814,0.16,yes,no,author_data_deterministic_replay
COR-0015,it_3m_existing,it_3m_16-20_old2.svg,P/B,ROE,0.22,0.2241730118107107,0.22,yes,0.2241730118107107,0.22,yes,no,author_data_deterministic_replay
COR-0016,it_3m_existing,it_3m_16-20_old2.svg,P/B,FCF,-0.06,-0.056883752722186015,-0.06,yes,-0.056883752722186015,-0.06,yes,no,author_data_deterministic_replay
COR-0017,it_3m_existing,it_3m_16-20_old2.svg,P/B,P/CF,0.41,0.40626142523327347,0.41,yes,0.40626142523327347,0.41,yes,no,author_data_deterministic_replay
COR-0018,it_3m_existing,it_3m_16-20_old2.svg,P/B,EBITDA,0.40,0.4005150296459966,0.40,yes,0.4005150296459966,0.40,yes,no,author_data_deterministic_replay
COR-0019,it_3m_existing,it_3m_16-20_old2.svg,P/B,GM,0.19,0.18982975408924002,0.19,yes,0.18982975408924002,0.19,yes,no,author_data_deterministic_replay
COR-0020,it_3m_existing,it_3m_16-20_old2.svg,P/B,NM,0.01,0.01451302675292882,0.01,yes,0.01451302675292882,0.01,yes,no,author_data_deterministic_replay
COR-0021,it_3m_existing,it_3m_16-20_old2.svg,P/B,SPS,-0.12,-0.11956158896183373,-0.12,yes,-0.11956158896183373,-0.12,yes,no,author_data_deterministic_replay
COR-0022,it_3m_existing,it_3m_16-20_old2.svg,P/B,Return,0.09,0.08607671398369073,0.09,yes,0.08607671398369073,0.09,yes,no,author_data_deterministic_replay
COR-0023,it_3m_existing,it_3m_16-20_old2.svg,ROA,P/E,-0.40,-0.40316965775962105,-0.40,yes,-0.40316965775962105,-0.40,yes,no,author_data_deterministic_replay
COR-0024,it_3m_existing,it_3m_16-20_old2.svg,ROA,P/B,0.16,0.15805369660938814,0.16,yes,0.15805369660938814,0.16,yes,no,author_data_deterministic_replay
COR-0025,it_3m_existing,it_3m_16-20_old2.svg,ROA,ROA,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0026,it_3m_existing,it_3m_16-20_old2.svg,ROA,ROE,0.75,0.7504490613425743,0.75,yes,0.7504490613425743,0.75,yes,no,author_data_deterministic_replay
COR-0027,it_3m_existing,it_3m_16-20_old2.svg,ROA,FCF,0.34,0.33853661638239363,0.34,yes,0.33853661638239363,0.34,yes,no,author_data_deterministic_replay
COR-0028,it_3m_existing,it_3m_16-20_old2.svg,ROA,P/CF,0.11,0.11356880573526838,0.11,yes,0.11356880573526838,0.11,yes,no,author_data_deterministic_replay
COR-0029,it_3m_existing,it_3m_16-20_old2.svg,ROA,EBITDA,0.01,0.006898853900077901,0.01,yes,0.006898853900077901,0.01,yes,no,author_data_deterministic_replay
COR-0030,it_3m_existing,it_3m_16-20_old2.svg,ROA,GM,0.23,0.22631102068066578,0.23,yes,0.22631102068066578,0.23,yes,no,author_data_deterministic_replay
COR-0031,it_3m_existing,it_3m_16-20_old2.svg,ROA,NM,0.86,0.8577866442003528,0.86,yes,0.8577866442003528,0.86,yes,no,author_data_deterministic_replay
COR-0032,it_3m_existing,it_3m_16-20_old2.svg,ROA,SPS,0.04,0.042990669061660484,0.04,yes,0.042990669061660484,0.04,yes,no,author_data_deterministic_replay
COR-0033,it_3m_existing,it_3m_16-20_old2.svg,ROA,Return,0.00,0.0032745712060277426,0.00,yes,0.0032745712060277426,0.00,yes,no,author_data_deterministic_replay
COR-0034,it_3m_existing,it_3m_16-20_old2.svg,ROE,P/E,-0.47,-0.4670873801840754,-0.47,yes,-0.4670873801840754,-0.47,yes,no,author_data_deterministic_replay
COR-0035,it_3m_existing,it_3m_16-20_old2.svg,ROE,P/B,0.22,0.2241730118107107,0.22,yes,0.2241730118107107,0.22,yes,no,author_data_deterministic_replay
COR-0036,it_3m_existing,it_3m_16-20_old2.svg,ROE,ROA,0.75,0.7504490613425743,0.75,yes,0.7504490613425743,0.75,yes,no,author_data_deterministic_replay
COR-0037,it_3m_existing,it_3m_16-20_old2.svg,ROE,ROE,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0038,it_3m_existing,it_3m_16-20_old2.svg,ROE,FCF,0.42,0.4164110063742867,0.42,yes,0.4164110063742867,0.42,yes,no,author_data_deterministic_replay
COR-0039,it_3m_existing,it_3m_16-20_old2.svg,ROE,P/CF,-0.03,-0.031537617828927486,-0.03,yes,-0.031537617828927486,-0.03,yes,no,author_data_deterministic_replay
COR-0040,it_3m_existing,it_3m_16-20_old2.svg,ROE,EBITDA,-0.09,-0.08911284553879414,-0.09,yes,-0.08911284553879414,-0.09,yes,no,author_data_deterministic_replay
COR-0041,it_3m_existing,it_3m_16-20_old2.svg,ROE,GM,0.08,0.07576817307539462,0.08,yes,0.07576817307539462,0.08,yes,no,author_data_deterministic_replay
COR-0042,it_3m_existing,it_3m_16-20_old2.svg,ROE,NM,0.60,0.6032364208618798,0.60,yes,0.6032364208618798,0.60,yes,no,author_data_deterministic_replay
COR-0043,it_3m_existing,it_3m_16-20_old2.svg,ROE,SPS,0.24,0.2380740434596004,0.24,yes,0.2380740434596004,0.24,yes,no,author_data_deterministic_replay
COR-0044,it_3m_existing,it_3m_16-20_old2.svg,ROE,Return,-0.00,-0.0029169117296412327,-0.00,yes,-0.0029169117296412327,-0.00,yes,no,author_data_deterministic_replay
COR-0045,it_3m_existing,it_3m_16-20_old2.svg,FCF,P/E,-0.33,-0.3269881892892909,-0.33,yes,-0.3269881892892909,-0.33,yes,no,author_data_deterministic_replay
COR-0046,it_3m_existing,it_3m_16-20_old2.svg,FCF,P/B,-0.06,-0.056883752722186015,-0.06,yes,-0.056883752722186015,-0.06,yes,no,author_data_deterministic_replay
COR-0047,it_3m_existing,it_3m_16-20_old2.svg,FCF,ROA,0.34,0.33853661638239363,0.34,yes,0.33853661638239363,0.34,yes,no,author_data_deterministic_replay
COR-0048,it_3m_existing,it_3m_16-20_old2.svg,FCF,ROE,0.42,0.4164110063742867,0.42,yes,0.4164110063742867,0.42,yes,no,author_data_deterministic_replay
COR-0049,it_3m_existing,it_3m_16-20_old2.svg,FCF,FCF,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0050,it_3m_existing,it_3m_16-20_old2.svg,FCF,P/CF,-0.13,-0.12910712298717195,-0.13,yes,-0.12910712298717195,-0.13,yes,no,author_data_deterministic_replay
COR-0051,it_3m_existing,it_3m_16-20_old2.svg,FCF,EBITDA,-0.15,-0.14795180339855982,-0.15,yes,-0.14795180339855982,-0.15,yes,no,author_data_deterministic_replay
COR-0052,it_3m_existing,it_3m_16-20_old2.svg,FCF,GM,0.07,0.06765327695560254,0.07,yes,0.06765327695560254,0.07,yes,no,author_data_deterministic_replay
COR-0053,it_3m_existing,it_3m_16-20_old2.svg,FCF,NM,0.36,0.36162552258023495,0.36,yes,0.36162552258023495,0.36,yes,no,author_data_deterministic_replay
