git_blob_sha1,blob_sha256,notebook_code_sha256,paths_in_history,commits_containing_blob,first_seen_commit,last_seen_commit,paper_relevant_multi_agent_notebook,code_characters,embedded_png_outputs,embedded_pngs_matching_paper_figures,mentions_cagr,mentions_var_or_cvar,mentions_max_drawdown,mentions_transaction_cost,implements_complete_paper_table_generator,paper_result_credit
0b38c4a1bcefd3615d72f3d36f35918e7d5015a3,a123782648ffe6fccbc59a458b2fc8ac33ca4c9baec515f3a1dc83fabaf46c3e,fad8da7cb8ec7e7027db90d7ce08b28a259aad30eb036983b64e79018f683b11,03_backtesting.ipynb,13,36a36f3d98ac597f0d9af2463403b289c91fd29c,74ad2e6ce2e604c73a6fc2829d48ab58fe6be050,False,24786,1,0,False,False,False,True,False,False
0d0b19d8c9882abfcf1e1f4346d71447fba8823f,f85262f2fb325193626a70c30bc408391ded1daaa361da073e7f8412c4bb80a2,f4d305dca3a56b840b423bd3c027d127737bb7fde8880ceb8bc8026b5159f1bd,01_single_agent_demo.ipynb,2,4e740e2e5c36a7d4836eb1297557f87df3fabb9d,20776de1581387671c1522d156355be9d251ac2e,False,2261,0,0,False,False,False,False,False,False
138627da035e5f963b86fd946cd40915da50f0e9,8f7f4fd075e7d43ab338b3df2e21e71e3fdfc4729c091b4345d0df061cf8e7d5,12503ad83141ef76f37585c8b5622d68b6c066f96ed6d00197f8ed3e49e097cd,01_agent_outputs_demo.ipynb,1,b02feba330af779d86e73f9f81f80c50389a9a3b,b02feba330af779d86e73f9f81f80c50389a9a3b,False,625,0,0,False,False,False,False,False,False
14181b924c7a6b18062e926b667cfa37dfc81bb8,9ed22bcc90685efea79478e0f4e19fdf6a7d9fd512958bba7ca823c6a29f37dd,86643242e52621971f80abb0b8718b9a9d0142af874eca1d82327080ecbefa64,01_agent_outputs_demo.ipynb,1,f2a3e3ab22887dcdbf5ce4bde81601a283c99730,f2a3e3ab22887dcdbf5ce4bde81601a283c99730,False,423,0,0,False,False,False,False,False,False
35be3a5b4cf8c544758cbe5762c16432ad9440d6,b4264cbc464834e627e8b7eef857b9ecab574304a14ecf346ea6f4192447444c,434e3016e8f7932a63ac0b67314d43206a09b49649e3a869a0cfeddbb52b5b23,04_multi_agent_backtesting.ipynb,10,49ced76002cc824de9ccc0bd5d46207d7b28af23,df8c7d70ab4668ecfc2acae76fc561933a74fe7f,True,26965,2,0,False,False,False,True,False,False
46895f6d1420115da2ea5bf1d85e3033287cdf84,229642f3f7166aed363042535675ed6e54595dd7a67fce7b31a08230d82da712,580d4d2477d7930e53aefd27056cbaeefd3e3ccaf6b6f3c888e08d5a2fe7a0be,01_single_agent_demo.ipynb,1,36a36f3d98ac597f0d9af2463403b289c91fd29c,36a36f3d98ac597f0d9af2463403b289c91fd29c,False,3054,0,0,False,False,False,False,False,False
4e2174b0b68063fcbcf39dfcf360ebf33f30766b,6118868743597e44b0dec84f1ba8fd5f0f251759ec504ea3ebdac2d220016427,cb9ec53ca37d152eb65a8bfadc81775d3cbdc14a7b6e2e7e83b0f8a605a4ed63,agent_data_20250813/agent_data_20250813/check.ipynb; agent_data_20250813/check.ipynb; data/check.ipynb,15,4e740e2e5c36a7d4836eb1297557f87df3fabb9d,74ad2e6ce2e604c73a6fc2829d48ab58fe6be050,False,1328,0,0,False,False,False,False,False,False
6c8c9c5d6e0872a0d9ceca354212d9961deabe6d,51e0050f873a23d555f6b71177583ea19b5f0a9d5aabd34dc0374cf8ef2db171,ec68e002b12f1946383f2330a7f7bd8061e4eae4fbc6dae3dd3be52648c8ed58,02_meta_agent_demo.ipynb,16,91ba9c63e11d5f78e966b53020a9c591325163b5,74ad2e6ce2e604c73a6fc2829d48ab58fe6be050,False,357,0,0,False,False,False,False,False,False
6ffc8f8d513a89826da989f4faab577cf0df0eb7,27ee34e242d20d4871e367f6c87528e7cd4827816b7ce1338bac8db8bf5b8825,c22d3d27f6122885dcfd3c3ff8bfaa8678120ae37c749e7d73a20074ff64159b,06_meta_portfolio_backtesting.ipynb,4,f1e1fb7930af53d13c9a650b4e3f504c95c732a2,e28ec1ebdf9d8576d5f366de72755bd1ba0bcc28,False,27447,2,0,False,False,False,True,False,False
7e19021f1881046dfab472ce26076fcbd00ef5e6,cf18bb6fd138bfbaff1d70b371209ca324b9f9c101a4f319f3d52da47b6c8069,c12a5f942aaca98eb24797a8bb4dd83a16655ed99aae2f4694a0dc61de60709c,05_improved_multi_agent_backtesting.ipynb,12,49ced76002cc824de9ccc0bd5d46207d7b28af23,74ad2e6ce2e604c73a6fc2829d48ab58fe6be050,False,20749,0,0,False,False,False,True,False,False
8313e4959418cd841009c8009a52aaf40862e375,de621f121659ed1a2b5767bbbd00e8acab57b2649d274a24ffe00807bfafbac6,053865650c26c0c83c656edde82f49ed8db885e9795a9359fb41c3d88fe807be,00_router_agent_demo.ipynb,7,9e2a728120b629327a432601f6581845841720d8,df8c7d70ab4668ecfc2acae76fc561933a74fe7f,False,904,0,0,False,False,False,False,False,False
885c8d9415682e161e2b1758fb7f6496fe8d69d7,e3c53f38ac37741f5989faa852b52f0a78776ccc5770c7a3cf9cf4f62acabca6,434e3016e8f7932a63ac0b67314d43206a09b49649e3a869a0cfeddbb52b5b23,04_multi_agent_backtesting.ipynb,1,74ad2e6ce2e604c73a6fc2829d48ab58fe6be050,74ad2e6ce2e604c73a6fc2829d48ab58fe6be050,True,26965,2,0,False,False,False,True,False,False
8c819de0e523f6087f4a3060810492644a508a9d,649275c9ed8150e6b033e2adf3987c8fac1643b9b6b2b8e3e9be69039821b179,39cb193807bf1310580b0ff39524970bc670dd21f2a6ee77fa2507bbe96ca0ae,06_meta_portfolio_backtesting.ipynb,2,9e2a728120b629327a432601f6581845841720d8,efa30c5ac7c346e7e60fb2b45232c295020ea02e,False,26969,3,0,False,False,False,True,False,False
a9ffc16d977692211c98a3923241b74f46a07d76,e967b95ca4dc9a5c10561fe5ae0614d0484efaec8d3291485132c82f4dee4612,6706d8bc3a56b3421b8808197ca233ce0b50cf8e622520b4d785ab8819ae023a,01_single_agent_demo.ipynb,10,49ced76002cc824de9ccc0bd5d46207d7b28af23,df8c7d70ab4668ecfc2acae76fc561933a74fe7f,False,1816,0,0,False,False,False,False,False,False
ae78ebb30a28dcf132218c03ef4ef91d9d0cba96,b10a7f4a99be09237b1e14e7d68a4ef8d73e5e8e06093aacb9d27ce8c5f89c83,89b36433c5205ad34f39f6c716b7f3f5d7fe839b233c3a9359a932865b817323,06_meta_portfolio_backtesting.ipynb,1,df8c7d70ab4668ecfc2acae76fc561933a74fe7f,df8c7d70ab4668ecfc2acae76fc561933a74fe7f,False,28117,2,0,False,False,False,True,False,False
c8f2f438e60636c63f7d5061bc0d556a6f9e4186,051f655a9db7087189899011b432477ed99a78d6e051bd2e84d38ae5dd1eae96,075a7cca080f5877183f7f4ca6562a139249f894ed6f6c9f356e6200d3a012f8,01_single_agent_demo.ipynb,1,74ad2e6ce2e604c73a6fc2829d48ab58fe6be050,74ad2e6ce2e604c73a6fc2829d48ab58fe6be050,False,1976,0,0,False,False,False,False,False,False
c9dd76e4fcf3b63743ac84c6d4c05d9908c12539,dd728fe34961e03db55195e3afd7cdcf96fcc0144830667fa065476305dd054d,86643242e52621971f80abb0b8718b9a9d0142af874eca1d82327080ecbefa64,01_agent_outputs_demo.ipynb,1,8cf631cf3f11f9e2e4a0b4fdf3fd1bac8b28b333,8cf631cf3f11f9e2e4a0b4fdf3fd1bac8b28b333,False,423,0,0,False,False,False,False,False,False
cec651b382177cf98614bbdb2421710aa60b6f81,c952590f5e13cf4d9519587c0dfafa3385ab77f87be8504a75b525649ea19b7b,434e3016e8f7932a63ac0b67314d43206a09b49649e3a869a0cfeddbb52b5b23,04_multi_agent_backtesting.ipynb,1,017550adc5e0c6f04408a5af092fc852ba027bfb,017550adc5e0c6f04408a5af092fc852ba027bfb,True,26965,2,0,False,False,False,True,False,False
cef32112e269330c1e95a1b4340dc08fbb81f92e,d87151269e9f9dc730d1488dd1ad99bf0df44fce97d15dd485fae42733f1ac84,8c4914a6665cbd75913509b38b7cf171d59cf5137cc46c3d629e6570f11672b4,01_single_agent_demo.ipynb,1,91ba9c63e11d5f78e966b53020a9c591325163b5,91ba9c63e11d5f78e966b53020a9c591325163b5,False,1962,0,0,False,False,False,False,False,False
ee23d53128fd8649b909db205cc2ace73d68e0b8,12f6f70d7a7acf8d9265032d077e8e7cdf4eb4bb4dd54cf9a12c4f6dad6f5a64,731fc8f991418199188d8afa603d9be00f9cff8e8873d5837cc02093a3e444d9,01_single_agent_demo.ipynb,1,017550adc5e0c6f04408a5af092fc852ba027bfb,017550adc5e0c6f04408a5af092fc852ba027bfb,False,1977,0,0,False,False,False,False,False,False
