agent,permission_type,name,agent_named_count,profile_image,profile_image_sha256,source_format,implementation_released,faithful_replication_credit
Dave,action,Buy,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,action,Sell,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,action,Hold,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,action,AdjustQuantity,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,action,AdjustPrice,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,action,SetTradingConditions,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,tool,Technical Indicator Analysis,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,tool,Cryptocurrency Market Analysis,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,tool,Blockchain Event Impact Assessment,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,tool,Sentiment Analysis from Social Media,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,tool,Algorithmic Trading Strategies,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,tool,Regulatory Change Impact Analysis,6,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,scope,Bitcoin Historical Price Data,2,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Dave,scope,Bitcoin News Data,2,agent1.png,c305d80f2a5db5328c710281ac56b8b9567271fc54ce65bf2cb59adb7071b4a8,author_site_screenshot_manual_transcription,False,False
Bob,action,Buy,6,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,action,Sell,6,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,action,Hold,6,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,action,AdjustQuantity,6,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,action,AdjustPrice,6,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,action,SetTradingConditions,6,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,tool,Technical Indicator Analysis,7,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,tool,Economic Indicator Forecasting,7,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
