table,category,variant,metric,paper_value,hedgeagents_system_output,arxiv_source_verified,author_site_corroborated,native_reproduced_value,paper_result_credit,status,note
main,Market Trends,Bitcoin,ARR_pct,12.92,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,Bitcoin,TR_pct,43.97,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,Bitcoin,SR,0.54,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,Bitcoin,CR,1.19,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,Bitcoin,SoR,12.49,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,Bitcoin,MDD_pct,76.63,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,Bitcoin,Vol_pct,3.4,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,FX,ARR_pct,4.08,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,FX,TR_pct,12.74,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,FX,SR,0.61,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,FX,CR,0.93,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,FX,SoR,11.99,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,FX,MDD_pct,15.56,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,FX,Vol_pct,0.38,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,DJIA,ARR_pct,7.64,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,DJIA,TR_pct,24.7,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,DJIA,SR,0.59,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,DJIA,CR,1.06,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,DJIA,SoR,11.72,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Market Trends,DJIA,MDD_pct,21.94,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
