model,metric,independently_recomputed,author_release_value,absolute_error,tolerance,verification_passed,source,boundary
ChatTS-14B,totalReturn,-0.160411674577,-0.160412,3.25423179404e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
ChatTS-14B,mdd,0.167473968023,0.167474,3.19767079204e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
ChatTS-14B,sr,-4.28269055447,-4.2827,9.44553320714e-06,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
ChatTS-14B,arr,-0.55777513486,-0.557775,1.34860153267e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
ChatTS-14B,cr,-3.33051841694,-3.3305,1.84169433344e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Claude-3-Haiku,totalReturn,-0.139504350051,-0.139504,3.50050765457e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Claude-3-Haiku,mdd,0.139504350051,0.139504,3.50050765457e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Claude-3-Haiku,sr,-5.46982094916,-5.4698,2.09491614065e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Claude-3-Haiku,arr,-0.503986112412,-0.503986,1.12411910891e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Claude-3-Haiku,cr,-3.61269101808,-3.6127,8.98191697196e-06,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DISC-FinLLM,totalReturn,-0.213944283763,-0.213944,2.8376256489e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DISC-FinLLM,mdd,0.213944283763,0.213944,2.8376256489e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DISC-FinLLM,sr,-4.63071584511,-4.6307,1.58451081758e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DISC-FinLLM,arr,-0.674826203757,-0.674826,2.03756628347e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DISC-FinLLM,cr,-3.15421469501,-3.1542,1.46950069939e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DeepSeek-v3.1-nex-n1,totalReturn,0.0138050297945,0.013805,2.97945277998e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DeepSeek-v3.1-nex-n1,mdd,0.129983268802,0.129983,2.68802088754e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DeepSeek-v3.1-nex-n1,sr,0.371037058205,0.371,3.70582054959e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DeepSeek-v3.1-nex-n1,arr,0.0660741037808,0.066074,1.03780761943e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
DeepSeek-v3.1-nex-n1,cr,0.508327759332,0.5083,2.7759331593e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
FinMA,totalReturn,-0.228922482282,-0.228922,4.82282383113e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
FinMA,mdd,0.235849309276,0.235849,3.09276426552e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
FinMA,sr,-6.96675318592,-6.9668,4.68140765593e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
FinMA,arr,-0.702748407862,-0.702748,4.07862342233e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
FinMA,cr,-2.97965005714,-2.9797,4.99428582685e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
GPT-4o-mini,totalReturn,-0.103332912173,-0.103333,8.78265396936e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
GPT-4o-mini,mdd,0.105995640105,0.105996,3.59895368868e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
GPT-4o-mini,sr,-3.87591167563,-3.8759,1.16756302897e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
GPT-4o-mini,arr,-0.398901372154,-0.398901,3.72153686312e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
GPT-4o-mini,cr,-3.76337528374,-3.7634,2.47162626685e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Gemini-2.5-flash,totalReturn,-0.0700589172481,-0.070059,8.27519491958e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Gemini-2.5-flash,mdd,0.0804743513272,0.080474,3.51327200387e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Gemini-2.5-flash,sr,-2.08990585314,-2.0899,5.85313625212e-06,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Gemini-2.5-flash,arr,-0.287488256378,-0.287488,2.56378436148e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Gemini-2.5-flash,cr,-3.57242092216,-3.5724,2.09221586469e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Grok3-mini-beta,totalReturn,-0.0768881575259,-0.076888,1.57525860758e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Grok3-mini-beta,mdd,0.0855066696943,0.085507,3.30305680155e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Grok3-mini-beta,sr,-2.26984424153,-2.2698,4.42415329998e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Grok3-mini-beta,arr,-0.311579958699,-0.31158,4.13012401501e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Grok3-mini-beta,cr,-3.64392578746,-3.6439,2.57874576994e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Janus-Q,totalReturn,0.107303620031,0.107304,3.79969448058e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Janus-Q,mdd,0.11959911781,0.119599,1.17810491265e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Janus-Q,sr,1.30882336249,1.3088,2.33624922734e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Janus-Q,arr,0.609081439652,0.609081,4.39651925532e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Janus-Q,cr,5.09269174223,5.0927,8.25776628943e-06,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
QwQ-32B,totalReturn,0.0222657397591,0.022266,2.60240857409e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
QwQ-32B,mdd,0.097943992111,0.097944,7.88897154547e-09,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
QwQ-32B,sr,0.648082696737,0.6481,1.73032625636e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
QwQ-32B,arr,0.108233043349,0.108233,4.33494647123e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
QwQ-32B,cr,1.10505035599,1.1051,4.96440090711e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Qwen2.5-7B,totalReturn,-0.115845705799,-0.115846,2.94201235707e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Qwen2.5-7B,mdd,0.117733909408,0.117734,9.05917596494e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Qwen2.5-7B,sr,-3.91544346795,-3.9154,4.34679469312e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Qwen2.5-7B,arr,-0.437057182169,-0.437057,1.82169396457e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Qwen2.5-7B,cr,-3.71224555751,-3.7122,4.55575131548e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Stock-Chain,totalReturn,-0.173673665467,-0.173674,3.34532778257e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Stock-Chain,mdd,0.17997714043,0.179977,1.40430218648e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Stock-Chain,sr,-5.35812377459,-5.3581,2.3774587353e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Stock-Chain,arr,-0.589442392509,-0.589442,3.92508864411e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Stock-Chain,cr,-3.27509588773,-3.2751,4.11226749586e-06,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Time-MQA,totalReturn,-0.147692632289,-0.147693,3.67710887655e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Time-MQA,mdd,0.158896345761,0.158896,3.45761152182e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Time-MQA,sr,-4.21839140553,-4.2184,8.59447472745e-06,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Time-MQA,arr,-0.525631547171,-0.525632,4.52828538555e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
Time-MQA,cr,-3.30801532693,-3.308,1.53269325254e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
TimeMaster,totalReturn,-0.189254066364,-0.189254,6.63644948162e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
TimeMaster,mdd,0.198064054373,0.198064,5.43733908176e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
TimeMaster,sr,-5.92369021284,-5.9237,9.78715704392e-06,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
TimeMaster,arr,-0.624339410356,-0.624339,4.10355844194e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
TimeMaster,cr,-3.15220958357,-3.1522,9.58356652658e-06,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
CSI 300,totalReturn,-0.0652069730592,-0.065207,2.6940808015e-08,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
CSI 300,mdd,0.0944751843402,0.094475,1.84340247816e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
CSI 300,sr,-1.80267219877,-1.8027,2.78012335417e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
CSI 300,arr,-0.269973151589,-0.269973,1.51589471642e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
CSI 300,cr,-2.85760915393,-2.8576,9.15392529288e-06,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
CSI 500,totalReturn,-0.0817816273039,-0.081782,3.72696099635e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
CSI 500,mdd,0.142265605715,0.142266,3.94284634608e-07,5e-07,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
CSI 500,sr,-1.60741781139,-1.6074,1.78113915554e-05,5e-05,True,55-point author-linked NAV array,"validates released output arithmetic; does not reproduce predictions, trades, or portfolio construction"
