path,bytes,sha256,role,paper_result_credit
.gitignore,3553,735731fd59acdd9ecd26421363a85975a8be087fa4c1b6092164903699e42c2d,license_or_repository_metadata,False
LICENSE,1067,64be010d3788d975264d826fd104f05250ca034837e80284e58173717068fc72,license_or_repository_metadata,False
README.md,1055,fd1c5988cf2d27d93497b551d115d781b2da210f3213a71cdeb274b9581da433,setup_or_documentation,False
diagrams/.$flow.drawio.bkp,160928,676cbb06c7cb7744e9daa12968971ea06f32020176c2ee58bd578f188c67c2a8,author_output_or_method_figure,False
diagrams/.$flowdrawio.drawio.bkp,109084,07e0140beaeab2136de3d10cdb932fa0fd7440be1227a4ee8d8a735f220d9547,author_output_or_method_figure,False
diagrams/flow.drawio,160319,037ec630cbeacfabfdd1b78c3a316480f92099168c329fd7d6a1cfee8e33c5c5,author_output_or_method_figure,False
diagrams/flow.pdf,130111,7c16b3933b02707bb0d84b77d3ade99307b942ab0c013ad1ddeafaaf25f7741a,author_output_or_method_figure,False
environ/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,implementation_source,False
environ/agents/__init__.py,221,474e4dccba03797b80534fd05ffe535982cd3e4b356213fc56623ec2a5b02253,implementation_source,False
environ/agents/base.py,15843,85a4ad90145399a3110e65296432f84b61ec7eb64d7c443acc89933d0ef6299a,implementation_source,False
environ/agents/crypto_agent.py,2998,6fc097abeb1c86f61a95ca60132f420fb0f26214803ad82459b9220a1245bf80,implementation_source,False
environ/agents/news_agent.py,5633,9db626412875239cb34109d7e40d41c15ac13f8b60297bbdcacc1e0b4341c31e,implementation_source,False
environ/agents/rag_crypto_agent.py,1559,0a7bcba4f1e9f605fdecb9f74b0f651e438bd3a97fa7b4c24bef3b87043cbf00,implementation_source,False
environ/agents/single_agent.py,5528,e20646971a5f8a838942a5c9ce157c527cbe42328ca62efcafd7aaa77ad0b73d,implementation_source,False
environ/agents/skill_crypto_agent.py,5904,c8ab2e4d31959d1de1ff3189e96d97da50f55e93bccde5e9d70d90437f4f130f,implementation_source,False
environ/agents/trading_agent.py,6536,4d8f8c26f982395cb2d5d889a68844bece1001f684d16d68c471ea20fc50c8d0,implementation_source,False
environ/architectures/__init__.py,322,857be958c3a0a0d13da8c7a0f93775091835808d5f5d91ba0eaec30ae782d100,implementation_source,False
environ/architectures/ablation.py,6802,72a87af0ef3bae42321260bccf2d3c9a628b432813a6e676ff98d4366175a2e2,implementation_source,False
environ/architectures/base_arch.py,4042,c251498d7bee510ea17c2068b285a2751cf17be1c3cfe25419f4d6863a572d74,implementation_source,False
environ/architectures/collaborative.py,5084,e58f3a5d58a19dcb96d79ac0409716a4def816245938ca7481ededdb5e850feb,implementation_source,False
environ/architectures/debate.py,8953,960d1b204b57c49af05d2da0a7840eb807fc4f6d97953500daa32cc236947dd4,implementation_source,False
environ/architectures/hierarchical.py,3978,3c6a15d3d3ef06696ec80f4fe59387c32b31956d49a5b499d7f948d3d67847b5,implementation_source,False
environ/evaluation/__init__.py,372,0133a231f88eb253fdf2badfb593cdfc9edbb2414a515d6d7455a37359f1c9ed,implementation_source,False
environ/evaluation/metrics.py,5331,8aef085ffb9e7e3d73270236c80fbe5aa2d407d2eb1bff676256e8c63b0f6829,implementation_source,False
environ/evaluation/plots.py,28807,8a0b0c9877cc2123206c04ab6f110e3b37a65716a055843e6d9dcc8111482f18,implementation_source,False
figures/model_comparison_ann_vol.pdf,21870,7386a4f8c8645748ddc171ac0ba094ebace80396d883e94b181c43064235fb0a,author_output_or_method_figure,False
figures/model_comparison_cum_ret.pdf,27100,a932df3b3878d5bd56aa1a76ff0b5032fdae0e38d7cbdf2756486f16ef0a1782,author_output_or_method_figure,False
figures/portfolio.pdf,37387,2e4af2bf512a936d83e546a7d4f401d92ec10f89b1002963cd701f91ed7e8ced,author_output_or_method_figure,False
figures/risk_return.pdf,34323,5dccf3fdd8514bfdd63864894d739235dd58fc17fcbf0b7b559044eb1295b952,author_output_or_method_figure,False
figures/rolling_sharpe.pdf,25390,7fbd84538b2ceb807c718a93e3f72b3904a9f6f3c630a296d15b017751cda1b0,author_output_or_method_figure,False
figures/turnover.pdf,20502,ac70bf51ec9207e3f5de1cbf41bd2ecb2218e2b0890d58681288dc70b6d890e6,author_output_or_method_figure,False
figures/weight_heatmap.pdf,41503,a433286e79e043929b1c80e004ba2e876c82e8d2cb31df736595e590a916e319,author_output_or_method_figure,False
pyproject.toml,713,358905ab4753caec779e9dd544aead20099c2c2dba5810f72866a84eb3c40bb0,setup_or_documentation,False
scripts/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,runner_or_evaluation_source,False
scripts/benchmarks.py,31466,ddf37e93b7d50cad96e1d273df3d5387c629b31651952ef781122527b4064b9c,runner_or_evaluation_source,False
scripts/evaluate.py,28848,bf04a973632e2cf98a00358140d0d4f659ed3a0d97f775a42f5cd641491c9cf3,runner_or_evaluation_source,False
scripts/fetch_news.py,1497,941d6dee73c856cd1386179445be6bc38ccb640509241ff322f1b3bd6f482bac,runner_or_evaluation_source,False
scripts/run_ablation.py,8179,f067b850457f052e3483d57bb66df786fdc244cca700c2105846379a6af95cf0,runner_or_evaluation_source,False
scripts/run_experiment.py,19554,c5f24144e21a87bee7e7b974a8f13fb538d97543f0b96361a0052ea2dcd316c5,runner_or_evaluation_source,False
setup_repo.sh,128,fbd743975b78cd89367511ebba4024fc71fae9a58c9912640352b30e6ec94819,setup_or_documentation,False
tables/ablation.tex,1254,117e3993b07fb44f9ae6c9f6d3c344c78b104dace5f6780f47dcf1ce3dac8d2d,author_output_table,False
tables/performance.tex,6702,ebcab03431656b62e4f2d7ce2c1808aa4e91113dbe55a4fb28dda818f4b37f94,author_output_table,False
