version,table_label,printed_numeric_unit,source_document_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
v1,tab:summary,1,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,2,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,3,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,4,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,5,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,6,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,7,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,8,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,9,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,10,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,11,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,12,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,13,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,14,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,15,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,16,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,17,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,18,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,19,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,20,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,21,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,22,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,23,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,24,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,25,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,26,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,27,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,28,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,29,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,30,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,31,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,32,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,33,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,34,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,35,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,36,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,37,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
v1,tab:summary,38,True,False,False,False,"trading adapter, Polygon data snapshot, experiment configs, seeds, model-call traces, candidate programs, backtests, and result arrays are absent"
