table,category,variant,metric,paper_value,quantagents_system_output,arxiv_source_verified,author_site_corroborated,native_reproduced_value,paper_result_credit,status,note
main,Market Index,NDX,ARR_pct,9.84,False,True,False,,False,paper_value_only_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Market Index,NDX,TR_pct,32.52,False,True,False,,False,paper_value_only_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Market Index,NDX,SR,0.64,False,True,False,,False,paper_value_only_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Market Index,NDX,CR,1.38,False,True,False,,False,paper_value_only_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Market Index,NDX,SoR,13.07,False,True,False,,False,paper_value_only_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Market Index,NDX,MDD_pct,35.58,False,True,False,,False,paper_value_only_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Market Index,NDX,Vol_pct,1.52,False,True,False,,False,paper_value_only_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,MV,ARR_pct,11.3,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,MV,TR_pct,37.87,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,MV,SR,0.72,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,MV,CR,3.27,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,MV,SoR,22.05,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,MV,MDD_pct,64.15,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,MV,Vol_pct,5.79,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,MV,ENT,1.01,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,MV,ENB,1.02,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,ZMR,ARR_pct,4.19,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,ZMR,TR_pct,13.1,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,ZMR,SR,0.63,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,ZMR,CR,2.52,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,ZMR,SoR,18.43,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,ZMR,MDD_pct,72.89,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,ZMR,Vol_pct,5.82,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,ZMR,ENT,1.43,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,ZMR,ENB,1.09,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,TSM,ARR_pct,5.68,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,TSM,TR_pct,18.02,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,TSM,SR,0.64,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,TSM,CR,3.11,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,TSM,SoR,17.27,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,TSM,MDD_pct,58.36,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,TSM,Vol_pct,5.65,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,TSM,ENT,1.03,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,Classical,TSM,ENB,1.07,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,SAC,ARR_pct,22.14,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,SAC,TR_pct,82.23,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,SAC,SR,0.84,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,SAC,CR,2.99,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,SAC,SoR,23.63,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,SAC,MDD_pct,40.13,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,SAC,Vol_pct,2.85,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,SAC,ENT,1.49,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,SAC,ENB,1.11,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
main,RL-based,DeepTrader,ARR_pct,32.06,False,True,True,,False,author_site_duplicate_zero_credit,"No released native system, frozen inputs, action/order path, or metric-generation lineage."
