asset,method,published_accuracy_pct,published_baseline_accuracy_pct,published_delta_accuracy_pct,implied_delta_accuracy_pct,absolute_error,status
BTC,LR,46.0,45.0,2.2,2.2222222222222223,0.022222222222222143,rounding_consistent_internal_identity
BTC,XGBoost,45.3,45.0,0.7,0.6666666666666604,0.03333333333333954,rounding_consistent_internal_identity
BTC,Our,50.7,45.0,12.7,12.666666666666673,0.03333333333332611,rounding_consistent_internal_identity
CL,LR,54.3,41.0,32.4,32.4390243902439,0.039024390243902474,rounding_consistent_internal_identity
CL,XGBoost,40.0,41.0,-2.4,-2.4390243902439024,0.039024390243902474,rounding_consistent_internal_identity
CL,Our,55.0,41.0,34.1,34.146341463414636,0.04634146341463463,rounding_consistent_internal_identity
DJI,LR,52.0,47.0,10.6,10.638297872340425,0.0382978723404257,rounding_consistent_internal_identity
DJI,XGBoost,47.3,47.0,0.6,0.6382978723404196,0.03829787234041959,rounding_consistent_internal_identity
DJI,Our,52.3,47.0,11.3,11.276595744680845,0.023404255319155354,rounding_consistent_internal_identity
ES,LR,43.0,51.0,-15.7,-15.686274509803921,0.013725490196078383,rounding_consistent_internal_identity
ES,XGBoost,52.0,51.0,2.0,1.9607843137254901,0.03921568627450989,rounding_consistent_internal_identity
ES,Our,55.0,51.0,7.8,7.8431372549019605,0.04313725490196063,rounding_consistent_internal_identity
VIX,LR,48.7,46.3,5.2,5.183585313174959,0.016414686825041436,rounding_consistent_internal_identity
VIX,XGBoost,53.3,46.3,15.1,15.118790496760258,0.01879049676025879,rounding_consistent_internal_identity
VIX,Our,54.7,46.3,18.1,18.142548596112324,0.0425485961123222,rounding_consistent_internal_identity
NQ,LR,48.7,43.7,11.4,11.441647597254004,0.0416475972540038,rounding_consistent_internal_identity
NQ,XGBoost,47.3,43.7,8.2,8.23798627002287,0.03798627002286992,rounding_consistent_internal_identity
NQ,Our,55.3,43.7,26.5,26.544622425629278,0.044622425629277984,rounding_consistent_internal_identity
QQQ,LR,56.0,47.3,18.4,18.393234672304448,0.006765327695550383,rounding_consistent_internal_identity
QQQ,XGBoost,52.7,47.3,11.4,11.41649048625794,0.016490486257939807,rounding_consistent_internal_identity
QQQ,Our,59.7,47.3,26.2,26.215644820295996,0.015644820295996453,rounding_consistent_internal_identity
SPX,LR,59.7,47.3,26.2,26.215644820295996,0.015644820295996453,rounding_consistent_internal_identity
SPX,XGBoost,60.0,47.3,26.8,26.849894291754765,0.04989429175476445,rounding_consistent_internal_identity
SPX,Our,63.7,47.3,34.6,34.67230443974631,0.07230443974631129,paper_internal_mismatch
