table,panel,model,strategy,market,metric,rendered_value,numeric_value,duplicate_kind,duplicate_of,native_pipeline_executed,native_result_regenerated,paper_result_credit
Table 1,Panel A,GPT-5.4,Strict,A-shares,TR_pct,12.31,12.31,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,A-shares,SR,2.19,2.19,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,A-shares,MDD_pct,3.17,3.17,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,A-shares,Vol_pct,15.95,15.95,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,A-shares,WR_pct,54.55,54.55,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,A-shares,alpha_pct,17.88,17.88,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,US Stocks,TR_pct,-0.40,-0.4,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,US Stocks,SR,-0.04,-0.04,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,US Stocks,MDD_pct,11.66,11.66,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,US Stocks,Vol_pct,20.88,20.88,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,US Stocks,WR_pct,25.81,25.81,none,,False,False,False
Table 1,Panel A,GPT-5.4,Strict,US Stocks,alpha_pct,6.72,6.72,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,A-shares,TR_pct,6.36,6.36,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,A-shares,SR,1.15,1.15,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,A-shares,MDD_pct,4.76,4.76,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,A-shares,Vol_pct,15.87,15.87,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,A-shares,WR_pct,57.58,57.58,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,A-shares,alpha_pct,-1.87,-1.87,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,US Stocks,TR_pct,-10.50,-10.5,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,US Stocks,SR,-1.31,-1.31,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,US Stocks,MDD_pct,20.83,20.83,none,,False,False,False
Table 1,Panel A,GPT-5.4,Guided,US Stocks,Vol_pct,23.22,23.22,none,,False,False,False
