paper_figure,category,asset,paper_figure_value,table_derived_sr_from_rounded_cells,internally_consistent_with_table_precision,native_reproduced_value,status,paper_result_credit
Figure 5 Sharpe Ratio Heatmap,SLM,AAPL,-1.048,-1.050000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,SLM,AMZN,-0.888,-0.886667,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,SLM,META,-0.463,-0.463333,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,SLM,MSFT,-1.326,-1.323333,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,SLM,NVDA,-0.748,-0.746667,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,SLM,SPY,-2.358,-2.356667,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,LLM,AAPL,0.871,0.870000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,LLM,AMZN,0.296,0.295000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,LLM,META,0.734,0.735000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,LLM,MSFT,0.368,0.367500,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,LLM,NVDA,-0.170,-0.170000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,LLM,SPY,-0.488,-0.490000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,RLM,AAPL,-0.873,-0.873333,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,RLM,AMZN,-1.262,-1.263333,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,RLM,META,-0.047,-0.050000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,RLM,MSFT,-0.873,-0.876667,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,RLM,NVDA,-0.988,-0.990000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,RLM,SPY,-1.134,-1.136667,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-SFT,AAPL,-1.266,-1.270000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-SFT,AMZN,0.359,0.360000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-SFT,META,0.536,0.540000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-SFT,MSFT,-0.635,-0.640000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-SFT,NVDA,2.725,2.720000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-SFT,SPY,0.858,0.860000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-RFT,AAPL,1.137,1.140000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-RFT,AMZN,-0.294,-0.290000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-RFT,META,-0.357,-0.360000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-RFT,MSFT,-0.811,-0.810000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-RFT,NVDA,1.252,1.250000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-RFT,SPY,0.997,1.000000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-R1,AAPL,1.804,1.800000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-R1,AMZN,1.716,1.720000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-R1,META,0.856,0.860000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-R1,MSFT,0.873,0.870000,True,,paper_internal_match_only_not_native_reproduction,False
Figure 5 Sharpe Ratio Heatmap,Trading-R1,NVDA,1.881,2.720000,False,,paper_internal_conflict_and_not_natively_reproduced,False
Figure 5 Sharpe Ratio Heatmap,Trading-R1,SPY,1.600,1.600000,True,,paper_internal_match_only_not_native_reproduction,False
