method,asset,paper_CR_pct,paper_AR_pct,inclusive_calendar_days,N_years_literal,AR_pct_from_published_equation,paper_minus_equation_pct_points,display_precision_match,status
B&H,AAPL,-5.23,-5.09,89,0.243668720054757,-19.78439436080226,14.69439436080226,False,fails_literal_published_equation_at_display_precision
B&H,GOOGL,7.78,8.09,89,0.243668720054757,35.9986176707221,-27.908617670722098,False,fails_literal_published_equation_at_display_precision
B&H,AMZN,17.1,17.6,89,0.243668720054757,91.14056946316758,-73.54056946316757,False,fails_literal_published_equation_at_display_precision
MACD,AAPL,-1.49,-1.48,89,0.243668720054757,-5.974929226398107,4.494929226398106,False,fails_literal_published_equation_at_display_precision
MACD,GOOGL,6.2,6.26,89,0.243668720054757,28.0009684516735,-21.740968451673503,False,fails_literal_published_equation_at_display_precision
KDJ&RSI,AAPL,2.05,2.07,89,0.243668720054757,8.68459591282833,-6.61459591282833,False,fails_literal_published_equation_at_display_precision
KDJ&RSI,GOOGL,0.4,0.4,89,0.243668720054757,1.6517923166200488,-1.2517923166200489,False,fails_literal_published_equation_at_display_precision
KDJ&RSI,AMZN,-0.77,-0.76,89,0.243668720054757,-3.1224687996541767,2.3624687996541764,False,fails_literal_published_equation_at_display_precision
ZMR,AAPL,0.57,0.57,89,0.243668720054757,2.3600178417342965,-1.7900178417342967,False,fails_literal_published_equation_at_display_precision
ZMR,GOOGL,-0.58,0.58,89,0.243668720054757,-2.3589420401457173,2.9389420401457174,False,fails_literal_published_equation_at_display_precision
ZMR,AMZN,-0.77,-0.77,89,0.243668720054757,-3.1224687996541767,2.3524687996541767,False,fails_literal_published_equation_at_display_precision
SMA,AAPL,-3.2,-2.97,89,0.243668720054757,-12.494889287284927,9.524889287284926,False,fails_literal_published_equation_at_display_precision
SMA,GOOGL,6.23,6.43,89,0.243668720054757,28.14942542628094,-21.71942542628094,False,fails_literal_published_equation_at_display_precision
SMA,AMZN,11.01,11.6,89,0.243668720054757,53.51931049344347,-41.91931049344347,False,fails_literal_published_equation_at_display_precision
TradingAgents,AAPL,26.62,30.5,89,0.243668720054757,163.42838334789772,-132.92838334789772,False,fails_literal_published_equation_at_display_precision
TradingAgents,GOOGL,24.36,27.58,89,0.243668720054757,144.66016523508688,-117.08016523508688,False,fails_literal_published_equation_at_display_precision
TradingAgents,AMZN,23.21,24.9,89,0.243668720054757,135.50758494122425,-110.60758494122425,False,fails_literal_published_equation_at_display_precision
