paper_table,cell_kind,method,asset,period,metric,paper_value,native_reproduced_value,absolute_difference,status,paper_result_credit
1,direct_result,B&H,AAPL,2024-01-01 to 2024-03-29,CR_pct,-5.23,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,AAPL,2024-01-01 to 2024-03-29,AR_pct,-5.09,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,AAPL,2024-01-01 to 2024-03-29,SR,-1.29,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,AAPL,2024-01-01 to 2024-03-29,MDD_pct,11.9,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,GOOGL,2024-01-01 to 2024-03-29,CR_pct,7.78,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,GOOGL,2024-01-01 to 2024-03-29,AR_pct,8.09,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,GOOGL,2024-01-01 to 2024-03-29,SR,1.35,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,GOOGL,2024-01-01 to 2024-03-29,MDD_pct,13.04,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,AMZN,2024-01-01 to 2024-03-29,CR_pct,17.1,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,AMZN,2024-01-01 to 2024-03-29,AR_pct,17.6,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,AMZN,2024-01-01 to 2024-03-29,SR,3.53,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,B&H,AMZN,2024-01-01 to 2024-03-29,MDD_pct,3.8,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,MACD,AAPL,2024-01-01 to 2024-03-29,CR_pct,-1.49,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,MACD,AAPL,2024-01-01 to 2024-03-29,AR_pct,-1.48,,,unavailable_missing_native_baseline_result_path,False
1,direct_result,MACD,AAPL,2024-01-01 to 2024-03-29,SR,-0.81,,,unavailable_missing_native_baseline_result_path,False
