ticker,strategy,metric,paper_rendered_value,paper_numeric_value,fresh_execution_value,fresh_execution_matches_paper,execution_configuration,pinned_default_execution_value,pinned_default_execution_matches_paper,historical_source_csv_value,historical_source_csv_matches_paper,fresh_execution_matches_source_csv_at_3dp,native_tradinggroup_credit
AMZN,ARIMA,AV,24.267,24.267,24.2669979731,True,historical_two_year_model_window,27.0233484792,False,26.899,False,False,False
AMZN,ARIMA,CR,0.553,0.553,0.5529413,True,historical_two_year_model_window,-7.8470313,False,-4.752,False,False,False
AMZN,ARIMA,MDD,-10.854,-10.854,-10.8536299133,True,historical_two_year_model_window,-22.313874552,False,-20.046,False,False,False
AMZN,ARIMA,SPR,0.029,0.029,0.029140068225,True,historical_two_year_model_window,-0.391655655802,False,-0.225,False,False,False
AMZN,ATR Band,AV,23.273,23.273,23.2730078699,True,pinned_default,23.2730078699,True,23.272,False,False,False
AMZN,ATR Band,CR,11.012,11.012,11.0119718,True,pinned_default,11.0119718,True,11.007,False,False,False
AMZN,ATR Band,MDD,-15.841,-15.841,-15.8411636716,True,pinned_default,-15.8411636716,True,-15.842,False,False,False
AMZN,ATR Band,SPR,0.623,0.623,0.622614115018,True,pinned_default,0.622614115018,True,0.622,False,False,False
AMZN,Bollinger Bands,AV,26.559,26.559,26.5593671116,True,pinned_default,26.5593671116,True,26.559,True,True,False
AMZN,Bollinger Bands,CR,-7.1,-7.1,-7.0997513,True,pinned_default,-7.0997513,True,-7.105,True,False,False
AMZN,Bollinger Bands,MDD,-20.614,-20.614,-20.6139176426,True,pinned_default,-20.6139176426,True,-20.615,False,False,False
AMZN,Bollinger Bands,SPR,-0.402,-0.402,-0.401796915577,True,pinned_default,-0.401796915577,True,-0.402,True,True,False
AMZN,Buy and Hold,AV,35.624,35.624,35.6242678242,True,pinned_default,35.6242678242,True,35.624,True,True,False
AMZN,Buy and Hold,CR,-13.25,-13.25,-13.2502119,True,pinned_default,-13.2502119,True,-13.25,True,True,False
AMZN,Buy and Hold,MDD,-31.546,-31.546,-31.545884144,True,pinned_default,-31.545884144,True,-31.546,True,True,False
AMZN,Buy and Hold,SPR,-0.46,-0.46,-0.459943435764,True,pinned_default,-0.459943435764,True,-0.46,True,True,False
AMZN,SMA Cross,AV,22.874,22.874,22.8735182604,True,pinned_default,22.8735182604,True,27.084,False,False,False
