ticker,strategy,metric,paper_rendered_value,paper_numeric_value,historical_source_csv_value,status,native_tradinggroup_credit
AMZN,ARIMA,AV,24.267,24.267,26.899,differs_from_paper,False
AMZN,ARIMA,CR,0.553,0.553,-4.752,differs_from_paper,False
AMZN,ARIMA,MDD,-10.854,-10.854,-20.046,differs_from_paper,False
AMZN,ARIMA,SPR,0.029,0.029,-0.225,differs_from_paper,False
AMZN,ATR Band,AV,23.273,23.273,23.272,differs_from_paper,False
AMZN,ATR Band,CR,11.012,11.012,11.007,differs_from_paper,False
AMZN,ATR Band,MDD,-15.841,-15.841,-15.842,differs_from_paper,False
AMZN,ATR Band,SPR,0.623,0.623,0.622,differs_from_paper,False
AMZN,Bollinger Bands,AV,26.559,26.559,26.559,matches_paper_at_display_precision,False
AMZN,Bollinger Bands,CR,-7.1,-7.1,-7.105,matches_paper_at_display_precision,False
AMZN,Bollinger Bands,MDD,-20.614,-20.614,-20.615,differs_from_paper,False
AMZN,Bollinger Bands,SPR,-0.402,-0.402,-0.402,matches_paper_at_display_precision,False
AMZN,Buy and Hold,AV,35.624,35.624,35.624,matches_paper_at_display_precision,False
AMZN,Buy and Hold,CR,-13.25,-13.25,-13.25,matches_paper_at_display_precision,False
AMZN,Buy and Hold,MDD,-31.546,-31.546,-31.546,matches_paper_at_display_precision,False
AMZN,Buy and Hold,SPR,-0.46,-0.46,-0.46,matches_paper_at_display_precision,False
AMZN,FinAgent,AV,12.432,12.432,4.374,differs_from_paper,False
AMZN,FinAgent,CR,4.454,4.454,-3.819,differs_from_paper,False
AMZN,FinAgent,MDD,-5.708,-5.708,-3.819,differs_from_paper,False
AMZN,FinAgent,SPR,0.52,0.52,-2.444,differs_from_paper,False
AMZN,SMA Cross,AV,22.874,22.874,27.084,differs_from_paper,False
AMZN,SMA Cross,CR,13.265,13.265,-4.433,differs_from_paper,False
AMZN,SMA Cross,MDD,-11.653,-11.653,-18.91,differs_from_paper,False
AMZN,SMA Cross,SPR,0.77,0.77,-0.42,differs_from_paper,False
AMZN,Turn of The Month,AV,20.723,20.723,20.722,differs_from_paper,False
AMZN,Turn of The Month,CR,0.044,0.044,0.039,differs_from_paper,False
AMZN,Turn of The Month,MDD,-14.892,-14.892,-14.892,matches_paper_at_display_precision,False
AMZN,Turn of The Month,SPR,-0.037,-0.037,-0.037,matches_paper_at_display_precision,False
AMZN,WMA Cross,AV,22.888,22.888,26.831,differs_from_paper,False
AMZN,WMA Cross,CR,4.194,4.194,-6.121,differs_from_paper,False
AMZN,WMA Cross,MDD,-14.613,-14.613,-21.03,differs_from_paper,False
AMZN,WMA Cross,SPR,0.235,0.235,-0.563,differs_from_paper,False
AMZN,XGBoost,AV,22.413,22.413,25.135,differs_from_paper,False
AMZN,XGBoost,CR,-5.295,-5.295,42.468,differs_from_paper,False
AMZN,XGBoost,MDD,-19.91,-19.91,-8.816,differs_from_paper,False
AMZN,XGBoost,SPR,-0.361,-0.361,1.955,differs_from_paper,False
COIN,ATR Band,AV,38.716,38.716,38.716,matches_paper_at_display_precision,False
COIN,ATR Band,CR,25.169,25.169,25.169,matches_paper_at_display_precision,False
COIN,ATR Band,MDD,-22.906,-22.906,-22.906,matches_paper_at_display_precision,False
COIN,ATR Band,SPR,0.933,0.933,0.933,matches_paper_at_display_precision,False
COIN,Bollinger Bands,AV,43.904,43.904,43.904,matches_paper_at_display_precision,False
COIN,Bollinger Bands,CR,-24.371,-24.371,-24.371,matches_paper_at_display_precision,False
COIN,Bollinger Bands,MDD,-40.733,-40.733,-40.733,matches_paper_at_display_precision,False
COIN,Bollinger Bands,SPR,-0.795,-0.795,-0.795,matches_paper_at_display_precision,False
COIN,Buy and Hold,AV,86.718,86.718,86.718,matches_paper_at_display_precision,False
COIN,Buy and Hold,CR,-12.729,-12.729,-12.729,matches_paper_at_display_precision,False
COIN,Buy and Hold,MDD,-54.402,-54.402,-54.402,matches_paper_at_display_precision,False
COIN,Buy and Hold,SPR,0.17,0.17,0.17,matches_paper_at_display_precision,False
COIN,FinAgent,AV,109.416,109.416,104.742,differs_from_paper,False
COIN,FinAgent,CR,3.239,3.239,-8.605,differs_from_paper,False
COIN,FinAgent,MDD,-54.625,-54.625,-55.827,differs_from_paper,False
COIN,FinAgent,SPR,0.561,0.561,0.306,differs_from_paper,False
COIN,SMA Cross,AV,59.914,59.914,90.853,differs_from_paper,False
COIN,SMA Cross,CR,-21.327,-21.327,15.215,differs_from_paper,False
COIN,SMA Cross,MDD,-48.57,-48.57,-33.219,differs_from_paper,False
COIN,SMA Cross,SPR,-0.365,-0.365,0.566,differs_from_paper,False
COIN,Turn of The Month,AV,49.36,49.36,49.357,matches_paper_at_display_precision,False
COIN,Turn of The Month,CR,21.243,21.243,21.242,differs_from_paper,False
COIN,Turn of The Month,MDD,-21.522,-21.522,-21.522,matches_paper_at_display_precision,False
COIN,Turn of The Month,SPR,0.713,0.713,0.713,matches_paper_at_display_precision,False
COIN,WMA Cross,AV,55.764,55.764,94.18,differs_from_paper,False
COIN,WMA Cross,CR,1.338,1.338,12.655,differs_from_paper,False
COIN,WMA Cross,MDD,-38.834,-38.834,-33.259,differs_from_paper,False
COIN,WMA Cross,SPR,0.245,0.245,0.517,differs_from_paper,False
MSFT,ARIMA,AV,22.993,22.993,22.636,differs_from_paper,False
MSFT,ARIMA,CR,20.228,20.228,44.777,differs_from_paper,False
MSFT,ARIMA,MDD,-12.073,-12.073,-7.121,differs_from_paper,False
MSFT,ARIMA,SPR,1.095,1.095,2.245,differs_from_paper,False
MSFT,ATR Band,AV,15.007,15.007,15.005,differs_from_paper,False
MSFT,ATR Band,CR,12.981,12.981,12.979,differs_from_paper,False
MSFT,ATR Band,MDD,-7.71,-7.71,-7.709,matches_paper_at_display_precision,False
MSFT,ATR Band,SPR,1.036,1.036,1.036,matches_paper_at_display_precision,False
MSFT,Bollinger Bands,AV,18.245,18.245,18.243,differs_from_paper,False
MSFT,Bollinger Bands,CR,31.62,31.62,31.619,matches_paper_at_display_precision,False
MSFT,Bollinger Bands,MDD,-3.475,-3.475,-3.475,matches_paper_at_display_precision,False
MSFT,Bollinger Bands,SPR,2.115,2.115,2.115,matches_paper_at_display_precision,False
MSFT,Buy and Hold,AV,28.271,28.271,28.327,differs_from_paper,False
MSFT,Buy and Hold,CR,21.128,21.128,21.171,differs_from_paper,False
MSFT,Buy and Hold,MDD,-14.165,-14.165,-14.192,differs_from_paper,False
MSFT,Buy and Hold,SPR,0.974,0.974,0.974,matches_paper_at_display_precision,False
MSFT,FinAgent,AV,35.432,35.432,34.672,differs_from_paper,False
MSFT,FinAgent,CR,17.874,17.874,11.972,differs_from_paper,False
MSFT,FinAgent,MDD,-14.519,-14.519,-17.499,differs_from_paper,False
MSFT,FinAgent,SPR,1.02,1.02,0.738,differs_from_paper,False
MSFT,SMA Cross,AV,16.124,16.124,20.821,differs_from_paper,False
