version,table,method,dataset,metric,statistic,rendered_value,treevo_output,native_pipeline_executed,paper_result_credit
v1,Table 1,XGBoost,CSI300,IC,mean,0.0192,False,False,False
v1,Table 1,XGBoost,CSI300,RankIC,mean,0.0241,False,False,False
v1,Table 1,XGBoost,CSI500,IC,mean,0.0173,False,False,False
v1,Table 1,XGBoost,CSI500,RankIC,mean,0.0217,False,False,False
v1,Table 1,XGBoost,CSI300,IC,std,0.0021,False,False,False
v1,Table 1,XGBoost,CSI300,RankIC,std,0.0027,False,False,False
v1,Table 1,XGBoost,CSI500,IC,std,0.0017,False,False,False
v1,Table 1,XGBoost,CSI500,RankIC,std,0.0022,False,False,False
v1,Table 1,LightGBM,CSI300,IC,mean,0.0158,False,False,False
v1,Table 1,LightGBM,CSI300,RankIC,mean,0.0235,False,False,False
v1,Table 1,LightGBM,CSI500,IC,mean,0.0112,False,False,False
v1,Table 1,LightGBM,CSI500,RankIC,mean,0.0212,False,False,False
v1,Table 1,LightGBM,CSI300,IC,std,0.0012,False,False,False
v1,Table 1,LightGBM,CSI300,RankIC,std,0.0030,False,False,False
v1,Table 1,LightGBM,CSI500,IC,std,0.0012,False,False,False
v1,Table 1,LightGBM,CSI500,RankIC,std,0.0020,False,False,False
v1,Table 1,GP,CSI300,IC,mean,0.0445,False,False,False
v1,Table 1,GP,CSI300,RankIC,mean,0.0673,False,False,False
v1,Table 1,GP,CSI500,IC,mean,0.0557,False,False,False
v1,Table 1,GP,CSI500,RankIC,mean,0.0665,False,False,False
v1,Table 1,GP,CSI300,IC,std,0.0044,False,False,False
v1,Table 1,GP,CSI300,RankIC,std,0.0058,False,False,False
v1,Table 1,GP,CSI500,IC,std,0.0117,False,False,False
v1,Table 1,GP,CSI500,RankIC,std,0.0154,False,False,False
v1,Table 1,AlphaGen,CSI300,IC,mean,0.0500,False,False,False
v1,Table 1,AlphaGen,CSI300,RankIC,mean,0.0540,False,False,False
v1,Table 1,AlphaGen,CSI500,IC,mean,0.0544,False,False,False
v1,Table 1,AlphaGen,CSI500,RankIC,mean,0.0722,False,False,False
v1,Table 1,AlphaGen,CSI300,IC,std,0.0021,False,False,False
v1,Table 1,AlphaGen,CSI300,RankIC,std,0.0035,False,False,False
v1,Table 1,AlphaGen,CSI500,IC,std,0.0011,False,False,False
v1,Table 1,AlphaGen,CSI500,RankIC,std,0.0017,False,False,False
v1,Table 1,QFR,CSI300,IC,mean,0.0588,False,False,False
v1,Table 1,QFR,CSI300,RankIC,mean,0.0602,False,False,False
v1,Table 1,QFR,CSI500,IC,mean,0.0708,False,False,False
v1,Table 1,QFR,CSI500,RankIC,mean,0.0674,False,False,False
v1,Table 1,QFR,CSI300,IC,std,0.0220,False,False,False
v1,Table 1,QFR,CSI300,RankIC,std,0.0014,False,False,False
v1,Table 1,QFR,CSI500,IC,std,0.0063,False,False,False
v1,Table 1,QFR,CSI500,RankIC,std,0.0033,False,False,False
v1,Table 1,TreEvo,CSI300,IC,mean,0.0615,True,False,False
v1,Table 1,TreEvo,CSI300,RankIC,mean,0.0649,True,False,False
v1,Table 1,TreEvo,CSI500,IC,mean,0.0742,True,False,False
v1,Table 1,TreEvo,CSI500,RankIC,mean,0.0793,True,False,False
v1,Table 1,TreEvo,CSI300,IC,std,0.0153,True,False,False
v1,Table 1,TreEvo,CSI300,RankIC,std,0.0173,True,False,False
v1,Table 1,TreEvo,CSI500,IC,std,0.0081,True,False,False
v1,Table 1,TreEvo,CSI500,RankIC,std,0.0119,True,False,False
v1,Table 2,EoH,CSI300,IC,mean,0.0506,False,False,False
v1,Table 2,EoH,CSI300,RankIC,mean,0.0462,False,False,False
v1,Table 2,EoH,CSI500,IC,mean,0.0584,False,False,False
v1,Table 2,EoH,CSI500,RankIC,mean,0.0653,False,False,False
v1,Table 2,EoH,SPX,IC,mean,0.0504,False,False,False
v1,Table 2,EoH,SPX,RankIC,mean,0.0458,False,False,False
