result_family,unit_id,method_or_panel,metric,printed_value,rank_within_column,source_asset_recovered,raw_result_value_recovered,author_native_pipeline_executed,author_native_result_regenerated,paper_result_credit,blocking_reason
main_comparison_table,Ridge:IC,Ridge,IC,0.0031,16,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Ridge:RankIC,Ridge,RankIC,0.0080,15,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Ridge:ICIR,Ridge,ICIR,0.0296,17,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Ridge:RankICIR,Ridge,RankICIR,0.0593,16,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Ridge:AR,Ridge,AR,0.0296,15,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Ridge:AER,Ridge,AER,-0.0031,16,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Ridge:IR,Ridge,IR,-0.0492,16,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Random Forest:IC,Random Forest,IC,0.0090,15,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Random Forest:RankIC,Random Forest,RankIC,0.0095,14,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Random Forest:ICIR,Random Forest,ICIR,0.1139,13,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Random Forest:RankICIR,Random Forest,RankICIR,0.1331,14,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Random Forest:AR,Random Forest,AR,0.0252,16,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Random Forest:AER,Random Forest,AER,-0.0053,17,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,Random Forest:IR,Random Forest,IR,-0.0913,17,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,LightGBM:IC,LightGBM,IC,0.0190,8,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,LightGBM:RankIC,LightGBM,RankIC,0.0330,4,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,LightGBM:ICIR,LightGBM,ICIR,0.2039,3,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,LightGBM:RankICIR,LightGBM,RankICIR,0.2674,4,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,LightGBM:AR,LightGBM,AR,0.0508,10,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,LightGBM:AER,LightGBM,AER,0.0267,8,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,LightGBM:IR,LightGBM,IR,0.3865,9,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,XGBoost:IC,XGBoost,IC,0.0093,14,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,XGBoost:RankIC,XGBoost,RankIC,0.0098,13,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,XGBoost:ICIR,XGBoost,ICIR,0.1146,12,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,XGBoost:RankICIR,XGBoost,RankICIR,0.1332,13,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,XGBoost:AR,XGBoost,AR,0.0558,8,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,XGBoost:AER,XGBoost,AER,0.0240,9,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,XGBoost:IR,XGBoost,IR,0.3974,8,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,CatBoost:IC,CatBoost,IC,0.0031,17,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,CatBoost:RankIC,CatBoost,RankIC,0.0066,17,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,CatBoost:ICIR,CatBoost,ICIR,0.0361,16,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,CatBoost:RankICIR,CatBoost,RankICIR,0.0864,15,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
main_comparison_table,CatBoost:AR,CatBoost,AR,0.0554,9,True,False,False,False,False,"no public XALPHA implementation, exact data snapshot, factor library, run state, predictions, returns, or result arrays"
