candidate_id,series_type,archive,agent,mode,formation_end,formation_month,raw_weight_sum,selected_table_weight_sum,parsed_rows,investable_holding_count,selected_table_index,selected_table_count,corrected_tickers,dropped_labels,dropped_unknown_tickers,source_path,experiment_id
authors__results__altman,authors,results,altman,archived-portfolio,2023-12-31,2023-12-31,90.0,90.0,30,30,0,1,,,,guruagents_source://results/altman_agent/altman_portfolio_2023-10-01_2023-12-31.csv,authors-archived-portfolio
authors__results__altman,authors,results,altman,archived-portfolio,2024-03-31,2024-03-31,100.0,100.0,31,30,0,1,,REMAINING:10,,guruagents_source://results/altman_agent/altman_portfolio_2024-01-01_2024-03-31.csv,authors-archived-portfolio
authors__results__altman,authors,results,altman,archived-portfolio,2024-06-30,2024-06-30,90.0,90.0,30,16,0,1,,,,guruagents_source://results/altman_agent/altman_portfolio_2024-04-01_2024-06-30.csv,authors-archived-portfolio
authors__results__altman,authors,results,altman,archived-portfolio,2024-09-30,2024-09-30,90.0,90.0,30,29,0,1,,,,guruagents_source://results/altman_agent/altman_portfolio_2024-07-01_2024-09-30.csv,authors-archived-portfolio
authors__results__altman,authors,results,altman,archived-portfolio,2024-12-31,2024-12-31,90.0,90.0,30,28,0,1,,,,guruagents_source://results/altman_agent/altman_portfolio_2024-10-01_2024-12-31.csv,authors-archived-portfolio
authors__results__altman,authors,results,altman,archived-portfolio,2025-03-31,2025-03-31,90.0,90.0,30,30,0,1,,,,guruagents_source://results/altman_agent/altman_portfolio_2025-01-01_2025-03-31.csv,authors-archived-portfolio
authors__results__altman,authors,results,altman,archived-portfolio,2025-06-30,2025-06-30,88.0,88.0,22,22,0,1,,,,guruagents_source://results/altman_agent/altman_portfolio_2025-04-01_2025-06-30.csv,authors-archived-portfolio
authors__results__buffett,authors,results,buffett,archived-portfolio,2023-12-31,2023-12-31,131.0,131.0,20,20,0,1,,,,guruagents_source://results/buffett_agent/buffett_portfolio_2023-10-01_2023-12-31.csv,authors-archived-portfolio
authors__results__buffett,authors,results,buffett,archived-portfolio,2024-03-31,2024-03-31,126.0,126.0,15,15,0,1,,,,guruagents_source://results/buffett_agent/buffett_portfolio_2024-01-01_2024-03-31.csv,authors-archived-portfolio
authors__results__buffett,authors,results,buffett,archived-portfolio,2024-06-30,2024-06-30,126.0,126.0,20,20,0,1,,,,guruagents_source://results/buffett_agent/buffett_portfolio_2024-04-01_2024-06-30.csv,authors-archived-portfolio
