factor,component,loading
char__cowc_gr1a,jkp132_pre2022_pc1,0.05224900681928411
char__cowc_gr1a,jkp132_pre2022_pc2,-0.015514043951874197
char__cowc_gr1a,jkp132_pre2022_pc3,0.10912342409520392
char__cowc_gr1a,jkp132_pre2022_pc4,-0.12873954817695266
char__cowc_gr1a,jkp132_pre2022_pc5,0.010515367292348666
char__oaccruals_at,jkp132_pre2022_pc1,0.09615138211273744
char__oaccruals_at,jkp132_pre2022_pc2,-0.023855126227920673
char__oaccruals_at,jkp132_pre2022_pc3,0.004200881225608022
char__oaccruals_at,jkp132_pre2022_pc4,-0.1330292849555932
char__oaccruals_at,jkp132_pre2022_pc5,-0.1157078968234921
char__oaccruals_ni,jkp132_pre2022_pc1,-0.056610416907291905
char__oaccruals_ni,jkp132_pre2022_pc2,-0.09931109865879528
char__oaccruals_ni,jkp132_pre2022_pc3,0.005198744759683072
char__oaccruals_ni,jkp132_pre2022_pc4,-0.033261278722589604
char__oaccruals_ni,jkp132_pre2022_pc5,-0.057297885456380065
char__taccruals_at,jkp132_pre2022_pc1,0.0817157215686658
char__taccruals_at,jkp132_pre2022_pc2,-0.07307212169423383
char__taccruals_at,jkp132_pre2022_pc3,0.014599465609747342
char__taccruals_at,jkp132_pre2022_pc4,-0.039918598568323915
char__taccruals_at,jkp132_pre2022_pc5,-0.25001591473718304
char__taccruals_ni,jkp132_pre2022_pc1,-0.011057397057110658
char__taccruals_ni,jkp132_pre2022_pc2,-0.11835676927738115
char__taccruals_ni,jkp132_pre2022_pc3,0.0727239086394618
char__taccruals_ni,jkp132_pre2022_pc4,0.0932545270422111
char__taccruals_ni,jkp132_pre2022_pc5,-0.23677821995011303
char__debt_gr3,jkp132_pre2022_pc1,-0.11892491984150066
char__debt_gr3,jkp132_pre2022_pc2,0.012821935059158074
char__debt_gr3,jkp132_pre2022_pc3,-0.017687776995855775
char__debt_gr3,jkp132_pre2022_pc4,-0.028959043070950874
char__debt_gr3,jkp132_pre2022_pc5,0.08177796667689205
char__fnl_gr1a,jkp132_pre2022_pc1,-0.04529538063217685
char__fnl_gr1a,jkp132_pre2022_pc2,0.039416227715896826
char__fnl_gr1a,jkp132_pre2022_pc3,-0.047526506521367584
char__fnl_gr1a,jkp132_pre2022_pc4,-0.16415749009313674
char__fnl_gr1a,jkp132_pre2022_pc5,0.26376435953061533
char__ncol_gr1a,jkp132_pre2022_pc1,0.0759410461629069
char__ncol_gr1a,jkp132_pre2022_pc2,-0.05315816422200004
char__ncol_gr1a,jkp132_pre2022_pc3,0.0030980622401606886
char__ncol_gr1a,jkp132_pre2022_pc4,-0.16431235192841384
char__ncol_gr1a,jkp132_pre2022_pc5,0.10152505832100586
char__nfna_gr1a,jkp132_pre2022_pc1,0.020137379129326193
char__nfna_gr1a,jkp132_pre2022_pc2,-0.048955962603142306
char__nfna_gr1a,jkp132_pre2022_pc3,0.05807707768274352
char__nfna_gr1a,jkp132_pre2022_pc4,0.16864748403238422
char__nfna_gr1a,jkp132_pre2022_pc5,-0.29108792465860384
char__noa_at,jkp132_pre2022_pc1,0.016103728086997084
char__noa_at,jkp132_pre2022_pc2,-0.023005792969776617
char__noa_at,jkp132_pre2022_pc3,0.02551762983847992
char__noa_at,jkp132_pre2022_pc4,-0.20986764269983998
char__noa_at,jkp132_pre2022_pc5,0.04839797747921898
char__aliq_at,jkp132_pre2022_pc1,-0.12234702749707416
char__aliq_at,jkp132_pre2022_pc2,0.0030289841640296065
char__aliq_at,jkp132_pre2022_pc3,0.030195550097931467
char__aliq_at,jkp132_pre2022_pc4,-0.05933559873790746
char__aliq_at,jkp132_pre2022_pc5,-0.02998070742364023
char__be_gr1a,jkp132_pre2022_pc1,-0.11299984788200099
char__be_gr1a,jkp132_pre2022_pc2,-0.08182799657069707
char__be_gr1a,jkp132_pre2022_pc3,0.060150787347571955
char__be_gr1a,jkp132_pre2022_pc4,-0.06532188142362055
char__be_gr1a,jkp132_pre2022_pc5,-0.028176457759978346
char__capx_gr1,jkp132_pre2022_pc1,-0.09812598294043338
char__capx_gr1,jkp132_pre2022_pc2,-0.0433378817542722
char__capx_gr1,jkp132_pre2022_pc3,0.06116913829001704
char__capx_gr1,jkp132_pre2022_pc4,-0.1836999704988081
char__capx_gr1,jkp132_pre2022_pc5,0.024282087293647753
char__capx_gr2,jkp132_pre2022_pc1,-0.10732684438566632
char__capx_gr2,jkp132_pre2022_pc2,-0.016733286984545463
char__capx_gr2,jkp132_pre2022_pc3,0.03454826932556436
char__capx_gr2,jkp132_pre2022_pc4,-0.12345610280210323
char__capx_gr2,jkp132_pre2022_pc5,0.10646567732520935
char__capx_gr3,jkp132_pre2022_pc1,-0.11218642184887127
char__capx_gr3,jkp132_pre2022_pc2,-0.0033478220418116196
char__capx_gr3,jkp132_pre2022_pc3,0.010160587341822179
char__capx_gr3,jkp132_pre2022_pc4,-0.10158890162833446
char__capx_gr3,jkp132_pre2022_pc5,0.09460350994557291
char__coa_gr1a,jkp132_pre2022_pc1,-0.09895439069240049
char__coa_gr1a,jkp132_pre2022_pc2,-0.07808445373576993
char__coa_gr1a,jkp132_pre2022_pc3,0.05761353709700338
char__coa_gr1a,jkp132_pre2022_pc4,-0.13213287669192306
char__coa_gr1a,jkp132_pre2022_pc5,-0.051846805567781144
char__col_gr1a,jkp132_pre2022_pc1,-0.11192629069466403
char__col_gr1a,jkp132_pre2022_pc2,-0.06704317219603625
char__col_gr1a,jkp132_pre2022_pc3,0.022769790345620475
char__col_gr1a,jkp132_pre2022_pc4,-0.0867031699246911
char__col_gr1a,jkp132_pre2022_pc5,-0.07066500088393408
char__emp_gr1,jkp132_pre2022_pc1,-0.11606224582848618
char__emp_gr1,jkp132_pre2022_pc2,-0.0395292828597804
char__emp_gr1,jkp132_pre2022_pc3,0.061308602034797655
char__emp_gr1,jkp132_pre2022_pc4,-0.06872856035033723
char__emp_gr1,jkp132_pre2022_pc5,0.048037238205157214
char__inv_gr1,jkp132_pre2022_pc1,-0.11744374002888522
char__inv_gr1,jkp132_pre2022_pc2,-0.03127509019156048
char__inv_gr1,jkp132_pre2022_pc3,0.00016537107498293527
char__inv_gr1,jkp132_pre2022_pc4,-0.08910568900282194
char__inv_gr1,jkp132_pre2022_pc5,0.009186608097321186
char__inv_gr1a,jkp132_pre2022_pc1,-0.05588603434530864
char__inv_gr1a,jkp132_pre2022_pc2,-0.08827896638470611
char__inv_gr1a,jkp132_pre2022_pc3,0.12462769816997867
char__inv_gr1a,jkp132_pre2022_pc4,-0.12177966116463596
char__inv_gr1a,jkp132_pre2022_pc5,-0.036542152037126935
char__lnoa_gr1a,jkp132_pre2022_pc1,-0.10760628326553293
char__lnoa_gr1a,jkp132_pre2022_pc2,-0.04705490491936068
char__lnoa_gr1a,jkp132_pre2022_pc3,0.05509973606778159
char__lnoa_gr1a,jkp132_pre2022_pc4,-0.08402765506948315
char__lnoa_gr1a,jkp132_pre2022_pc5,0.08495731327447387
char__mispricing_mgmt,jkp132_pre2022_pc1,0.11622876314738101
char__mispricing_mgmt,jkp132_pre2022_pc2,0.03305436465056923
char__mispricing_mgmt,jkp132_pre2022_pc3,-0.04991280053317174
char__mispricing_mgmt,jkp132_pre2022_pc4,0.08669486333464092
char__mispricing_mgmt,jkp132_pre2022_pc5,0.034911064926599365
char__ncoa_gr1a,jkp132_pre2022_pc1,-0.09285382089544117
char__ncoa_gr1a,jkp132_pre2022_pc2,-0.06461847574466222
char__ncoa_gr1a,jkp132_pre2022_pc3,0.055738420291947394
char__ncoa_gr1a,jkp132_pre2022_pc4,-0.17453619659821595
char__ncoa_gr1a,jkp132_pre2022_pc5,0.10315785748641232
char__nncoa_gr1a,jkp132_pre2022_pc1,-0.10521556293328299
char__nncoa_gr1a,jkp132_pre2022_pc2,-0.053136025812308196
char__nncoa_gr1a,jkp132_pre2022_pc3,0.041263814903101215
char__nncoa_gr1a,jkp132_pre2022_pc4,-0.13856566628265266
char__nncoa_gr1a,jkp132_pre2022_pc5,0.07713503635341508
char__noa_gr1a,jkp132_pre2022_pc1,-0.09278470776620461
char__noa_gr1a,jkp132_pre2022_pc2,-0.03401735795516803
char__noa_gr1a,jkp132_pre2022_pc3,0.033737190195007635
char__noa_gr1a,jkp132_pre2022_pc4,-0.2163347455072721
char__noa_gr1a,jkp132_pre2022_pc5,0.06092687637364834
char__ppeinv_gr1a,jkp132_pre2022_pc1,-0.09703238745187581
char__ppeinv_gr1a,jkp132_pre2022_pc2,-0.022305105793341592
char__ppeinv_gr1a,jkp132_pre2022_pc3,0.0402011084479583
char__ppeinv_gr1a,jkp132_pre2022_pc4,-0.16611528610539
char__ppeinv_gr1a,jkp132_pre2022_pc5,0.06683897254896141
char__sale_gr1,jkp132_pre2022_pc1,-0.11769650993496503
char__sale_gr1,jkp132_pre2022_pc2,-0.05744455782983996
char__sale_gr1,jkp132_pre2022_pc3,0.028994885535870978
char__sale_gr1,jkp132_pre2022_pc4,-0.08584862850913404
char__sale_gr1,jkp132_pre2022_pc5,-0.01995085480467741
char__sale_gr3,jkp132_pre2022_pc1,-0.12190125518832884
char__sale_gr3,jkp132_pre2022_pc2,-0.02564306773277075
char__sale_gr3,jkp132_pre2022_pc3,0.01858153179494707
char__sale_gr3,jkp132_pre2022_pc4,-0.04373896311027096
char__sale_gr3,jkp132_pre2022_pc5,0.05238050499442368
char__saleq_gr1,jkp132_pre2022_pc1,-0.1140196444464157
char__saleq_gr1,jkp132_pre2022_pc2,-0.07617705554507144
char__saleq_gr1,jkp132_pre2022_pc3,-0.0021892945243760144
char__saleq_gr1,jkp132_pre2022_pc4,-0.08175033814801344
char__saleq_gr1,jkp132_pre2022_pc5,-0.05873516206416351
char__age,jkp132_pre2022_pc1,0.12595053882329474
char__age,jkp132_pre2022_pc2,-0.00971547319538067
char__age,jkp132_pre2022_pc3,-0.003627239600115958
char__age,jkp132_pre2022_pc4,-0.006560337927003906
char__age,jkp132_pre2022_pc5,-0.010131531567993755
char__aliq_mat,jkp132_pre2022_pc1,0.07841499842595219
char__aliq_mat,jkp132_pre2022_pc2,0.0812759677219755
char__aliq_mat,jkp132_pre2022_pc3,-0.09650249517082748
char__aliq_mat,jkp132_pre2022_pc4,-0.0682235759850888
char__aliq_mat,jkp132_pre2022_pc5,-0.16076961301793058
char__at_be,jkp132_pre2022_pc1,0.11264965981316373
char__at_be,jkp132_pre2022_pc2,0.05060816025143899
char__at_be,jkp132_pre2022_pc3,-0.057513879911139695
char__at_be,jkp132_pre2022_pc4,-0.06908940645923546
char__at_be,jkp132_pre2022_pc5,-0.04558278219906681
char__bidaskhl_21d,jkp132_pre2022_pc1,-0.11534523059566837
char__bidaskhl_21d,jkp132_pre2022_pc2,0.08476841470302392
char__bidaskhl_21d,jkp132_pre2022_pc3,0.04640654686702716
char__bidaskhl_21d,jkp132_pre2022_pc4,0.048065457344860736
char__bidaskhl_21d,jkp132_pre2022_pc5,-0.05875998637244016
char__cash_at,jkp132_pre2022_pc1,-0.1222476367422229
char__cash_at,jkp132_pre2022_pc2,0.00248466601244526
char__cash_at,jkp132_pre2022_pc3,0.015409316007271374
char__cash_at,jkp132_pre2022_pc4,0.05628134946468583
char__cash_at,jkp132_pre2022_pc5,0.0026095957996191852
char__netdebt_me,jkp132_pre2022_pc1,0.11832561142150379
char__netdebt_me,jkp132_pre2022_pc2,0.05519602376901635
char__netdebt_me,jkp132_pre2022_pc3,-0.017521612163848708
char__netdebt_me,jkp132_pre2022_pc4,-0.05425512715995249
char__netdebt_me,jkp132_pre2022_pc5,-0.02085392444419967
char__tangibility,jkp132_pre2022_pc1,-0.10674027240594397
char__tangibility,jkp132_pre2022_pc2,-0.0014962938313673815
char__tangibility,jkp132_pre2022_pc3,-0.013034826452179933
char__tangibility,jkp132_pre2022_pc4,0.06634569731399151
char__tangibility,jkp132_pre2022_pc5,-0.06125112218840418
char__z_score,jkp132_pre2022_pc1,-0.11305557102534802
char__z_score,jkp132_pre2022_pc2,-0.07124196814342748
char__z_score,jkp132_pre2022_pc3,0.005500193340204788
