realization_month,Mkt-RF,SMB,HML,RMW,CMA,Mom,RF
2022-04-30,-0.0941,-0.0135,0.0617999999999999,0.0341,0.0592,0.0499,0.0
2022-05-31,-0.0034,-0.0184,0.0843999999999999,0.0155,0.0395,0.0252,0.0003
2022-06-30,-0.084,0.0207,-0.06,0.0176,-0.0458,0.0107,0.0006
2022-07-31,0.0957,0.0283999999999999,-0.0415,0.0077,-0.0684999999999999,-0.0438,0.0008
2022-08-31,-0.0377,0.0141,0.0018,-0.0474,0.0132,0.0189,0.0019
2022-09-30,-0.0934,-0.0076,0.0003,-0.0133,-0.0077,0.0371,0.0019
2022-10-31,0.0785,0.0001,0.0797,0.0327,0.0643,0.0392,0.0023
2022-11-30,0.0465,-0.0356999999999999,0.0148,0.0629,0.0315,-0.0171,0.0029
2022-12-31,-0.0638,-0.0076,0.0134,0.0034,0.0428,0.0494,0.0033
2023-01-31,0.0661,0.0501,-0.0394,-0.0243999999999999,-0.0443,-0.1621,0.0034999999999999
2023-02-28,-0.0256999999999999,0.0105,-0.008,0.0098999999999999,-0.0151,0.0054,0.0034
2023-03-31,0.0248,-0.0548,-0.0905,0.0227,-0.021,-0.0237,0.0036
2023-04-30,0.0062,-0.0337,-0.0012,0.0241,0.0285,0.0175,0.0034999999999999
2023-05-31,0.0034,0.016,-0.0779,-0.0178,-0.0708,-0.009,0.0036
2023-06-30,0.0646,0.0149,-0.0013,0.0231,-0.0154,-0.027,0.004
2023-07-31,0.0321,0.0204999999999999,0.0406,-0.0059,0.0066,-0.0395999999999999,0.0045
2023-08-31,-0.0236,-0.0313,-0.0115,0.0333,-0.0237,0.0391,0.0045
2023-09-30,-0.0523,-0.025,0.015,0.0185,-0.0075,0.0027,0.0043
2023-10-31,-0.0315,-0.0387,0.002,0.0241,-0.0072,0.0169,0.0046999999999999
2023-11-30,0.0888,-0.001,0.0167,-0.0373,-0.0108,0.0253,0.0044
2023-12-31,0.0484999999999999,0.0628,0.0489,-0.0294,0.0126,-0.0548,0.0043
2024-01-31,0.0073,-0.0504999999999999,-0.0237999999999999,0.0064,-0.0095,0.0545,0.0046999999999999
2024-02-29,0.0507,-0.0026,-0.0343,-0.0203,-0.0220999999999999,0.0501,0.0042
2024-03-31,0.0283999999999999,-0.025,0.0416,0.0132,0.0113999999999999,-0.0032,0.0043
2024-04-30,-0.0465,-0.0237999999999999,-0.0045,0.0115,-0.0034,-0.0045,0.0046999999999999
2024-05-31,0.0433,0.0053,-0.0131,0.0321,-0.0289999999999999,0.0144999999999999,0.0044
2024-06-30,0.0279999999999999,-0.03,-0.0336,0.0056,-0.0179,0.0086,0.0040999999999999
2024-07-31,0.0121999999999999,0.0681,0.0557,0.0026,0.0027,-0.0236,0.0045
2024-08-31,0.016,-0.0349,-0.0113,0.0075,0.0079,0.0487,0.0048
2024-09-30,0.0172,-0.0013,-0.0273,0.0019,-0.0025,-0.0056,0.004
2024-10-31,-0.01,-0.0095,0.0091,-0.0149,0.0102,0.0292,0.0039
2024-11-30,0.0649,0.0449,0.0038,-0.0227,-0.0192999999999999,0.0093999999999999,0.004
2024-12-31,-0.0317,-0.027,-0.0297,0.0187999999999999,-0.012,-0.0034,0.0037
2025-01-31,0.0279999999999999,-0.02,0.0176,-0.0235,-0.0322,0.0098999999999999,0.0037
2025-02-28,-0.0243999999999999,-0.0576999999999999,0.0484,0.0107,0.0308999999999999,-0.0085,0.0033
2025-03-31,-0.0639,-0.0272,0.0287,0.0209,-0.0046,-0.0259,0.0034
