formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure,net_return
1999-07-31,1999-08-31,ok,0.062385397499224345,0.06238539749922434,1.9999999999999996,1000,929,0.0,0.0,92,92,0.19836846035801947,0.13628522463992024,1.9999999999999996,0.06038539749922434
1999-08-31,1999-09-30,ok,-0.051702653247033915,-0.05170265324703391,2.1242777012096274,1000,919,0.0,0.0,91,91,0.2068160835472864,0.1513796422368009,2.0,-0.05382693094824354
1999-09-30,1999-10-31,ok,0.022944783711453372,0.022991492461251786,2.3235235377996744,1000,902,0.008160380895033318,0.008160380895033318,90,90,0.21010442960550213,0.15924732500190403,2.0,0.020621260173653698
1999-10-31,1999-11-30,ok,-0.03977794258776287,-0.03977794258776287,2.467573569577978,1000,885,0.0,0.0,88,88,0.2023892148759797,0.17009612562900647,2.0,-0.042245516157340846
1999-11-30,1999-12-31,ok,0.027297768305744687,0.027315662643575017,1.9147800358134321,1000,873,0.003206807053364716,0.003206807053364716,87,87,0.21614112982403494,0.15210693902247258,1.9999999999999996,0.025382988269931253
1999-12-31,2000-01-31,ok,0.03647445678891874,0.03648277696470801,2.125830891597553,1000,843,0.0022296315144983755,0.0022296315144983755,84,84,0.25203370162822547,0.1542763089884085,1.9999999999999996,0.03434862589732118
2000-01-31,2000-02-29,ok,0.06603676901784547,0.06604284102206638,1.8682272718691268,1000,848,0.001931888138665113,0.001931888138665113,84,84,0.24840406750716035,0.17761462623676538,2.0,0.06416854174597635
2000-02-29,2000-03-31,ok,-0.015766920756699953,-0.015811383741221458,2.809510031603283,1000,822,0.005079162042666825,0.005079162042666825,82,82,0.1459697227701797,0.10098927901001402,2.0,-0.018576430788303237
2000-03-31,2000-04-30,ok,-0.10893016823414131,-0.10891477465092533,2.6284538954737586,1000,861,0.003260397726833362,0.003260397726833362,86,86,0.35071983595287776,0.20926162975231655,2.0,-0.11155862212961506
2000-04-30,2000-05-31,ok,-0.042612086955159466,-0.042617234582108476,2.724965321788237,1000,906,0.0021618043243267827,0.0021618043243267827,90,90,0.21002260166020836,0.1254484543702663,2.0,-0.045337052276947704
