case,month,net_return,factor_replication_return,residual,selected_lambda
zero_cost_0,2009-08-31,0.016967251373050347,0.06139215783048668,-0.04442490645743634,100.0
zero_cost_0,2009-09-30,0.030192026989284547,0.0062296735996348615,0.023962353389649686,100.0
zero_cost_0,2009-10-31,0.006873902156457544,-0.01680334814476018,0.02367725030121772,100.0
zero_cost_0,2009-11-30,0.004213144237493348,0.019482909161446883,-0.015269764923953535,100.0
zero_cost_0,2009-12-31,0.012390853442524614,-0.004493306770305642,0.016884160212830256,100.0
zero_cost_0,2010-01-31,0.055568547577684445,0.031168243818682276,0.02440030375900217,100.0
zero_cost_0,2010-02-28,0.0065726077940985485,-0.011941928621098084,0.018514536415196632,100.0
zero_cost_0,2010-03-31,0.029290146594538987,0.01785372923620773,0.011436417358331258,100.0
zero_cost_0,2010-04-30,-0.009274406774671132,-0.007532482678790839,-0.001741924095880293,100.0
zero_cost_0,2010-05-31,0.02381219925608478,-0.025551608641686017,0.0493638078977708,100.0
zero_cost_0,2010-06-30,0.010942777556028958,-0.0014569572198332766,0.012399734775862235,100.0
zero_cost_0,2010-07-31,0.009005825313053745,0.014375851019403757,-0.005370025706350012,100.0
zero_cost_0,2010-08-31,-0.00210695692547753,-0.021520491633828243,0.019413534708350715,10.0
zero_cost_0,2010-09-30,-0.011505944847249025,0.02430213351347223,-0.03580807836072125,100.0
zero_cost_0,2010-10-31,-0.020361950009043332,-0.010257431771727612,-0.01010451823731572,10.0
zero_cost_0,2010-11-30,0.0164746111975116,-0.010615573219476022,0.02709018441698762,100.0
zero_cost_0,2010-12-31,0.00802444886945326,-0.00238504594303108,0.010409494812484339,10.0
zero_cost_0,2011-01-31,0.00532060810531208,-0.0005958824251891829,0.0059164905305012635,10.0
zero_cost_0,2011-02-28,-0.004788429184509824,0.0023958844582208615,-0.007184313642730686,100.0
zero_cost_0,2011-03-31,0.023547464139378048,-0.02286313303639642,0.04641059717577447,10.0
zero_cost_0,2011-04-30,-0.005033619601761493,-0.011397887249275587,0.006364267647514094,10.0
