candidate_id,operator
identity__ret_12_1,identity
identity__ret_6_1,identity
identity__ret_1_0,identity
identity__prc_highprc_252d,identity
identity__turnover_126d,identity
identity__rvol_21d,identity
mean__ret_12_1__ret_6_1,mean
difference__ret_12_1__ret_6_1,difference
product__ret_12_1__ret_6_1,product
mean__ret_12_1__ret_1_0,mean
difference__ret_12_1__ret_1_0,difference
product__ret_12_1__ret_1_0,product
mean__ret_12_1__prc_highprc_252d,mean
difference__ret_12_1__prc_highprc_252d,difference
product__ret_12_1__prc_highprc_252d,product
mean__ret_12_1__turnover_126d,mean
difference__ret_12_1__turnover_126d,difference
product__ret_12_1__turnover_126d,product
mean__ret_12_1__rvol_21d,mean
difference__ret_12_1__rvol_21d,difference
product__ret_12_1__rvol_21d,product
mean__ret_6_1__ret_1_0,mean
difference__ret_6_1__ret_1_0,difference
product__ret_6_1__ret_1_0,product
mean__ret_6_1__prc_highprc_252d,mean
difference__ret_6_1__prc_highprc_252d,difference
product__ret_6_1__prc_highprc_252d,product
mean__ret_6_1__turnover_126d,mean
difference__ret_6_1__turnover_126d,difference
product__ret_6_1__turnover_126d,product
mean__ret_6_1__rvol_21d,mean
difference__ret_6_1__rvol_21d,difference
product__ret_6_1__rvol_21d,product
mean__ret_1_0__prc_highprc_252d,mean
difference__ret_1_0__prc_highprc_252d,difference
product__ret_1_0__prc_highprc_252d,product
mean__ret_1_0__turnover_126d,mean
difference__ret_1_0__turnover_126d,difference
product__ret_1_0__turnover_126d,product
mean__ret_1_0__rvol_21d,mean
difference__ret_1_0__rvol_21d,difference
product__ret_1_0__rvol_21d,product
mean__prc_highprc_252d__turnover_126d,mean
difference__prc_highprc_252d__turnover_126d,difference
product__prc_highprc_252d__turnover_126d,product
mean__prc_highprc_252d__rvol_21d,mean
difference__prc_highprc_252d__rvol_21d,difference
product__prc_highprc_252d__rvol_21d,product
mean__turnover_126d__rvol_21d,mean
difference__turnover_126d__rvol_21d,difference
product__turnover_126d__rvol_21d,product
