formation_month,trailing_three_month_market_return,risk_character,finite_scores,shallow_memory_coverage,shallow_mean_retrieved,intermediate_memory_coverage,intermediate_mean_retrieved,deep_memory_coverage,deep_mean_retrieved
1999-07-31,0.02025437807223862,risk_seeking,956,956,4.67,926,4.526,806,3.912
1999-08-31,0.044138445833196815,risk_seeking,946,945,4.63,918,4.491,797,3.897
1999-09-30,-0.031139214492810985,risk_averse,949,945,4.586,908,4.44,791,3.868
1999-10-31,0.08099322277941234,risk_seeking,939,932,4.503,882,4.333,778,3.807
1999-11-30,0.13268364723952053,risk_seeking,931,926,4.418,859,4.212,763,3.695
1999-12-31,0.2938188506423556,risk_seeking,918,914,4.338,840,4.089,760,3.654
2000-01-31,0.16246641620606628,risk_seeking,931,930,4.367,838,4.056,750,3.619
2000-02-29,0.19645744441716495,risk_seeking,904,903,4.175,804,3.812,733,3.457
2000-03-31,0.16182276309381893,risk_seeking,952,951,4.421,851,4.043,754,3.596
2000-04-30,0.15379368603156807,risk_seeking,965,964,4.597,880,4.235,776,3.749
2000-05-31,0.046282211487915115,risk_seeking,965,965,4.665,891,4.315,802,3.844
2000-06-30,0.0327752843730722,risk_seeking,946,946,4.536,867,4.155,775,3.707
2000-07-31,0.059161617226204166,risk_seeking,960,960,4.634,886,4.248,776,3.755
2000-08-31,0.17955370905114898,risk_seeking,960,959,4.635,888,4.261,774,3.742
2000-09-30,0.06877246783320268,risk_seeking,957,955,4.603,895,4.288,772,3.738
2000-10-31,0.07583152285823225,risk_seeking,967,966,4.663,914,4.393,783,3.804
2000-11-30,-0.08551337205598142,risk_averse,968,967,4.71,929,4.504,800,3.887
2000-12-31,-0.03183698834335735,risk_averse,969,968,4.704,938,4.528,793,3.857
2001-01-31,0.027322925739009074,risk_seeking,988,986,4.8,946,4.607,804,3.93
2001-02-28,0.027171920333948663,risk_seeking,974,972,4.786,945,4.636,800,3.927
2001-03-31,-0.062104429731319355,risk_averse,976,974,4.748,949,4.622,802,3.907
2001-04-30,-0.03348112040030471,risk_averse,986,986,4.8,959,4.668,820,3.98
2001-05-31,0.05212767104016969,risk_seeking,979,978,4.8,953,4.653,836,3.994
2001-06-30,0.09991766830967008,risk_seeking,975,974,4.747,948,4.613,827,3.972
2001-07-31,-0.0010654033530543838,risk_averse,985,984,4.786,966,4.682,834,4.016
2001-08-31,-0.06736131360754483,risk_averse,975,973,4.76,960,4.681,831,4.03
2001-09-30,-0.11882670371102855,risk_averse,971,968,4.721,950,4.647,823,4.011
2001-10-31,-0.08114509337344589,risk_averse,986,983,4.788,959,4.686,835,4.077
2001-11-30,0.054666654293213046,risk_seeking,987,985,4.836,967,4.738,843,4.127
2001-12-31,0.1503394740238364,risk_seeking,984,983,4.833,962,4.734,838,4.128
2002-01-31,0.10352762094508927,risk_seeking,981,980,4.833,961,4.731,835,4.12
2002-02-28,0.0063411074211814356,risk_seeking,986,984,4.838,966,4.753,844,4.134
2002-03-31,0.034176540929969024,risk_seeking,990,989,4.87,969,4.783,845,4.154
2002-04-30,-0.0072099077783654986,risk_averse,989,988,4.842,969,4.75,835,4.096
2002-05-31,-0.0013088825788052372,risk_averse,988,986,4.848,967,4.756,847,4.127
2002-06-30,-0.10394488326272078,risk_averse,980,978,4.787,958,4.696,835,4.072
2002-07-31,-0.12161375266260455,risk_averse,988,986,4.809,970,4.717,845,4.099
2002-08-31,-0.10724720173634239,risk_averse,989,987,4.833,970,4.738,841,4.114
2002-09-30,-0.13922517559859182,risk_averse,979,978,4.779,967,4.7,832,4.071
2002-10-31,0.009004252277138969,risk_seeking,987,986,4.826,973,4.757,838,4.118
2002-11-30,0.06506272149815406,risk_seeking,993,991,4.882,977,4.814,848,4.181
2002-12-31,0.1170950248547209,risk_seeking,993,989,4.868,976,4.803,847,4.171
2003-01-31,-0.0036909711178028104,risk_averse,991,989,4.864,978,4.8,836,4.129
2003-02-28,-0.07940889639673276,risk_averse,988,986,4.876,975,4.817,831,4.121
2003-03-31,-0.01534739107837979,risk_averse,995,995,4.911,983,4.855,837,4.142
2003-04-30,0.09168285186191305,risk_seeking,994,994,4.912,983,4.858,837,4.142
2003-05-31,0.17578691617156128,risk_seeking,992,992,4.919,981,4.866,840,4.147
