missing_return_policy,formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure,net_return
zero,1999-07-31,1999-08-31,ok,0.0430310678546371,0.0430310678546371,2.0,1000,893,0.0,0.0,89,89,0.1984935454130038,0.09784674715340264,2.0,0.0410310678546371
zero,1999-08-31,1999-09-30,ok,0.032976221506796195,0.03262062317322287,3.2253565960554647,1000,886,0.0,0.0017304116091490876,88,88,0.10334665446172406,0.07469737980600248,2.0,0.02975086491074073
zero,1999-09-30,1999-10-31,ok,0.00442762961667309,0.004387893752892131,3.1329011598846987,1000,880,0.005548151882289872,0.005548151882289872,88,88,0.21366789059473718,0.12995984584620118,1.9999999999999998,0.0012947284567883912
zero,1999-10-31,1999-11-30,ok,0.08220902952165698,0.08221806251324408,2.98660940388334,1000,855,0.0011851209114532918,0.0011851209114532918,85,85,0.19684434751176746,0.15087348393356495,2.0,0.07922242011777364
zero,1999-11-30,1999-12-31,ok,0.09692422429245565,0.09692422429245563,3.0447142824805375,1000,872,0.0,0.0,87,87,0.1584289945267545,0.12765960556447586,1.9999999999999996,0.0938795100099751
zero,1999-12-31,2000-01-31,ok,0.013237996027393437,0.01323799602739344,2.616379665420671,1000,825,0.0,0.0,82,82,0.17682893304486474,0.12284724884985614,2.0,0.010621616361972766
zero,2000-01-31,2000-02-29,ok,0.1914806606108568,0.1914806606108568,3.1642768724623203,1000,822,0.0,0.0,82,82,0.17708335829276145,0.14030228735793193,2.0000000000000004,0.1883163837383945
zero,2000-02-29,2000-03-31,ok,-0.18675749950256798,-0.18674613100348578,2.912510692008743,1000,843,0.0012986633632913525,0.0012986633632913525,84,84,0.12283935453691777,0.09197840807002669,1.9999999999999996,-0.18967001019457672
zero,2000-03-31,2000-04-30,ok,-0.06445810666503378,-0.06434883854484252,2.8133986506808233,1000,865,0.011889893383163899,0.011889893383163899,86,86,0.13824331333936515,0.10402894223264927,1.9999999999999998,-0.0672715053157146
zero,2000-04-30,2000-05-31,ok,-0.1236772258437229,-0.12367722584372286,3.0633098746916128,1000,851,0.0,0.0,85,85,0.27979028355343427,0.17519869871136,2.0,-0.1267405357184145
zero,2000-05-31,2000-06-30,ok,0.1363542202447076,0.13637843548823408,3.2053964237806882,1000,862,0.0032338733341882473,0.0032338733341882473,86,86,0.2349071351238288,0.10969899882421527,2.0,0.13314882382092694
zero,2000-06-30,2000-07-31,ok,-0.021748645402411785,-0.021604871356326737,3.264713313650193,1000,831,0.015064338441434429,0.015064338441434429,83,83,0.13211898595650204,0.09387777730914179,1.9999999999999996,-0.025013358716061976
zero,2000-07-31,2000-08-31,ok,0.13424426897925923,0.13424426897925923,3.3071688220983124,1000,843,0.0,0.0,84,84,0.17864803983476757,0.0965381199733822,2.0,0.13093710015716092
zero,2000-08-31,2000-09-30,ok,-0.0775268210050083,-0.07750342502408253,3.3092838638418316,1000,837,0.002296876195341444,0.002296876195341444,83,83,0.3123710342527556,0.20441714810646694,2.0,-0.08083610486885012
zero,2000-09-30,2000-10-31,ok,-0.12402856768418202,-0.12402856768418202,3.2183270338311925,1000,846,0.0,0.0,84,84,0.216568171196803,0.15793611010178946,2.0,-0.1272468947180132
zero,2000-10-31,2000-11-30,ok,-0.24365410890376987,-0.2436541089037699,2.800243789041268,1000,862,0.0,0.0,86,86,0.18251674245992972,0.1286286488032899,1.9999999999999998,-0.24645435269281113
zero,2000-11-30,2000-12-31,ok,-0.008607022974239993,-0.00860702297423999,2.9237411550705885,1000,886,0.0,0.0,88,88,0.2308553111141834,0.14004950517711073,2.0,-0.011530764129310582
zero,2000-12-31,2001-01-31,ok,-0.040028956897074947,-0.04013861238097367,3.642627710544657,1000,893,0.010457322515613493,0.010457322515613493,89,89,0.1207764260610274,0.08809465561389626,2.0,-0.04367158460761961
zero,2001-01-31,2001-02-28,ok,0.1383611108731399,0.1383611108731399,3.88054002949786,1000,885,0.0,0.0,88,88,0.20214442849293304,0.11203603921823228,2.0,0.13448057084364204
zero,2001-02-28,2001-03-31,ok,-0.0042847173282489865,-0.004396281135294912,3.5436659259124856,1000,906,0.012912477667350285,0.012912477667350285,90,90,0.3484187572284122,0.2048316859656005,2.0000000000000004,-0.007828383254161473
zero,2001-03-31,2001-04-30,ok,0.013590827112087978,0.013590827112087972,3.429633465505195,1000,916,0.0,0.0,91,91,0.2199336174303004,0.15854598327314245,2.0,0.010161193646582783
zero,2001-04-30,2001-05-31,ok,0.1229209677429062,0.12292096774290621,3.466805042406751,1000,919,0.0,0.0,91,91,0.12311828202481331,0.07889052619466441,2.0,0.11945416270049945
zero,2001-05-31,2001-06-30,ok,0.002483446311323583,0.0024700989102084485,3.32524698432989,1000,918,0.0024023400135219524,0.0024023400135219524,91,91,0.14551159778782258,0.08577206603653481,2.0,-0.0008418006730063071
zero,2001-06-30,2001-07-31,ok,0.02336154235154823,0.02335514383940975,3.4795656455500947,1000,913,0.0010667742811736492,0.0010667742811736492,91,91,0.17153318995571143,0.10997053339016435,2.0,0.019881976705998138
zero,2001-07-31,2001-08-31,ok,0.03735067679174479,0.03735067679174479,3.3776450402647242,1000,931,0.0,0.0,93,93,0.14029440518316072,0.10216887693869378,2.0,0.03397303175148006
zero,2001-08-31,2001-09-30,ok,0.10116968072574438,0.1011696807257444,3.5161923234158214,1000,932,0.0,0.0,93,93,0.23630524089881205,0.13247913126534425,2.0,0.09765348840232856
zero,2001-09-30,2001-10-31,ok,-0.020443733227594095,-0.02044373322759408,2.885803372980236,1000,946,0.0,0.0,94,94,0.1453500486389317,0.07867167697127331,1.9999999999999996,-0.02332953660057433
zero,2001-10-31,2001-11-30,ok,-0.13487135424049898,-0.13487135424049895,3.169867866522909,1000,940,0.0,0.0,94,94,0.19636003618193765,0.10596254429270419,2.0,-0.13804122210702188
zero,2001-11-30,2001-12-31,ok,0.045072985935679495,0.04507298593567949,3.9699131207940743,1000,940,0.0,0.0,94,94,0.22828985204724034,0.12759089064455895,1.9999999999999998,0.04110307281488542
zero,2001-12-31,2002-01-31,ok,0.03451609894332255,0.03450574076485666,3.2407545916047975,1000,938,0.0037259634769436917,0.0037259634769436917,93,93,0.4117369215514615,0.2813288367041937,2.0,0.03127534435171775
zero,2002-01-31,2002-02-28,ok,0.08501799956683545,0.08501799956683545,3.342729772052381,1000,945,0.0,0.0,94,94,0.2775416380554503,0.1247270575846514,2.0,0.08167526979478307
zero,2002-02-28,2002-03-31,ok,0.02687887384159217,0.02687887384159216,3.203689566274341,1000,956,0.0,0.0,95,95,0.29982226226622966,0.19030752235751514,2.0,0.023675184275317826
zero,2002-03-31,2002-04-30,ok,0.058215787364860584,0.05821578736486057,3.377211965318132,1000,957,0.0,0.0,95,95,0.1508165683876783,0.07359403047255647,2.0000000000000004,0.054838575399542455
zero,2002-04-30,2002-05-31,ok,0.0018065941286146345,0.0016779049354247093,3.3591740084583757,1000,956,0.0,0.005262931179041591,95,95,0.18444898814321628,0.1191185866856424,2.0,-0.0015525798798437414
zero,2002-05-31,2002-06-30,ok,0.04278330979569668,0.04278330979569667,3.1929994526933396,1000,960,0.0,0.0,96,96,0.22848843888258147,0.1386806668315244,1.9999999999999998,0.03959031034300334
zero,2002-06-30,2002-07-31,ok,0.010401183189732592,0.010401183189732585,3.1399140679928204,1000,960,0.0,0.0,96,96,0.17417099546370007,0.17001754510705966,2.0,0.007261269121739772
zero,2002-07-31,2002-08-31,ok,0.041235911596782276,0.04123591159678227,2.819071416240454,1000,961,0.0,0.0,96,96,0.25177677915435287,0.14312305719420543,2.0,0.038416840180541825
zero,2002-08-31,2002-09-30,ok,0.09240630025114983,0.09240630025114983,3.0526148810450224,1000,958,0.0,0.0,95,95,0.18020314704648566,0.12472686307750554,2.0,0.08935368537010481
zero,2002-09-30,2002-10-31,ok,-0.008881063548117053,-0.00888106354811705,3.010566609909895,1000,964,0.0,0.0,96,96,0.15308919422650777,0.09232415235511054,1.9999999999999996,-0.011891630158026948
zero,2002-10-31,2002-11-30,ok,-0.07012331894339699,-0.07012590868190739,3.5247347056773286,1000,961,0.0011105225173234706,0.0011105225173234706,96,96,0.12462743828879527,0.08643582473114489,2.0000000000000004,-0.07364805364907431
zero,2002-11-30,2002-12-31,ok,0.07488263044927354,0.07488263044927355,2.829256583906954,1000,962,0.0,0.0,96,96,0.15583203572511478,0.10835518825949109,2.0,0.07205337386536659
zero,2002-12-31,2003-01-31,ok,0.032241781387930615,0.032241781387930636,3.272040141712937,1000,959,0.0,0.0,95,95,0.12412705499948101,0.10148446136483903,2.0000000000000004,0.02896974124621768
zero,2003-01-31,2003-02-28,ok,0.006460175999513038,0.006460175999513035,3.330727032347821,1000,956,0.0,0.0,95,95,0.16924650235919325,0.10433508663120594,2.0,0.003129448967165217
zero,2003-02-28,2003-03-31,ok,0.017366909194646153,0.017366909194646143,3.659275175775461,1000,958,0.0,0.0,95,95,0.23196579861428493,0.1278526784910546,2.0,0.013707634018870693
zero,2003-03-31,2003-04-30,ok,-0.01302829761147217,-0.013028297611472173,3.3605237215363584,1000,960,0.0,0.0,96,96,0.14946696238391144,0.10472104520687009,2.0,-0.01638882133300853
zero,2003-04-30,2003-05-31,ok,-0.011013196586875478,-0.011013196586875478,3.8232756017988176,1000,963,0.0,0.0,96,96,0.22748051159482155,0.15789378372014706,2.0,-0.014836472188674297
zero,2003-05-31,2003-06-30,ok,-0.021777926470385116,-0.021777926470385116,3.748665612556257,1000,966,0.0,0.0,96,96,0.292259306031318,0.21141894167211112,2.0,-0.025526592082941373
zero,2003-06-30,2003-07-31,ok,0.004006464444888945,0.0040064644448889394,2.8690280704498017,1000,965,0.0,0.0,96,96,0.3414102687466515,0.259766030382004,2.0,0.0011374363744391428
