formation_month,procedural_start,procedural_end,procedural_months,cvar_coverage,cvar_alerts,finite_scores,analyst_rankic__market,belief_weight__market,analyst_rankic__fundamental,belief_weight__fundamental,analyst_rankic__attention,belief_weight__attention,analyst_rankic__risk,belief_weight__risk
1999-07-31,1994-07-31,1999-06-30,60,756,0,652,0.020227352492289026,0.2509076000069108,0.007937856401375428,0.2501331212786895,-0.030807046547028243,0.24775281716154382,0.02492961899156716,0.25120646155285586
1999-08-31,1994-08-31,1999-07-31,60,755,97,647,0.023542534409839767,0.25179575835205287,0.005834281530873305,0.250098303425443,-0.030690309692518528,0.24607152950472044,0.023770507996970676,0.2520344087177837
1999-09-30,1994-09-30,1999-08-31,60,740,111,635,0.024960248022299274,0.2525569563242871,0.004135632709674767,0.24997084504274192,-0.030682319229979757,0.24481561129512963,0.023713880836651584,0.2526565873378413
1999-10-31,1994-10-31,1999-09-30,60,720,48,615,0.02683093343937166,0.25331984724095946,-0.0017104519665643498,0.24958219027291534,-0.030269864186572622,0.24396719749047807,0.022694114533598715,0.2531307649956471
1999-11-30,1994-11-30,1999-10-31,60,701,75,597,0.03084053268650988,0.2540382375746765,-0.004720709430870108,0.24899737791257115,-0.023704016736198315,0.24362382824616657,0.022123745702038188,0.2533405562665858
1999-12-31,1994-12-31,1999-11-30,60,681,57,581,0.03334171871675184,0.2546583957784055,-0.007509461882429974,0.2483107655269521,-0.01721099305928248,0.24368623829938277,0.02093799463030381,0.25334460039525963
2000-01-31,1995-01-31,1999-12-31,60,669,150,572,0.03678656677074175,0.2551961850426035,-0.007151454745785292,0.24767561161813065,-0.012821424735964768,0.24385982463440808,0.021998243425693367,0.2532683787048578
2000-02-29,1995-02-28,2000-01-31,60,616,172,534,0.04371477278001021,0.2558461263023724,-0.010327523799466633,0.2468151661034641,-0.003486722175209503,0.24437244658656387,0.021213181016956604,0.25296626100759967
2000-03-31,1995-03-31,2000-02-29,60,654,20,561,0.039731158733557786,0.256250042464638,-0.007315221666660783,0.24651878893804724,-0.013952364355955406,0.2442805290910493,0.021868914716501913,0.2529506395062655
2000-04-30,1995-04-30,2000-03-31,60,683,61,586,0.03637594572619114,0.2563572010856477,-0.0020782485133254646,0.2466380103176043,-0.018087022006200715,0.24397866145798683,0.022938297602811488,0.25302612713876127
2000-05-31,1995-05-31,2000-04-30,60,693,45,596,0.03262652939780961,0.2562313703230504,0.0013012466809167386,0.2469693611630217,-0.021299533620023268,0.24358952157339517,0.02441136469478018,0.25320974694053283
2000-06-30,1995-06-30,2000-05-31,60,662,90,566,0.03635211853706437,0.25636789701110296,-0.0022475739621812775,0.24699072056397836,-0.01897481979448339,0.24343129707041739,0.022365787187945164,0.2532100853545014
2000-07-31,1995-07-31,2000-06-30,60,672,40,575,0.03603389678889861,0.2565908884158562,-0.0008199835375987966,0.24723089495628606,-0.029731418624201943,0.24279482855640724,0.022900655102106406,0.2533833880714506
2000-08-31,1995-08-31,2000-07-31,60,668,10,571,0.036500349043977386,0.2566715213665802,-0.0001527787248682096,0.2473399776924561,-0.024063723528151504,0.2425499982651072,0.023534597207769067,0.25343850267585655
2000-09-30,1995-09-30,2000-08-31,60,672,63,574,0.03879437962946735,0.2568443009236642,0.0019157306440010413,0.2475160663976358,-0.026349487774271527,0.24219536429890468,0.02352043643968851,0.25344426837979517
2000-10-31,1995-10-31,2000-09-30,60,688,45,585,0.036449543624878546,0.2568820757908653,0.005430098827748367,0.24792352940683937,-0.030043559367001323,0.24176220426430958,0.022344668992862454,0.2534321905379858
2000-11-30,1995-11-30,2000-10-31,60,717,111,612,0.04082767903922721,0.25711737198116874,0.011375551721679124,0.2485277842628504,-0.037089480820748845,0.2409459283634907,0.02328223334688711,0.2534089153924902
2000-12-31,1995-12-31,2000-11-30,60,715,24,607,0.04109750401193487,0.2572569317661362,0.012216326649767047,0.24898085705598938,-0.03426952282768212,0.24045173267647071,0.022845470238497114,0.25331047850140376
2001-01-31,1996-01-31,2000-12-31,60,724,76,619,0.03179676942317273,0.2568436990498648,0.013412973551498437,0.24947263232323308,-0.031086006714450064,0.24034526040791432,0.023224256267429418,0.25333840821898784
2001-02-28,1996-02-29,2001-01-31,60,741,67,631,0.04190412865721996,0.25713610771755746,0.016951303025835366,0.2500181825401898,-0.041719092713292744,0.23958767577101536,0.02234919327529409,0.2532580339712374
2001-03-31,1996-03-31,2001-02-28,60,744,58,632,0.04775688258463081,0.2576194279287584,0.019306265640376425,0.2504642787951418,-0.04495502864085199,0.23872334675120488,0.024041282529334206,0.253192946524895
