case,month,net_return,factor_replication_return,residual,selected_lambda
zero_cost_0,2009-08-31,0.018556415345882482,0.005288503675773422,0.013267911670109059,10.0
zero_cost_0,2009-09-30,-0.05918008422279256,-0.0579684535050301,-0.0012116307177624658,10.0
zero_cost_0,2009-10-31,-0.05440461586045,-0.04113378126504724,-0.013270834595402757,10.0
zero_cost_0,2009-11-30,-0.00638831868945844,-0.01648447715712263,0.010096158467664193,10.0
zero_cost_0,2009-12-31,-0.015913430163939087,0.032768868856322644,-0.048682299020261735,10.0
zero_cost_0,2010-01-31,-0.07292086702166771,-0.0368456661660155,-0.03607520085565221,10.0
zero_cost_0,2010-02-28,0.011427903870175603,0.058363129522417484,-0.04693522565224188,1.0
zero_cost_0,2010-03-31,0.020189141897659545,0.022690286941321143,-0.0025011450436615984,10.0
zero_cost_0,2010-04-30,0.05350764006642567,0.03370580793466754,0.01980183213175813,10.0
zero_cost_0,2010-05-31,0.014119745573561418,-0.029109973727974504,0.04322971930153592,1.0
zero_cost_0,2010-06-30,-0.012853938984336458,-0.02663188948052253,0.013777950496186072,10.0
zero_cost_0,2010-07-31,-0.04559099895193394,-0.03457938415072887,-0.01101161480120507,10.0
zero_cost_0,2010-08-31,0.051202414456792376,0.03130031837076688,0.019902096086025493,10.0
zero_cost_0,2010-09-30,-0.0066187026869274305,-0.01197322904520377,0.005354526358276339,10.0
zero_cost_0,2010-10-31,0.04914916986619712,0.04982537188340796,-0.0006762020172108377,10.0
zero_cost_0,2010-11-30,0.008560805529391547,0.05800997432699931,-0.04944916879760776,1.0
zero_cost_0,2010-12-31,-0.0405915411216085,-0.05130562399882386,0.010714082877215356,10.0
zero_cost_0,2011-01-31,6.166649532471823e-05,0.0038668632831790374,-0.0038051967878543194,10.0
zero_cost_0,2011-02-28,0.023234192174174828,0.02924394160859647,-0.006009749434421643,10.0
zero_cost_0,2011-03-31,0.011841435494016228,0.007707204559819886,0.004134230934196342,10.0
zero_cost_0,2011-04-30,-0.013712388517998778,0.007010836247256165,-0.02072322476525494,10.0
zero_cost_0,2011-05-31,-0.0037606601048057213,0.005337349105521309,-0.00909800921032703,10.0
zero_cost_0,2011-06-30,0.015732137928371453,0.026597801748602778,-0.010865663820231325,10.0
zero_cost_0,2011-07-31,0.022780151217555125,0.03195828152173998,-0.009178130304184857,10.0
zero_cost_0,2011-08-31,0.06254291008577026,0.039908025813585636,0.022634884272184623,10.0
zero_cost_0,2011-09-30,0.11916905243617275,0.07798864275352363,0.04118040968264912,10.0
zero_cost_0,2011-10-31,-0.15502190986515976,-0.17026644865665724,0.01524453879149748,10.0
zero_cost_0,2011-11-30,0.04491904426558211,0.04953231880479923,-0.004613274539217123,10.0
zero_cost_0,2011-12-31,0.011154551465948135,0.006645059365385845,0.00450949210056229,10.0
zero_cost_0,2012-01-31,-0.12995416528814432,-0.08834660696252303,-0.0416075583256213,10.0
zero_cost_0,2012-02-29,0.020183959363692563,-0.008968396746912181,0.029152356110604745,10.0
zero_cost_0,2012-03-31,0.04984675135512351,0.03736744774158161,0.012479303613541902,10.0
zero_cost_0,2012-04-30,0.0052205083656064665,0.0050399541186885504,0.0001805542469179161,1.0
zero_cost_0,2012-05-31,0.06925430512041247,0.11163610265235023,-0.04238179753193776,1.0
zero_cost_0,2012-06-30,-0.007644086011801758,0.009976520999954386,-0.017620607011756145,10.0
zero_cost_0,2012-07-31,0.028819912460915413,0.027734655068981467,0.0010852573919339463,10.0
zero_cost_0,2012-08-31,-0.030967042287577462,-0.022563040433422516,-0.008404001854154946,10.0
zero_cost_0,2012-09-30,-0.00786383993221525,-0.015149942882820263,0.007286102950605012,10.0
zero_cost_0,2012-10-31,-0.033710064406651905,-0.05918351856144215,0.025473454154790243,10.0
zero_cost_0,2012-11-30,0.02420400386845187,0.009724375736535208,0.014479628131916663,10.0
zero_cost_0,2012-12-31,-0.011906869693430152,-0.023913365331066267,0.012006495637636115,10.0
zero_cost_0,2013-01-31,-0.002836756335055369,0.0013694108240050024,-0.004206167159060371,10.0
zero_cost_0,2013-02-28,0.018978928294009458,0.0038623331267173037,0.015116595167292154,10.0
zero_cost_0,2013-03-31,0.02250223318453476,0.022065343785229088,0.0004368893993056712,10.0
zero_cost_0,2013-04-30,-0.021657112921004317,-0.012117374675185377,-0.00953973824581894,10.0
zero_cost_0,2013-05-31,-0.01595994550030482,-0.02049168110134108,0.0045317356010362575,10.0
zero_cost_0,2013-06-30,0.017341750577880868,0.011969903256557021,0.005371847321323847,10.0
zero_cost_0,2013-07-31,-0.020635164227699586,-0.007753709423469082,-0.012881454804230504,10.0
zero_cost_0,2013-08-31,0.000994656946802179,-0.004915295920191562,0.005909952866993741,10.0
zero_cost_0,2013-09-30,0.04683805530726134,0.04331314415167384,0.0035249111555875,10.0
zero_cost_0,2013-10-31,-0.016272177725612392,-0.029561315600616027,0.013289137875003635,10.0
zero_cost_0,2013-11-30,-0.01215514284658825,-0.018750578774018166,0.006595435927429916,10.0
zero_cost_0,2013-12-31,-0.01820441278304277,-0.016587847714171277,-0.0016165650688714922,10.0
zero_cost_0,2014-01-31,0.037350422288133886,0.04200051277436133,-0.004650090486227443,10.0
zero_cost_0,2014-02-28,0.017711628960770994,0.01947795809244081,-0.0017663291316698145,10.0
zero_cost_0,2014-03-31,-0.0878713908341049,-0.10067538141838347,0.012803990584278571,10.0
zero_cost_0,2014-04-30,-0.02504704341737901,-0.02867824341446194,0.0036311999970829283,10.0
zero_cost_0,2014-05-31,0.007960620846234046,0.018627468020390565,-0.01066684717415652,100.0
zero_cost_0,2014-06-30,0.0018810165561126836,0.020382010483400593,-0.01850099392728791,100.0
zero_cost_0,2014-07-31,-0.015953045013337296,-0.014168832413579368,-0.0017842125997579276,100.0
zero_cost_0,2014-08-31,0.008672811424704753,-0.005540175497493934,0.014212986922198686,100.0
zero_cost_0,2014-09-30,-0.007853635826471837,0.002456484442385997,-0.010310120268857834,100.0
zero_cost_0,2014-10-31,0.027742450544668725,0.0019852218996152258,0.0257572286450535,100.0
zero_cost_0,2014-11-30,0.09392894972104374,0.018484831444047844,0.07544411827699589,10.0
