case,month,net_return,factor_replication_return,residual,selected_lambda
zero_cost_0,2009-08-31,-0.004463801678520828,-0.012479258678580844,0.008015457000060016,1000.0
zero_cost_0,2009-09-30,-0.01847815676013749,-0.032049799329899396,0.013571642569761906,1000.0
zero_cost_0,2009-10-31,0.02860971092267027,0.026857951673138765,0.0017517592495315051,1000.0
zero_cost_0,2009-11-30,0.00865695840105057,0.00999735725012032,-0.0013403988490697499,1000.0
zero_cost_0,2009-12-31,0.002833559385723541,-0.022161188582383366,0.024994747968106905,1000.0
zero_cost_0,2010-01-31,-0.02759451827422934,0.002842928759285746,-0.030437447033515086,1000.0
zero_cost_0,2010-02-28,-0.010549668600063605,0.0007470726761576257,-0.01129674127622123,1000.0
zero_cost_0,2010-03-31,-0.013041980491421995,0.009906863251996191,-0.022948843743418185,1000.0
zero_cost_0,2010-04-30,0.02496696564139552,-0.003961888845424819,0.028928854486820338,1000.0
zero_cost_0,2010-05-31,0.01399786293188635,0.006191059320316597,0.0078068036115697525,1000.0
zero_cost_0,2010-06-30,-0.016285059162099737,0.009095403246253181,-0.02538046240835292,1000.0
zero_cost_0,2010-07-31,-0.017227843231570568,-0.01664426063109766,-0.0005835826004729067,1000.0
zero_cost_0,2010-08-31,0.038321614698993714,0.022871606519003513,0.015450008179990201,1000.0
zero_cost_0,2010-09-30,-0.03398400242583808,-0.01200603749324492,-0.021977964932593158,1000.0
zero_cost_0,2010-10-31,0.02298967661522627,-0.013131463534653222,0.036121140149879494,1000.0
zero_cost_0,2010-11-30,0.0036969650223602087,-0.002214795307108735,0.005911760329468944,1000.0
zero_cost_0,2010-12-31,-0.018595359604082158,-0.014615178609097175,-0.003980180994984983,1000.0
zero_cost_0,2011-01-31,-0.01043597717968074,-0.004127964234823299,-0.0063080129448574405,1000.0
zero_cost_0,2011-02-28,0.001257465030961258,-0.003078692942359152,0.004336157973320411,1000.0
zero_cost_0,2011-03-31,0.012715214315686715,-0.0008586224818217876,0.013573836797508503,1000.0
zero_cost_0,2011-04-30,0.024977080373781938,-0.006550047688627097,0.03152712806240904,1000.0
zero_cost_0,2011-05-31,0.01342502186552196,-0.007834558447043678,0.02125958031256564,1000.0
zero_cost_0,2011-06-30,0.005523846684676219,0.012368040274336913,-0.006844193589660694,1000.0
zero_cost_0,2011-07-31,0.00195320748388032,0.026652836623022803,-0.024699629139142483,1000.0
zero_cost_0,2011-08-31,0.03284762371227815,0.02675268409007416,0.006094939622203994,100.0
zero_cost_0,2011-09-30,0.044580780561639374,0.011376657805596976,0.0332041227560424,100.0
zero_cost_0,2011-10-31,-0.08826448275414532,-0.05065110534388576,-0.03761337741025956,100.0
zero_cost_0,2011-11-30,0.06684085893354758,0.012097710610122117,0.05474314832342546,100.0
zero_cost_0,2011-12-31,0.002446748186225955,0.008830736477264357,-0.006383988291038402,100.0
zero_cost_0,2012-01-31,-0.06570692474252571,-0.052308620340048066,-0.013398304402477641,100.0
zero_cost_0,2012-02-29,-0.0037439552169756716,-0.00552049950073129,0.001776544283755618,100.0
zero_cost_0,2012-03-31,0.028062179697105366,-0.00964572079633495,0.03770790049344032,100.0
zero_cost_0,2012-04-30,0.036594969242464886,0.03231497196036716,0.004279997282097728,100.0
zero_cost_0,2012-05-31,0.04294023570727847,0.038674074863387295,0.004266160843891177,100.0
zero_cost_0,2012-06-30,-0.009078188660059407,0.01447559043465812,-0.02355377909471753,100.0
zero_cost_0,2012-07-31,0.031361427155365273,0.025737102294722522,0.0056243248606427515,100.0
zero_cost_0,2012-08-31,0.02244178955584533,-0.02548544626740869,0.04792723582325402,100.0
zero_cost_0,2012-09-30,0.011855630893399147,-0.0033529874419668676,0.015208618335366015,100.0
zero_cost_0,2012-10-31,-0.03627449949715695,-0.007675281068831592,-0.028599218428325357,100.0
zero_cost_0,2012-11-30,-0.008665849222536392,-0.0019414485508054864,-0.0067244006717309054,100.0
zero_cost_0,2012-12-31,-0.06308021000923339,-0.02081631081280412,-0.04226389919642927,100.0
zero_cost_0,2013-01-31,-0.01379352480224023,-0.008137123516387443,-0.005656401285852788,100.0
zero_cost_0,2013-02-28,-0.013417554708852654,0.0069086996177771766,-0.02032625432662983,1000.0
zero_cost_0,2013-03-31,-0.01163007263851833,-0.0019889004504359646,-0.009641172188082366,1000.0
zero_cost_0,2013-04-30,0.002180090199763694,0.009693962653001473,-0.0075138724532377785,1000.0
zero_cost_0,2013-05-31,-0.0007097122931711679,-0.01933661888275867,0.018626906589587502,1000.0
zero_cost_0,2013-06-30,-0.007760123315301286,-0.005291008524610221,-0.0024691147906910644,1000.0
zero_cost_0,2013-07-31,-0.02057530333550997,-0.0046369162649514085,-0.01593838707055856,1000.0
zero_cost_0,2013-08-31,-0.008184270003847078,-0.004193547987816797,-0.003990722016030281,1000.0
zero_cost_0,2013-09-30,-0.048586895788808565,0.0037767619037406175,-0.052363657692549186,1000.0
zero_cost_0,2013-10-31,0.011392424668453686,0.0007493300907691704,0.010643094577684515,1000.0
zero_cost_0,2013-11-30,0.0015238317421044996,0.0018845833045064966,-0.000360751562401997,1000.0
zero_cost_0,2013-12-31,0.006690503494068215,-0.012489735556631156,0.01918023905069937,1000.0
zero_cost_0,2014-01-31,-0.029543344197173797,0.003222487473433464,-0.03276583167060726,1000.0
zero_cost_0,2014-02-28,-0.006613272570748538,-0.01085152477039826,0.004238252199649723,1000.0
zero_cost_0,2014-03-31,0.030122555377623227,-0.0059606359203023965,0.03608319129792562,1000.0
zero_cost_0,2014-04-30,0.012026025396920506,0.006259229625247004,0.005766795771673502,1000.0
zero_cost_0,2014-05-31,-0.0025481071217535733,0.012219402984255057,-0.01476751010600863,1000.0
zero_cost_0,2014-06-30,0.0083452459134452,-0.017806542231102663,0.026151788144547862,1000.0
zero_cost_0,2014-07-31,-0.02009803269350361,0.013468745289195786,-0.0335667779826994,1000.0
zero_cost_0,2014-08-31,0.0017812976030573227,-0.003264329937396716,0.005045627540454039,1000.0
zero_cost_0,2014-09-30,-0.003435276888569676,0.015485749054120342,-0.018921025942690017,1000.0
zero_cost_0,2014-10-31,0.02058476471749931,-0.009611776938416156,0.030196541655915465,1000.0
zero_cost_0,2014-11-30,-0.013861637120469275,-0.0008168941675466498,-0.013044742952922624,1000.0
zero_cost_0,2014-12-31,-0.0038971584829247115,-0.0006510487636961102,-0.003246109719228601,1000.0
zero_cost_0,2015-01-31,-0.004447549259839093,0.0076759112993490235,-0.012123460559188117,1000.0
zero_cost_0,2015-02-28,0.01997474516520545,-0.013673845798150359,0.033648590963355804,1000.0
zero_cost_0,2015-03-31,-0.004610932962924104,-0.003294424279702482,-0.0013165086832216222,1000.0
zero_cost_0,2015-04-30,0.009877944141487915,-0.012739173975210613,0.022617118116698528,1000.0
zero_cost_0,2015-05-31,0.0293578233228755,0.017374260416666284,0.011983562906209215,1000.0
