formation_month,specialist_count,round_robin_passes,speaking_turns,initial_disagreement_rate,final_disagreement_rate,unanimous_after_debate_rate,mean_absolute_opinion_change,finite_scores,buy_consensus_count,sell_consensus_count
1999-07-31,3,2,6,0.6801566579634465,0.2819843342036554,0.7180156657963447,0.24996861341501242,928,463,465
1999-08-31,3,2,6,0.6988110964332893,0.27344782034346105,0.726552179656539,0.2502968086116703,920,447,473
1999-09-30,3,2,6,0.6528704939919893,0.27903871829105475,0.7209612817089452,0.24547896218540788,902,431,471
1999-10-31,3,2,6,0.6657645466847091,0.2625169147496617,0.7374830852503383,0.2484423161478111,886,427,459
1999-11-30,3,2,6,0.6541666666666667,0.25555555555555554,0.7444444444444445,0.2385076661343844,867,415,452
1999-12-31,3,2,6,0.6638888888888889,0.25,0.75,0.23934696910062273,861,422,439
2000-01-31,3,2,6,0.6934604904632152,0.2888283378746594,0.7111716621253406,0.2463542566924517,860,411,449
2000-02-29,3,2,6,0.6699029126213593,0.26907073509015256,0.7309292649098474,0.23628844779203312,832,392,440
2000-03-31,3,2,6,0.7044198895027625,0.2776243093922652,0.7223756906077348,0.2548874011368488,850,421,429
2000-04-30,3,2,6,0.687248322147651,0.2523489932885906,0.7476510067114094,0.23723906831814653,890,446,444
2000-05-31,3,2,6,0.6852589641434262,0.28419654714475434,0.7158034528552457,0.25353962930821017,902,441,461
2000-06-30,3,2,6,0.6887052341597796,0.26170798898071623,0.7382920110192838,0.2448752572236654,877,436,441
2000-07-31,3,2,6,0.691156462585034,0.27755102040816326,0.7224489795918367,0.2512454787375133,890,438,452
2000-08-31,3,2,6,0.710562414266118,0.30864197530864196,0.691358024691358,0.25656258026220674,882,426,456
2000-09-30,3,2,6,0.7189631650750341,0.2946793997271487,0.7053206002728513,0.25655189765496755,889,445,444
2000-10-31,3,2,6,0.7333333333333333,0.324,0.676,0.2627114859235533,901,461,440
2000-11-30,3,2,6,0.7297650130548303,0.3276762402088773,0.6723237597911227,0.2655144426029671,923,474,449
2000-12-31,3,2,6,0.7984189723320159,0.35177865612648224,0.6482213438735178,0.27712082574419616,926,480,446
2001-01-31,3,2,6,0.7744458930899609,0.3389830508474576,0.6610169491525424,0.2846870035305503,918,461,457
2001-02-28,3,2,6,0.7183462532299741,0.31136950904392763,0.6886304909560723,0.2676433103056188,930,471,459
2001-03-31,3,2,6,0.7451984635083226,0.3546734955185659,0.645326504481434,0.27185691094238507,935,469,466
2001-04-30,3,2,6,0.7484197218710493,0.33754740834386854,0.6624525916561315,0.27713096926713743,956,477,479
2001-05-31,3,2,6,0.732484076433121,0.35159235668789807,0.6484076433121019,0.2702478630449084,952,481,471
2001-06-30,3,2,6,0.7396373056994818,0.35103626943005184,0.6489637305699482,0.2733722120315898,955,479,476
2001-07-31,3,2,6,0.684010152284264,0.2956852791878173,0.7043147208121827,0.2566951359669444,962,478,484
2001-08-31,3,2,6,0.6879795396419437,0.32864450127877237,0.6713554987212276,0.26060479721527774,960,501,459
2001-09-30,3,2,6,0.7025316455696202,0.30253164556962026,0.6974683544303798,0.25905410207712254,965,482,483
2001-10-31,3,2,6,0.688360450563204,0.2978723404255319,0.7021276595744681,0.2686175714988483,965,481,484
2001-11-30,3,2,6,0.7198007471980075,0.32254047322540474,0.6774595267745953,0.2709279282015969,966,468,498
2001-12-31,3,2,6,0.6804511278195489,0.2781954887218045,0.7218045112781954,0.2554786287833785,963,479,484
2002-01-31,3,2,6,0.6493827160493827,0.254320987654321,0.745679012345679,0.24241595281196188,969,471,498
2002-02-28,3,2,6,0.6646341463414634,0.2426829268292683,0.7573170731707317,0.2470244391788707,974,497,477
2002-03-31,3,2,6,0.6732186732186732,0.28378378378378377,0.7162162162162162,0.2586933124776167,973,477,496
2002-04-30,3,2,6,0.6151960784313726,0.2267156862745098,0.7732843137254902,0.237470492134208,970,488,482
2002-05-31,3,2,6,0.6580882352941176,0.27941176470588236,0.7205882352941176,0.24962547174638855,971,488,483
2002-06-30,3,2,6,0.6527093596059114,0.27586206896551724,0.7241379310344828,0.2464466534505918,972,499,473
2002-07-31,3,2,6,0.6929716399506781,0.2688039457459926,0.7311960542540074,0.25686270601448685,976,496,480
2002-08-31,3,2,6,0.6971569839307787,0.2719406674907293,0.7280593325092707,0.26255676709036774,976,495,481
2002-09-30,3,2,6,0.6440886699507389,0.24507389162561577,0.7549261083743842,0.24471734899535255,976,486,490
2002-10-31,3,2,6,0.6544117647058824,0.28799019607843135,0.7120098039215687,0.2539063511415112,975,468,507
2002-11-30,3,2,6,0.7146341463414634,0.3207317073170732,0.6792682926829269,0.2716452321700475,973,444,529
2002-12-31,3,2,6,0.6492082825822169,0.25334957369062117,0.7466504263093788,0.24685402745045715,974,486,488
2003-01-31,3,2,6,0.6555555555555556,0.26666666666666666,0.7333333333333333,0.25017960536642964,969,455,514
2003-02-28,3,2,6,0.6362515413070283,0.2589395807644883,0.7410604192355117,0.24616101212994707,974,489,485
2003-03-31,3,2,6,0.6498771498771498,0.2592137592137592,0.7407862407862408,0.24654741434478303,975,454,521
2003-04-30,3,2,6,0.6695437731196054,0.30209617755856966,0.6979038224414303,0.2571604734509275,986,470,516
2003-05-31,3,2,6,0.6884236453201971,0.2881773399014778,0.7118226600985221,0.26221191390882304,985,484,501
2003-06-30,3,2,6,0.6567901234567901,0.25555555555555554,0.7444444444444445,0.24558617172498937,980,481,499
2003-07-31,3,2,6,0.6399506781750924,0.2589395807644883,0.7410604192355117,0.2458350789909316,982,463,519
2003-08-31,3,2,6,0.6461159062885327,0.2527743526510481,0.7472256473489519,0.23811638565472365,980,478,502
2003-09-30,3,2,6,0.6960297766749379,0.27543424317617865,0.7245657568238213,0.2550328529771736,979,476,503
2003-10-31,3,2,6,0.6447688564476886,0.24452554744525548,0.7554744525547445,0.24367920267267423,981,494,487
2003-11-30,3,2,6,0.630937880633374,0.24116930572472595,0.758830694275274,0.2452994626331731,977,471,506
2003-12-31,3,2,6,0.726044226044226,0.3144963144963145,0.6855036855036855,0.2704808395704573,972,463,509
2004-01-31,3,2,6,0.7032967032967034,0.31868131868131866,0.6813186813186813,0.25505753312090784,973,491,482
2004-02-29,3,2,6,0.6912669126691267,0.2952029520295203,0.7047970479704797,0.2547447829818489,969,487,482
2004-03-31,3,2,6,0.6764346764346765,0.27228327228327226,0.7277167277167277,0.24909537535748594,973,472,501
2004-04-30,3,2,6,0.6686967113276492,0.29598051157125455,0.7040194884287454,0.24685395540038038,969,484,485
2004-05-31,3,2,6,0.6901579586877278,0.31713244228432563,0.6828675577156743,0.2562521916245933,971,477,494
2004-06-30,3,2,6,0.6524390243902439,0.275609756097561,0.724390243902439,0.24480444730619327,968,486,482
2004-07-31,3,2,6,0.676829268292683,0.28780487804878047,0.7121951219512195,0.2581993407795847,969,483,486
2004-08-31,3,2,6,0.7312883435582822,0.34478527607361964,0.6552147239263804,0.27020582262832926,968,487,481
2004-09-30,3,2,6,0.6984126984126984,0.2905982905982906,0.7094017094017094,0.26216213088731033,968,481,487
2004-10-31,3,2,6,0.6979293544457978,0.2789281364190012,0.7210718635809987,0.25526795855247936,966,481,485
2004-11-30,3,2,6,0.6788321167883211,0.28345498783454987,0.7165450121654501,0.2577647219214369,963,469,494
2004-12-31,3,2,6,0.7059538274605103,0.29647630619684084,0.7035236938031592,0.25821769215804075,962,479,483
