evaluation,generation,operator,mutation_scope,expression,node_count,training_mean_rankic,training_direction,training_rankic_months,validation_rankic_months,valid_candidate,validation_mean_oriented_rankic,complexity_penalty,training_fitness,survives_final_population,selected_final
1,0,initialization,,"mean(difference(mean(ret_1_0,turnover_126d),difference(prc_highprc_252d,ret_1_0)),ret_12_1)",9,0.008403423094546565,1,96,24,True,-0.005741791643817951,0.0008,0.007603423094546565,False,False
2,0,initialization,,"mean(mean(difference(ret_6_1,ret_1_0),mean(ret_12_1,ret_1_0)),difference(product(rvol_21d,ret_6_1),mean(rvol_21d,ret_6_1)))",15,-0.0003997792731947868,-1,96,24,True,-0.006090425394475557,0.0014,-0.0010002207268052133,False,False
3,0,initialization,,"difference(ret_1_0,product(difference(ret_1_0,prc_highprc_252d),mean(rvol_21d,prc_highprc_252d)))",9,-0.020197165299643268,-1,96,24,True,0.03408982814932974,0.0008,0.01939716529964327,False,False
4,0,initialization,,"product(mean(product(turnover_126d,rvol_21d),difference(prc_highprc_252d,ret_12_1)),difference(mean(ret_1_0,ret_1_0),prc_highprc_252d))",13,0.003127047833322587,1,96,24,True,0.02651817651610124,0.0012000000000000001,0.001927047833322587,False,False
5,0,initialization,,"difference(difference(product(ret_12_1,ret_12_1),product(ret_1_0,ret_6_1)),ret_12_1)",9,-0.028984874362972247,-1,96,24,True,0.03375150938444891,0.0008,0.028184874362972248,False,False
6,0,initialization,,turnover_126d,1,0.010846728270842097,1,96,24,True,-0.010058154239147346,0.0,0.010846728270842097,False,False
7,0,initialization,,ret_6_1,1,-0.00963833411427468,-1,96,24,True,-0.009845248132787345,0.0,0.00963833411427468,False,False
8,0,initialization,,"difference(difference(mean(ret_12_1,rvol_21d),product(ret_1_0,ret_1_0)),product(product(ret_1_0,prc_highprc_252d),difference(prc_highprc_252d,ret_1_0)))",15,0.029061157931967563,1,96,24,True,0.03515939063002835,0.0014,0.027661157931967564,False,False
9,0,initialization,,"product(mean(mean(ret_6_1,rvol_21d),difference(ret_1_0,ret_1_0)),product(difference(rvol_21d,ret_12_1),product(ret_1_0,rvol_21d)))",15,-0.0049303270864602166,-1,96,24,True,0.007647133496414864,0.0014,0.0035303270864602164,False,False
10,0,initialization,,ret_1_0,1,-0.014478510658891977,-1,96,24,True,0.030878252383807526,0.0,0.014478510658891977,False,False
11,1,crossover,,ret_1_0,1,-0.014478510658891977,-1,96,24,True,0.030878252383807526,0.0,0.014478510658891977,False,False
12,1,crossover,,"difference(difference(ret_1_0,product(ret_1_0,ret_1_0)),product(product(ret_1_0,prc_highprc_252d),difference(prc_highprc_252d,ret_1_0)))",13,0.0017646611401237508,1,96,24,True,-0.012559270255613333,0.0012000000000000001,0.0005646611401237506,False,False
13,1,crossover,,"difference(difference(mean(ret_12_1,rvol_21d),product(ret_1_0,prc_highprc_252d)),product(product(ret_1_0,prc_highprc_252d),difference(prc_highprc_252d,ret_1_0)))",15,0.02692055627193833,1,96,24,True,0.035058398756496474,0.0014,0.025520556271938333,False,False
14,1,crossover,,"product(ret_12_1,ret_12_1)",3,0.0038924430627775932,1,96,24,True,0.013105577238495958,0.0002,0.003692443062777593,False,False
15,1,crossover,,"difference(ret_1_0,difference(product(ret_12_1,ret_12_1),product(ret_1_0,ret_6_1)))",9,-0.0035530639595741016,-1,96,24,True,0.022190982354740065,0.0008,0.0027530639595741016,False,False
16,1,crossover,,"mean(difference(mean(ret_1_0,turnover_126d),difference(prc_highprc_252d,ret_1_0)),ret_12_1)",9,0.008403423094546565,1,96,24,True,-0.005741791643817951,0.0008,0.007603423094546565,False,False
17,1,crossover,,"mean(product(turnover_126d,rvol_21d),difference(prc_highprc_252d,ret_12_1))",7,-0.032680075420225434,-1,96,24,True,0.04013175150103717,0.0006000000000000001,0.03208007542022543,False,False
18,1,crossover,,"product(mean(product(turnover_126d,rvol_21d),difference(difference(rvol_21d,ret_12_1),ret_12_1)),difference(mean(ret_1_0,ret_1_0),prc_highprc_252d))",15,-0.010720133994818817,-1,96,24,True,-0.016788625529726847,0.0014,0.009320133994818817,False,False
19,1,crossover,,"difference(difference(mean(mean(ret_6_1,rvol_21d),difference(ret_1_0,ret_1_0)),product(ret_1_0,ret_6_1)),ret_12_1)",13,-0.03789759528064516,-1,96,24,True,0.044538955105017826,0.0012000000000000001,0.03669759528064516,False,False
20,1,crossover,,"difference(ret_1_0,product(difference(ret_1_0,prc_highprc_252d),mean(rvol_21d,prc_highprc_252d)))",9,-0.020197165299643268,-1,96,24,True,0.03408982814932974,0.0008,0.01939716529964327,False,False
21,2,mutation,fine,"difference(difference(product(ret_1_0,ret_12_1),product(ret_1_0,ret_6_1)),ret_12_1)",9,-0.02881182237809994,-1,96,24,True,0.04412218496379233,0.0008,0.028011822378099942,False,False
22,2,mutation,root,"mean(mean(mean(prc_highprc_252d,ret_1_0),difference(ret_6_1,rvol_21d)),mean(difference(prc_highprc_252d,turnover_126d),prc_highprc_252d))",13,-0.012396335411832651,-1,96,24,True,-0.001647111626817364,0.0012000000000000001,0.011196335411832651,False,False
23,2,mutation,root,ret_1_0,1,-0.014478510658891977,-1,96,24,True,0.030878252383807526,0.0,0.014478510658891977,False,False
24,2,mutation,root,"mean(turnover_126d,rvol_21d)",3,0.01669632522658583,1,96,24,True,-0.0038244979413030126,0.0002,0.016496325226585833,False,False
25,2,mutation,root,"product(difference(product(prc_highprc_252d,ret_1_0),mean(ret_12_1,ret_1_0)),product(difference(ret_6_1,ret_1_0),mean(ret_12_1,ret_6_1)))",15,0.012677004999414827,1,96,24,True,0.0022006914327957192,0.0014,0.011277004999414827,False,False
26,2,mutation,internal,"mean(mean(product(ret_6_1,ret_12_1),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",11,-0.04309665723414926,-1,96,24,True,0.032581173915257736,0.001,0.04209665723414926,False,False
27,2,mutation,root,"mean(product(product(turnover_126d,turnover_126d),mean(ret_6_1,ret_1_0)),product(difference(rvol_21d,ret_1_0),mean(prc_highprc_252d,ret_1_0)))",15,-0.014552822933351648,-1,96,24,True,0.006131116287850434,0.0014,0.013152822933351647,False,False
28,2,mutation,fine,ret_12_1,1,0.03032751729250649,1,96,24,True,0.04340770786374289,0.0,0.03032751729250649,False,False
29,2,mutation,root,"difference(mean(difference(turnover_126d,turnover_126d),mean(turnover_126d,rvol_21d)),difference(difference(ret_12_1,prc_highprc_252d),mean(ret_1_0,rvol_21d)))",15,-0.023262647412709263,-1,96,24,True,0.042704143165775914,0.0014,0.021862647412709265,False,False
30,2,mutation,internal,"difference(difference(product(ret_12_1,ret_12_1),prc_highprc_252d),ret_12_1)",7,-0.00922642940982077,-1,96,24,True,0.019795263742236304,0.0006000000000000001,0.00862642940982077,False,False
31,3,pruning,,ret_12_1,1,0.03032751729250649,1,96,24,True,0.04340770786374289,0.0,0.03032751729250649,False,False
