missing_return_policy,formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure,net_return
zero,1999-07-31,1999-08-31,ok,0.036209221838985804,0.036209221838985825,2.0,1000,1000,0.0,0.0,100,100,0.2741684434165344,0.15276549386776347,2.0,0.0342092218389858
zero,1999-08-31,1999-09-30,ok,0.03321518365683703,0.03321518365683703,1.4639821605271597,1000,1000,0.0,0.0,100,100,0.15755787657009038,0.09415220098181676,2.0,0.031751201496309875
zero,1999-09-30,1999-10-31,ok,-0.032195047283017864,-0.03219504728301789,1.7237411527398037,1000,1000,0.0,0.0,100,100,0.3370425855653431,0.17930966393500647,2.0,-0.033918788435757664
zero,1999-10-31,1999-11-30,ok,0.07856650635543995,0.07856650635543998,0.6726954754313229,1000,1000,0.0,0.0,100,100,0.35820306222997306,0.18918315912306172,2.0000000000000004,0.07789381088000863
zero,1999-11-30,1999-12-31,ok,0.031207429560785135,0.03120425479057267,0.34834094380925806,1000,1000,0.00042172824288547043,0.00042172824288547043,100,100,0.348107900852122,0.18135554706963578,2.0,0.030859088616975876
zero,1999-12-31,2000-01-31,ok,0.018101375793353903,0.01812865004101914,0.17753708460008405,1000,1000,0.004028519838876261,0.004028519838876261,100,100,0.3982171289417683,0.22358197402065683,2.0,0.017923838708753817
zero,2000-01-31,2000-02-29,ok,0.0785837293964872,0.07860713895822807,0.4184909959303228,1000,1000,0.0027252109127883415,0.0027252109127883415,100,100,0.3742084921944273,0.19943935096518178,2.0,0.07816523840055688
zero,2000-02-29,2000-03-31,ok,-0.033592967838281494,-0.033583172246611746,0.6934472149787302,1000,1000,0.0011189846549850418,0.0011189846549850418,100,100,0.2960717826635588,0.17949928406115845,2.0,-0.03428641505326022
zero,2000-03-31,2000-04-30,ok,-0.07431717810935748,-0.07435100407865051,0.49326685437802886,1000,1000,0.0036807365933709288,0.0036807365933709288,100,100,0.2955652993708844,0.17848109745210186,2.0,-0.07481044496373551
zero,2000-04-30,2000-05-31,ok,-0.07858614682163591,-0.07858614682163592,1.1047453798261244,1000,1000,0.0,0.0,100,100,0.25419460853606823,0.1561788142646958,2.0,-0.07969089220146203
zero,2000-05-31,2000-06-30,ok,0.101308462712433,0.10139229914842801,0.34168897739229165,1000,1000,0.01119610523437349,0.01119610523437349,100,100,0.23634340040290294,0.14763347641400287,2.0,0.10096677373504072
zero,2000-06-30,2000-07-31,ok,-0.05592277945886721,-0.05598591027973576,0.3866963061201761,1000,1000,0.028595872860139357,0.028595872860139357,100,100,0.2450750297916568,0.1582237040294741,2.000000000000001,-0.056309475764987384
zero,2000-07-31,2000-08-31,ok,-0.007836102990450894,-0.007840896163330962,0.5369483896080773,1000,1000,0.0004791256377519753,0.0004791256377519753,100,100,0.21115933385993707,0.1436027110834277,2.0,-0.008373051380058972
