outer_round,operation,market_logic,candidates_evaluated,stopped_early,incumbent_expression,incumbent_orientation,incumbent_validation_icir
1,identity,trend_persistence,4,True,identity__ret_12_1,1,0.23780985855257908
1,identity,short_horizon_reversal,4,False,identity__ret_1_0,1,0.4599623482337878
1,identity,price_volume_confirmation,4,True,identity__dolvol_126d,1,0.2841739784235527
1,identity,breakout_quality,4,False,identity__ret_12_1,1,0.23780985855257908
1,identity,residual_momentum,4,False,identity__ret_12_7,1,0.34980524836328486
1,identity,volatility_compression,4,True,identity__beta_60m,-1,0.13731412537581295
2,pair_mean,trend_persistence,3,True,identity__ret_12_1,1,0.23780985855257908
2,pair_mean,short_horizon_reversal,3,True,identity__ret_1_0,1,0.4599623482337878
2,pair_mean,price_volume_confirmation,3,True,identity__dolvol_126d,1,0.2841739784235527
2,pair_mean,breakout_quality,3,True,identity__ret_12_1,1,0.23780985855257908
2,pair_mean,residual_momentum,5,True,pair_mean__resff3_12_1__ret_12_7,1,0.37648010121144126
2,pair_mean,volatility_compression,3,True,identity__beta_60m,-1,0.13731412537581295
3,pair_product,trend_persistence,6,False,pair_product__ret_6_1__turnover_126d,1,0.34215674133815677
3,pair_product,short_horizon_reversal,3,True,identity__ret_1_0,1,0.4599623482337878
3,pair_product,price_volume_confirmation,3,True,identity__dolvol_126d,1,0.2841739784235527
3,pair_product,breakout_quality,6,True,pair_product__prc_highprc_252d__rvol_21d,-1,0.45467407609432514
3,pair_product,residual_momentum,3,True,pair_mean__resff3_12_1__ret_12_7,1,0.37648010121144126
3,pair_product,volatility_compression,6,False,pair_product__ivol_capm_252d__ret_6_1,-1,0.3803088037474014
4,triple_mean,trend_persistence,3,True,pair_product__ret_6_1__turnover_126d,1,0.34215674133815677
4,triple_mean,short_horizon_reversal,3,True,identity__ret_1_0,1,0.4599623482337878
4,triple_mean,price_volume_confirmation,3,True,identity__dolvol_126d,1,0.2841739784235527
4,triple_mean,breakout_quality,3,True,pair_product__prc_highprc_252d__rvol_21d,-1,0.45467407609432514
4,triple_mean,residual_momentum,4,False,triple_mean__resff3_12_1__ret_12_7__seas_1_1an,1,0.3848519020003847
4,triple_mean,volatility_compression,3,True,pair_product__ivol_capm_252d__ret_6_1,-1,0.3803088037474014
5,positive_gate,trend_persistence,3,True,pair_product__ret_6_1__turnover_126d,1,0.34215674133815677
5,positive_gate,short_horizon_reversal,3,True,identity__ret_1_0,1,0.4599623482337878
5,positive_gate,price_volume_confirmation,3,True,identity__dolvol_126d,1,0.2841739784235527
5,positive_gate,breakout_quality,3,True,pair_product__prc_highprc_252d__rvol_21d,-1,0.45467407609432514
5,positive_gate,residual_momentum,3,True,triple_mean__resff3_12_1__ret_12_7__seas_1_1an,1,0.3848519020003847
5,positive_gate,volatility_compression,3,True,pair_product__ivol_capm_252d__ret_6_1,-1,0.3803088037474014
