round,rank,candidate,family,adjusted_score
1,1,price_trend__identity__ret_12_1,price_trend,0.9069121387520934
1,2,price_trend__identity__resff3_12_1,price_trend,0.7126357380937842
1,3,price_volume_interaction__identity__dolvol_var_126d,price_volume_interaction,0.7870086625006033
1,4,range__identity__rmax5_rvol_21d,range,0.7156035080863471
1,5,range__pair_mean__rmax5_21d__rmax5_rvol_21d,range,0.3337958778758173
2,1,price_trend__identity__ret_12_1,price_trend,0.9069121387520934
2,2,price_volume_interaction__pair_product__ret_6_1__turnover_126d,price_volume_interaction,0.8839819853068308
2,3,price_trend__identity__resff3_12_1,price_trend,0.7126357380937842
2,4,price_volume_interaction__identity__dolvol_var_126d,price_volume_interaction,0.6870086625006033
2,5,range__pair_product__prc_highprc_252d__rmax5_21d,range,0.7438496478829206
3,1,price_trend__identity__ret_12_1,price_trend,0.9069121387520934
3,2,price_volume_interaction__pair_product__ret_6_1__turnover_126d,price_volume_interaction,0.8839819853068308
3,3,price_trend__identity__resff3_12_1,price_trend,0.7126357380937842
3,4,price_volume_interaction__identity__dolvol_var_126d,price_volume_interaction,0.6870086625006033
3,5,range__pair_product__prc_highprc_252d__rmax5_21d,range,0.7438496478829206
