formation_month,reward_cutoff,maintenance_start,maintenance_end,maintenance_months,market_regime,selected_candidates,selected_miners,selected_factor_count,finite_scores
1999-07-31,1999-01-31,1994-02-28,1999-01-31,60,uptrend,risk_reversal_miner__identity__rvol_21d|technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__identity__be_me|technical_miner__identity__ret_12_1|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
1999-08-31,1999-02-28,1994-03-31,1999-02-28,60,uptrend,risk_reversal_miner__identity__rvol_21d|technical_miner__identity__turnover_126d|technical_miner__pair_product__ret_12_1__ret_6_1|technical_miner__pair_mean__ret_6_1__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d,risk_reversal_miner|technical_miner,5,1000
1999-09-30,1999-03-31,1994-04-30,1999-03-31,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__identity__rvol_21d|technical_miner__pair_product__ret_12_1__ret_6_1|technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d,risk_reversal_miner|technical_miner,5,1000
1999-10-31,1999-04-30,1994-05-31,1999-04-30,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__identity__rvol_21d|technical_miner__pair_product__ret_12_1__ret_6_1|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__identity__prc_highprc_252d,risk_reversal_miner|technical_miner,5,1000
1999-11-30,1999-05-31,1994-06-30,1999-05-31,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__identity__rvol_21d|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__identity__prc_highprc_252d|technical_miner__pair_product__ret_12_1__ret_6_1,risk_reversal_miner|technical_miner,5,1000
1999-12-31,1999-06-30,1994-07-31,1999-06-30,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__identity__rvol_21d|technical_miner__pair_product__ret_12_1__ret_6_1|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|technical_miner__identity__prc_highprc_252d,risk_reversal_miner|technical_miner,5,1000
2000-01-31,1999-07-31,1994-08-31,1999-07-31,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__identity__rvol_21d|technical_miner__pair_product__ret_12_1__ret_6_1|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d,risk_reversal_miner|technical_miner,5,1000
2000-02-29,1999-08-31,1994-09-30,1999-08-31,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__identity__rvol_21d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|technical_miner__identity__ret_12_1,risk_reversal_miner|technical_miner,5,1000
2000-03-31,1999-09-30,1994-10-31,1999-09-30,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__identity__rvol_21d|technical_miner__identity__ret_12_1|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|technical_miner__pair_product__ret_12_1__ret_6_1,risk_reversal_miner|technical_miner,5,1000
2000-04-30,1999-10-31,1994-11-30,1999-10-31,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__identity__rvol_21d|technical_miner__identity__ret_12_1|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|technical_miner__pair_product__ret_12_1__ret_6_1,risk_reversal_miner|technical_miner,5,1000
2000-05-31,1999-11-30,1994-12-31,1999-11-30,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__rmax5_21d__rvol_21d|technical_miner__identity__ret_12_1|technical_miner__pair_mean__prc_highprc_252d__ret_6_1|risk_reversal_miner__pair_product__beta_60m__rmax5_21d,risk_reversal_miner|technical_miner,5,1000
2000-06-30,1999-12-31,1995-01-31,1999-12-31,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__rmax5_21d__rvol_21d|technical_miner__identity__ret_12_1|technical_miner__pair_mean__prc_highprc_252d__ret_6_1|technical_miner__pair_product__ret_6_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2000-07-31,2000-01-31,1995-02-28,2000-01-31,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__ret_12_1|technical_miner__pair_mean__prc_highprc_252d__ret_6_1|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d,risk_reversal_miner|technical_miner,5,1000
2000-08-31,2000-02-29,1995-03-31,2000-02-29,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__ret_12_1__ret_6_1|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|technical_miner__pair_product__ret_12_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
