missing_return_policy,formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure
zero,1999-07-31,1999-08-31,ok,0.03272901856548744,0.032722515397234114,2.0000000000000004,1000,1000,0.000838901993462604,0.000838901993462604,100,100,0.1020041587224653,0.07227576752499931,2.0000000000000004
zero,1999-08-31,1999-09-30,ok,0.08626391253985216,0.0862595239808401,2.1108226841983595,1000,1000,0.0005922481797664307,0.0005922481797664307,100,100,0.12030618909720733,0.08285183896717137,2.0
zero,1999-09-30,1999-10-31,ok,-0.046532004440349516,-0.04653200444034951,2.5832306652572763,1000,1000,0.0,0.0,100,100,0.10817815019774306,0.0751416618001698,2.0
zero,1999-10-31,1999-11-30,ok,0.1304943554833031,0.13049097395053338,2.642974518943132,1000,1000,0.0004436542599995674,0.0004436542599995674,100,100,0.15008490671477975,0.09427429813526444,2.0
zero,1999-11-30,1999-12-31,ok,0.07775556808991113,0.07776473973464411,2.0793969008290643,1000,1000,0.0026635171541178546,0.0026635171541178546,100,100,0.1335439847685581,0.08947983219418286,2.0
zero,1999-12-31,2000-01-31,ok,0.07377674809007052,0.07377674809007054,2.3245806265773172,1000,1000,0.0,0.0,100,100,0.12683703187155737,0.08540758963275394,2.0
zero,2000-01-31,2000-02-29,ok,0.19287504916556855,0.19287504916556855,2.7273615103324023,1000,1000,0.0,0.0,100,100,0.2564594807141357,0.15649196434804297,1.9999999999999998
zero,2000-02-29,2000-03-31,ok,0.02195963163318996,0.021930668904397328,2.046605859072955,1000,1000,0.003308513684330461,0.003308513684330461,100,100,0.2726601907571795,0.13618147597149194,2.0
zero,2000-03-31,2000-04-30,ok,-0.01883622085116387,-0.018836220851163866,2.133094781367862,1000,1000,0.0,0.0,100,100,0.13383908036070657,0.06911793769717302,2.0000000000000004
zero,2000-04-30,2000-05-31,ok,-0.1087969844304594,-0.10880432890123859,2.035871245885991,1000,1000,0.0007679287723988978,0.0007679287723988978,100,100,0.22591074085063295,0.12182385437036802,1.9999999999999996
