round,alpha,components,advisory_seed,panel_priority,mean_rankic,rankicir,long_short_sharpe,stability,monotonicity_score_v1,excess_drawdown_penalty_v1,selected_top30,final_selection_rank
1,pair_product__ret_1_0__turnover_126d,ret_1_0|turnover_126d,ret_1_0,0.9748275862068967,0.021360620407470235,0.39001244174295685,0.7036817663628661,0.9480748197370803,0.021698633380706933,-0.3108182063576288,True,10.0
2,pair_product__gp_at__ocf_at,gp_at|ocf_at,ret_3_1,0.9075862068965518,0.02471937370471573,0.32617604076276324,0.9526785845252702,0.929553443318061,0.06920999325071067,-0.3184031792211789,True,6.0
3,pair_product__ret_6_1__turnover_126d,ret_6_1|turnover_126d,ret_3_1,0.8697512952056267,0.017579025423520835,0.3015356505869101,0.7714931617145527,0.9449131401811609,0.054880981290040765,0.10138719632420065,True,18.0
4,pair_product__ret_12_1__turnover_126d,ret_12_1|turnover_126d,ret_3_1,0.866381302191492,0.018513046587535324,0.29561975247190225,0.7748130696942314,0.9410661776071577,0.04012379801011054,0.16699534077281541,True,15.0
5,pair_product__ret_6_1__beta_60m,ret_6_1|beta_60m,ret_3_1,0.8469756573385437,0.019132162673659397,0.3009278869778105,0.621303995019176,0.9402232090681314,-0.04854811389528192,0.07411781415543885,True,13.0
6,pair_product__ret_12_1__rvol_21d,ret_12_1|rvol_21d,ret_3_1,0.8352557225027474,0.019782618419522262,0.3364141060086324,0.42686010176306144,0.9444615375077307,0.05930097726556657,0.036895231502441145,True,12.0
7,pair_mean__ret_12_1__ocf_at,ret_12_1|ocf_at,ret_3_1,0.8064618793879397,0.0287446247964611,0.2656781847920566,0.5191798481120546,0.9023695723961255,-0.02101444242037298,0.10837652461068947,True,4.0
8,identity__ret_12_1,ret_12_1,ret_3_1,0.7957728637164669,0.032943555406753776,0.247663466909083,0.6654280526998446,0.8825989630092927,0.011248073541770348,0.1838048614929643,True,1.0
9,pair_mean__ret_12_1__be_me,ret_12_1|be_me,ret_3_1,0.7721590581735819,0.023852293878867552,0.2100871145933857,0.5828057885348792,0.8980407190279077,-0.004278062855326864,-0.18413563126367943,True,7.0
10,pair_mean__ret_3_1__ret_12_1,ret_3_1|ret_12_1,ret_3_1,0.6484417241704457,0.018658383494446113,0.14645200304655284,0.38310105961180235,0.8869944896542713,-0.09467739754588093,0.04746212433684251,True,14.0
11,pair_product__ret_12_1__beta_60m,ret_12_1|beta_60m,ret_1_0,0.7447473304245591,0.014508872309640876,0.23925232214813005,0.5453228668371747,0.9428247004407313,-0.02052500415821608,0.11983277576509861,True,25.0
12,pair_mean__ret_12_1__beta_60m,ret_12_1|beta_60m,ret_1_0,0.7413832033465789,0.030296825939840694,0.2022668827798614,0.6679156036414228,0.8697267681762161,-0.09383207574874478,0.17649155371247546,True,3.0
13,pair_product__ret_6_1__rvol_21d,ret_6_1|rvol_21d,ret_1_0,0.7359944420817088,0.01794623137545096,0.2922791875215181,0.3127624608402625,0.9421509963971998,0.03612611034852764,-0.027233611682630637,True,17.0
14,pair_product__ret_6_1__gp_at,ret_6_1|gp_at,ret_1_0,0.7312348259017369,0.013129292191902805,0.21469341597067954,0.6037031067183254,0.9423705727238864,-0.03223593192121067,0.11424589127512633,True,29.0
15,pair_product__ret_1_0__ret_6_1,ret_1_0|ret_6_1,ret_1_0,0.7095485406266056,0.014491460163688135,0.2644156913788251,0.21585498039372117,0.9480419914529182,0.03819987311784889,-0.34881024417178774,True,26.0
16,pair_mean__ret_12_1__gp_at,ret_12_1|gp_at,ret_3_1,0.7026439816665884,0.02262870076169609,0.16940073588685176,0.5835991254603441,0.8821602502375138,-0.15819350934968837,0.13205775653933421,True,8.0
17,identity__ocf_at,ocf_at,ret_3_1,0.6967196367020647,0.01473381039597011,0.17277034912883288,0.5597462126672962,0.9214214210857486,-0.06756090472985406,-0.1206755729937524,True,24.0
18,pair_mean__ret_12_1__turnover_126d,ret_12_1|turnover_126d,ret_3_1,0.6902128881354578,0.02492048064130777,0.17047108740260433,0.5547034430941603,0.8724587714260671,-0.09274757026473981,0.184243437582014,True,5.0
19,pair_product__ret_12_1__gp_at,ret_12_1|gp_at,ret_3_1,0.6772788057901814,0.010941756063652417,0.15694096712941252,0.7412401141528075,0.9348250025044602,-0.06815346405225703,0.14388638716168978,False,34.0
20,pair_difference__ret_12_1__rvol_21d,ret_12_1|rvol_21d,ret_3_1,0.6730538469000644,0.031160072680861985,0.21970884476217373,0.32925853840095415,0.8757914172929078,-0.07630681383459695,-0.28019992536274807,True,2.0
21,pair_product__ret_1_0__ret_3_1,ret_1_0|ret_3_1,ret_3_1,0.6480207761899611,0.01143698827712485,0.25098727875385335,0.17268452083927868,0.9564179471413946,0.02311811051061155,-0.36152986123791087,False,32.0
22,pair_difference__ret_12_1__be_me,ret_12_1|be_me,be_me,0.7727023207318234,0.02214366186411255,0.15912321474464422,0.39196884113115316,0.8778394471268623,-0.12861910883393884,0.09315606090139159,True,9.0
23,pair_mean__ocf_at__beta_60m,ocf_at|beta_60m,ret_3_1,0.6705244842022531,0.0169465393378375,0.10695789889140309,0.6368552514897415,0.8632289562825504,-0.1295831046468392,0.163252023314785,True,20.0
24,pair_mean__ret_12_1__rvol_21d,ret_12_1|rvol_21d,ret_3_1,0.6552295013248816,0.017187014191153375,0.11306117617291947,0.4686292691000695,0.8680441229692956,-0.1271052019441436,0.12978116437017564,True,19.0
25,pair_difference__ret_12_1__gp_at,ret_12_1|gp_at,ret_3_1,0.6490047105646344,0.01980236598792462,0.1561342682662766,0.21025782996431805,0.887446033784452,-0.057039660145314225,-0.20363926737446497,True,11.0
26,pair_mean__ocf_at__turnover_126d,ocf_at|turnover_126d,ret_3_1,0.6133232205526274,0.015014507491270718,0.10658114873163838,0.44707612393040663,0.876521020917506,-0.12966779574424925,0.12983995063863663,True,22.0
27,pair_product__ret_3_1__turnover_126d,ret_3_1|turnover_126d,ret_3_1,0.6095146819493271,0.009239953696962537,0.18162366662831178,0.2549412609517306,0.9515887119755165,-0.017722336249844442,-0.0001598257424615529,False,40.0
28,pair_difference__beta_60m__turnover_126d,beta_60m|turnover_126d,be_me,0.605811041048797,0.009470583613925172,0.1112330007345666,0.7499579669581814,0.9215385055460988,-0.11298807091550137,0.087686806618611,False,38.0
29,pair_mean__ret_6_1__ret_12_1,ret_6_1|ret_12_1,be_me,0.5929547150161869,0.014356356840984153,0.10834436005845662,0.4064090066633265,0.8829969603783987,-0.10286990001108352,0.09230213781652528,True,27.0
30,pair_difference__ret_12_1__turnover_126d,ret_12_1|turnover_126d,be_me,0.5848282963497865,0.018380214525012102,0.13345675477030738,0.2696221950350713,0.8789476989015568,-0.1470133342203859,-0.22814699364090013,True,16.0
31,identity__beta_60m,beta_60m,be_me,0.538167609168907,0.01317682001888659,0.07412866628601938,0.5243120576177575,0.8490722567781385,-0.1549065058874157,0.12292883152662146,True,28.0
32,pair_mean__gp_at__ocf_at,gp_at|ocf_at,be_me,0.5319472162479197,0.012078991603458319,0.1061249439233959,0.29074072110551663,0.8978122720735119,-0.08725312198275766,-0.3099699225907444,True,30.0
33,pair_product__gp_at__turnover_126d,gp_at|turnover_126d,be_me,0.5272685176739728,0.00886282869770374,0.1539273102946055,0.2902186785487152,0.9455567225842687,-0.04142261898028292,0.08635969177727981,False,41.0
34,pair_product__ret_6_1__ocf_at,ret_6_1|ocf_at,be_me,0.521613250719609,0.01167539931430122,0.20395087724965003,0.08593769429426762,0.9458535411344521,-0.054079846889085126,0.020583746367022135,False,31.0
35,pair_product__ocf_at__turnover_126d,ocf_at|turnover_126d,be_me,0.5148872738587489,0.006719630581993761,0.1404393098227631,0.40256491053800425,0.9543375987655824,-0.019571468170398898,0.1021183752638749,False,51.0
36,pair_product__ret_1_0__rvol_21d,ret_1_0|rvol_21d,be_me,0.5132008506161394,0.008263568353933739,0.15417077138181753,0.3403685234112716,0.9491267156478308,-0.10871137920344855,-0.19155833827441002,False,43.0
37,pair_product__ret_3_1__rvol_21d,ret_3_1|rvol_21d,be_me,0.4697974771135554,0.009338941061031805,0.1556056144406997,0.14495921196842876,0.9433813317897979,-0.048239328548947774,-0.1258994140708801,False,39.0
38,pair_product__ocf_at__rvol_21d,ocf_at|rvol_21d,be_me,0.45686088230667105,0.009646134130144883,0.16178895918206135,0.0382548602746643,0.9437330248796962,-0.027853579199071027,-0.20207708610678093,False,37.0
39,pair_mean__gp_at__beta_60m,gp_at|beta_60m,be_me,0.45329586336577915,0.008345355296172524,0.047745037615046254,0.6653299162421008,0.8512159594000036,-0.173427047601932,0.1926809237210179,False,42.0
40,pair_difference__ocf_at__rvol_21d,ocf_at|rvol_21d,be_me,0.4506820609100576,0.01639722652823195,0.14945609071287733,0.05483597405695767,0.9011341660149343,-0.17029864859312321,-0.542977261829001,True,21.0
41,pair_product__ret_12_1__ocf_at,ret_12_1|ocf_at,be_me,0.43146543289776795,0.006209361114667754,0.09802789478828862,0.36775074235624283,0.9404305009674411,-0.094767723781089,0.07276298135202833,False,53.0
42,pair_product__ret_3_1__beta_60m,ret_3_1|beta_60m,be_me,0.4063525044799257,0.007492348256574644,0.1224116436091525,0.18092276708880234,0.9423239567239861,-0.07642082394277691,-0.04257425062072688,False,47.0
43,pair_product__ret_3_1__gp_at,ret_3_1|gp_at,be_me,0.3760486554462771,0.005292640801199718,0.0898965829028778,0.32755528648876187,0.9443987397391392,-0.056977584438056596,0.03990648118823362,False,60.0
44,pair_mean__be_me__ocf_at,be_me|ocf_at,be_me,0.3591828397390785,0.008046323461483422,0.0790578710695739,0.1367243969377073,0.9076241562785536,-0.16281919432843894,0.010809034320709537,False,44.0
45,pair_difference__ret_12_1__ocf_at,ret_12_1|ocf_at,be_me,0.3589889339013004,0.011164690032727529,0.09967675092456958,0.08974223323397988,0.8992733228988891,-0.09056618581709738,-0.26482908940584343,False,33.0
46,pair_mean__beta_60m__turnover_126d,beta_60m|turnover_126d,be_me,0.33258139441055323,0.010446333741332548,0.054938850444505756,0.37483962041132013,0.8402339326346181,-0.1854662154986858,-0.06634158294704842,False,35.0
47,pair_product__beta_60m__turnover_126d,beta_60m|turnover_126d,be_me,0.3312897872724284,0.0025403804273711732,0.04333513512398049,0.41113991346931184,0.9446244822136648,-0.05695967610962015,0.037341061618947666,False,67.0
48,pair_mean__be_me__beta_60m,be_me|beta_60m,be_me,0.32465394084710864,0.0057457977355931745,0.04429921157009675,0.41601873532488653,0.8851873979981477,-0.13409065159415928,-0.1950456245419322,False,57.0
49,pair_product__ret_1_0__ret_12_1,ret_1_0|ret_12_1,ret_1_0,0.37153398910804264,0.007034393925459237,0.12609152318676362,-0.0573211391947518,0.9471598462714862,-0.03906662981489239,-0.374110934060039,False,48.0
50,pair_product__ocf_at__beta_60m,ocf_at|beta_60m,be_me,0.31409333493186364,0.003868169475331426,0.06584257203006207,0.25795264976648286,0.944511141442497,-0.003077960941384697,0.0709644558601977,False,63.0
51,pair_mean__ret_3_1__beta_60m,ret_3_1|beta_60m,be_me,0.4043253921128746,0.005920057714107742,0.04607360516828354,0.45269635073808095,0.8861388602780533,-0.16029944528623521,0.07106854819830215,False,56.0
52,pair_mean__gp_at__turnover_126d,gp_at|turnover_126d,be_me,0.36151143827681154,0.006755713860146393,0.041386829715897404,0.35471277418033875,0.8596726853562408,-0.18286486627803117,-0.04616120074062438,False,49.0
53,pair_difference__ret_12_1__beta_60m,ret_12_1|beta_60m,be_me,0.30163357282307246,0.014838881420540139,0.09390220652995149,-0.05642535876938124,0.863539332737814,-0.1391254458362134,-0.46281817066766395,True,23.0
54,identity__turnover_126d,turnover_126d,be_me,0.29812304785940846,0.006665751768844213,0.043186163724350225,0.2799510626623557,0.8662889539369015,-0.1676386478459684,-0.16798919340281693,False,52.0
55,pair_mean__ret_6_1__beta_60m,ret_6_1|beta_60m,be_me,0.2864027727599849,0.0049399685862757245,0.03546366233947397,0.29498727085815596,0.877734538379633,-0.15537538838060613,0.053819841342198985,False,61.0
56,pair_difference__gp_at__rvol_21d,gp_at|rvol_21d,be_me,0.28562174728783096,0.009648310276239143,0.0816121038569117,0.028478797994049836,0.8942771587452797,-0.2373569253938832,-0.27304537625407266,False,36.0
57,pair_mean__ocf_at__rvol_21d,ocf_at|rvol_21d,be_me,0.2677666252223191,0.003687449577572899,0.025315673248972628,0.30556334778239397,0.8728602571652074,-0.19774169021434676,0.06948931932888172,False,64.0
58,pair_difference__ret_3_1__ret_6_1,ret_3_1|ret_6_1,be_me,0.2186918497741917,0.007547276909542589,0.07607084613340354,-0.05703951297845568,0.9097411346381655,-0.15490792755512248,-0.1575890195145072,False,46.0
59,pair_mean__ret_3_1__turnover_126d,ret_3_1|turnover_126d,be_me,0.21394457076926737,0.0025143514347004386,0.020620962224732378,0.28630028973174737,0.8913197602715329,-0.1904718164814952,0.04571255915208747,False,68.0
