step,seed_alpha,best_offspring,best_reward,mean_group_reward,group_reward_std,elite_pool_size,sampling_entropy,nonzero_feature_logits,nonzero_operator_logits
1,pair_product__z_score__beta_60m,pair_difference__ret_6_1__z_score,0.7708333333333334,0.6566666666666667,0.08044364832325519,1,4.1588830833596715,3,3
2,pair_difference__ret_6_1__z_score,pair_mean__ret_12_1__z_score,0.8472531228359442,0.6928684935041997,0.16092950442337364,2,4.153525871797859,7,3
3,pair_difference__ret_6_1__z_score,pair_product__ret_6_1__gp_at,0.7826530879982936,0.6009573659934753,0.11750011244121174,3,4.157725187494467,10,3
4,pair_product__ret_6_1__gp_at,pair_product__gp_at__ocf_at,0.7556343389030091,0.6043843426067658,0.11385229915744037,4,4.151332342440703,11,4
5,pair_difference__ret_6_1__z_score,pair_product__ret_6_1__be_me,0.8164685009787522,0.6566938242673483,0.12212370573656788,5,4.139583686422519,11,4
6,pair_product__ret_6_1__gp_at,pair_product__ret_6_1__turnover_126d,0.752141712029136,0.6263668321082131,0.11088270637690786,6,4.105895002618629,12,4
7,pair_mean__ret_12_1__z_score,pair_mean__ret_12_1__gp_at,0.6494247835411922,0.6022646640209932,0.03452969434577262,7,4.082068107838304,12,4
8,pair_product__gp_at__ocf_at,pair_product__ret_1_0__ocf_at,0.5902396282002823,0.5343678373452506,0.03904347160862073,8,4.07981330405236,12,4
9,pair_difference__ret_6_1__z_score,pair_difference__z_score__rvol_21d,0.729754408684715,0.5917954397132117,0.10199112240418372,9,4.012451738572913,12,4
10,pair_difference__z_score__rvol_21d,pair_product__z_score__turnover_126d,0.578403814434399,0.4968122886123262,0.05513259550890577,10,3.9933495837418853,12,4
11,pair_difference__ret_6_1__z_score,pair_product__ret_6_1__z_score,0.7084600638561673,0.6308204604685199,0.09124009526807052,11,3.9213240368181617,12,4
12,pair_product__ret_6_1__gp_at,pair_mean__ret_1_0__ret_6_1,0.7099689389710917,0.5543005924713734,0.13748697639645316,12,3.921815932447316,12,4
13,pair_difference__z_score__rvol_21d,pair_product__gp_at__z_score,0.7153542280988091,0.5514944310045715,0.09642675597686386,13,3.9382727994306417,12,4
14,pair_product__ret_1_0__ocf_at,pair_product__ocf_at__rvol_21d,0.6754808300907885,0.6132648450461895,0.038323631572408215,14,3.9093339915381975,12,4
15,pair_difference__ret_6_1__z_score,pair_product__z_score__niq_su,0.7589920789610258,0.5724733216073173,0.11180240581530022,15,3.909505759322018,12,4
16,pair_mean__ret_1_0__ret_6_1,pair_difference__ret_1_0__niq_su,0.7951704959171535,0.6994278694933171,0.07883747089025858,16,3.877101163645837,12,4
