step,call_number,seed_alpha,offspring_alpha,reward__validity,reward__quality,reward__diversity,reward__novelty,reward__tool_efficiency,hierarchical_reward,group_relative_advantage,operator,components
1,1,pair_product__z_score__beta_60m,pair_mean__ret_6_1__z_score,1.0,0.21190476190476193,1.0,0.75,1.0,0.6866666666666666,0.3729318675285307,pair_mean,ret_6_1|z_score
1,2,pair_product__z_score__beta_60m,pair_product__z_score__turnover_126d,1.0,0.35714285714285715,1.0,0.25,0.5,0.6125,-0.5490385827503387,pair_product,z_score|turnover_126d
1,3,pair_product__z_score__beta_60m,pair_mean__be_me__z_score,1.0,0.030952380952380953,1.0,0.75,0.3333333333333333,0.5566666666666666,-1.2431062250951068,pair_mean,be_me|z_score
1,4,pair_product__z_score__beta_60m,pair_difference__ret_6_1__z_score,1.0,0.6666666666666666,1.0,0.75,0.25,0.7708333333333334,1.419212940316912,pair_difference,ret_6_1|z_score
2,1,pair_difference__ret_6_1__z_score,pair_difference__z_score__niq_su,1.0,0.10238095238095238,0.2692227545915429,0.25,1.0,0.42717788425164194,-1.6509751285480776,pair_difference,z_score|niq_su
2,2,pair_difference__ret_6_1__z_score,pair_mean__ret_12_1__z_score,1.0,0.9190476190476191,0.815432280846388,0.75,0.5,0.8472531228359442,0.9593307944675526,pair_mean,ret_12_1|z_score
2,3,pair_difference__ret_6_1__z_score,pair_mean__ret_1_0__ret_6_1,1.0,0.7666666666666667,0.4790113615221254,0.75,0.3333333333333333,0.7099689389710917,0.10626047428757476,pair_mean,ret_1_0|ret_6_1
2,4,pair_difference__ret_6_1__z_score,pair_product__ret_6_1__turnover_126d,1.0,0.8928571428571428,0.6853701397906045,0.75,0.25,0.7870740279581209,0.5853838597929508,pair_product,ret_6_1|turnover_126d
3,1,pair_difference__ret_6_1__z_score,pair_mean__be_me__z_score,1.0,0.030952380952380953,0.3472353075473783,0.75,1.0,0.492780394842809,-0.9206541926059001,pair_mean,be_me|z_score
3,2,pair_difference__ret_6_1__z_score,pair_product__ret_6_1__gp_at,1.0,0.7738095238095238,0.7465987733248011,0.75,0.5,0.7826530879982936,1.5463450904842773,pair_product,ret_6_1|gp_at
3,3,pair_difference__ret_6_1__z_score,pair_mean__z_score__beta_60m,1.0,0.6190476190476191,0.32088013051504716,0.75,0.3333333333333333,0.6266760261030094,0.21888200423979898,pair_mean,z_score|beta_60m
3,4,pair_difference__ret_6_1__z_score,pair_mean__ret_3_1__ret_6_1,1.0,0.24285714285714283,0.3960997751489447,0.75,0.25,0.5017199550297889,-0.844572902118177,pair_mean,ret_3_1|ret_6_1
4,1,pair_product__ret_6_1__gp_at,pair_mean__gp_at__turnover_126d,1.0,0.33095238095238094,0.3158376824872182,0.75,1.0,0.591500869830777,-0.11315953100053695,pair_mean,gp_at|turnover_126d
4,2,pair_product__ret_6_1__gp_at,pair_difference__gp_at__turnover_126d,1.0,0.22142857142857142,0.9663393647618487,0.75,0.5,0.6332678729523697,0.25369299135244044,pair_difference,gp_at|turnover_126d
